"rownum","Id","MonsterVariety","i32_24","TerrainFeature","i32_44","i32_48","ClassIcon","HouseIcon","Attribute","HouseBuffIcon","MonsterVarietyAllied","[rid]_108","[rid]_124","string_140","string_140 (French)","string_140 (German)","string_140 (Japanese)","string_140 (Korean)","string_140 (Portuguese)","string_140 (Russian)","string_140 (Spanish)","string_140 (Thai)","string_140 (Traditional Chinese)"
0,"ElementalWitch",2649,0,48,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconWitch","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseCyaxan",4,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseBuffIconCyaxan",2662,[22872],[22870],"House Cyaxan","Maison Cyaxan","Haus Cyaxan","シアクサン家","사이악산 가문","Casa Cyaxana","Дом Шиазан","Casa Cyaxan","บ้านไคแย็กซัน","塞亞珊家族"
1,"ChaosMinionWitch",2650,0,49,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconWitch","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseCyaxan",4,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseBuffIconCyaxan",2663,[22872],[22870],"House Cyaxan","Maison Cyaxan","Haus Cyaxan","シアクサン家","사이악산 가문","Casa Cyaxana","Дом Шиазан","Casa Cyaxan","บ้านไคแย็กซัน","塞亞珊家族"
2,"TrapsMinesShadow",2651,0,50,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconShadow","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseAzadi",3,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseBuffIconAzadi",2664,[22873],"[22869,22870]","House Azadi","Maison Azadi","Haus Azadi","アザディ家","아자디 가문","Casa Azadi","Дом Азади","Casa Azadi","บ้านอะซาดิ","愛札丁家族"
3,"Crit1HShadow",2652,0,51,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconShadow","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseAzadi",3,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseBuffIconAzadi",2665,[22873],"[22869,22870]","House Azadi","Maison Azadi","Haus Azadi","アザディ家","아자디 가문","Casa Azadi","Дом Азади","Casa Azadi","บ้านอะซาดิ","愛札丁家族"
4,"MeleeAOEMarauder",2653,0,52,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconMarauder","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseKeita",0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseBuffIconKeita",2666,[22871],[22868],"House Keita","Maison Keita","Haus Keita","ケイタ家","케이타 가문","Casa Keita","Дом Киита","Casa Keita","บ้านเคย์ทา","凱塔家族"
5,"MeleeStrikesMarauder",2654,0,53,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconMarauder","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseKeita",0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseBuffIconKeita",2667,[22871],[22868],"House Keita","Maison Keita","Haus Keita","ケイタ家","케이타 가문","Casa Keita","Дом Киита","Casa Keita","บ้านเคย์ทา","凱塔家族"
6,"MiscScion",2655,0,54,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconScion","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseBardiya",6,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseBuffIconBardiya",2668,[],"[22868,22869,22870]","House Bardiya","Maison Bardiya","Haus Bardiya","バーディヤ家","바르디야 가문","Casa Bardiya","Дом Бардия","Casa Bardiya","บ้านบาร์ดิยา","巴迪亞家族"
7,"AurasMinionsTemplar",2657,0,55,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconTemplar","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseKeita",5,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseBuffIconKeita",2670,[22871],"[22868,22870]","House Keita","Maison Keita","Haus Keita","ケイタ家","케이타 가문","Casa Keita","Дом Киита","Casa Keita","บ้านเคย์ทา","凱塔家族"
8,"PhysConvertTemplar",2656,0,56,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconTemplar","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseKeita",5,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseBuffIconKeita",2669,[22871],"[22868,22870]","House Keita","Maison Keita","Haus Keita","ケイタ家","케이타 가문","Casa Keita","Дом Киита","Casa Keita","บ้านเคย์ทา","凱塔家族"
9,"NonEleBowRanger",2658,0,57,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconRanger","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseCyaxan",2,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseBuffIconCyaxan",2671,[22872],[22869],"House Cyaxan","Maison Cyaxan","Haus Cyaxan","シアクサン家","사이악산 가문","Casa Cyaxana","Дом Шиазан","Casa Cyaxan","บ้านไคแย็กซัน","塞亞珊家族"
10,"EleBowRanger",2659,0,58,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconRanger","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseCyaxan",2,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseBuffIconCyaxan",2672,[22872],[22869],"House Cyaxan","Maison Cyaxan","Haus Cyaxan","シアクサン家","사이악산 가문","Casa Cyaxana","Дом Шиазан","Casa Cyaxan","บ้านไคแย็กซัน","塞亞珊家族"
11,"PhysicalDuelist",2660,0,59,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconDuelist","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseAzadi",1,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseBuffIconAzadi",2673,[22873],"[22868,22869]","House Azadi","Maison Azadi","Haus Azadi","アザディ家","아자디 가문","Casa Azadi","Дом Азади","Casa Azadi","บ้านอะซาดิ","愛札丁家族"
12,"MeleeAOEStrikeDuelist",2661,0,60,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconDuelist","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseAzadi",1,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseBuffIconAzadi",2674,[22873],"[22868,22869]","House Azadi","Maison Azadi","Haus Azadi","アザディ家","아자디 가문","Casa Azadi","Дом Азади","Casa Azadi","บ้านอะซาดิ","愛札丁家族"
