"rownum","string_0","[rid]_8","rid_24","[rid]_40","i32_56","bool_60","u16_61","bool_63"
0,"ManInBox_AsyncListItem",[775],24189,[0],0,1,0,""
1,"ManInBox_AsyncPriceLower",[775],24239,[1],0,1,0,""
2,"ManInBox_AsyncPriceHigher",[775],24213,[2],0,1,0,""
3,"ManInBox_AsyncItemSoldInZone",[775],24266,[3],0,1,0,""
4,"ManInBox_OpenAwayShop",[775],24350,[4],0,1,0,""
5,"ManInBox_AsyncItemSoldInOutOfZone",[775],24302,[5],0,1,0,""
6,"ManInBox_AsyncItemBoughtAway",[775],24105,[6],0,1,0,""
7,"ManInBox_CEPlaceOrder",[775],24138,[7],0,1,0,""
8,"ManInBox_CEReceiveOrder",[775],24159,[8],0,1,0,""
9,"Faustus_AsyncTradeLowerPrice","[675,677,676]",23711,[1],0,1,0,""
10,"Faustus_AsyncTradeRaisePrice","[675,677,676]",23726,[2],0,1,0,""
11,"Faustus_AsyncTradeList","[675,677,676]",23696,[0],0,1,0,""
12,"Faustus_AsyncTradeSellOutOfZone","[675,677,676]",23755,[5],0,1,0,""
13,"Faustus_AsyncTradeBuy","[675,677,676]",23769,[6],0,1,0,""
14,"Faustus_CXPlaceOrder","[677,676]",18809,[7],0,1,0,""
15,"Faustus_CXReceiveOrder","[677,676]",18797,[8],0,1,0,""
