"rownum","Id","bool_8"
0,"DISABLED",""
1,"ApplyAtlasMission",1
2,"OpenAtlasMissionVault",1
3,"DIVIDER1",1
4,"Gossip",""
5,"Topic",""
6,"DIVIDER2",""
7,"Quests",1
8,"QuestReward",1
9,"NextPresetQuest",1
10,"BanditRespec",1
11,"DIVIDER3",1
12,"SynthesisOptions",1
13,"MetamorphosisOptions",1
14,"BuyAzuriteItems",1
15,"ViewAncestralTrialShop",1
16,"ViewIncursionTemple",1
17,"OpenIncursionPortal",1
18,"OpenIncursionTemple",1
19,"ItemiseIncursionTemple",""
20,"OpenHeistNPCInventory",1
21,"OpenHeistNPCBlueprint",1
22,"OpenExpeditionMap",1
23,"OpenExpeditionStorage",1
24,"RightMenu",1
25,"RespecHellscapePassives",1
26,"RespecPassivePointsForGold",1
27,"RespecAtlasPassivePointsForGold",1
28,"BuyItems",1
29,"SellItems",1
30,"UnveilItems",1
31,"Crafting",1
32,"DIVIDER4",1
33,"PVP",1
34,"ArenaPVP",1
35,"DIVIDER5",1
36,"TradeDivinationCards",1
37,"CadiroOffer",1
38,"ViewPantheon",1
39,"EndlessHeistContracts",1
40,"DIVIDER6",1
41,"SelectHideout",1
42,"SelectGuildHideout",1
43,"InviteToHideout",1
44,"BuyExpeditionItems",1
45,"BuySanctumRelics",1
46,"BuyAzmeriItems",1
47,"ChooseAzmeriAscendancy",1
48,"AzmeriChooseOneUnique",1
49,"ChooseOneUnique",1
50,"ViewNecropolisCorpses",1
51,"VisitNecropolis",1
52,"Scry",1
53,"CurrencyExchange",1
54,"VillageRecruitment",1
55,"VillageDisenchanting",1
56,"VillageShipping",1
57,"VillageManageTown",1
58,"BuyItemsFromInstanceLocalVendor",1
59,"IdentifyItems",1
60,"VisitChayulaHub",1
61,"BuyAsyncTrade",1
62,"ManageAsyncTrade",1
63,"RandomContentPerandus",1
