"rownum","Id","f32_8","Actions","f32_28"
0,"Metadata/Effects/Spells/warcry_new/audio/warcry_audio.ao",0.25,"[1061,10,12,840,1058,1060,1057,1066,1116]",0.02
1,"Metadata/Effects/Microtransactions/Spells/warcries/wolf_cry/wolf.ao",0.25,"[1061,10,12,840,1058,1060,1057,1066,1116]",0.05
2,"Metadata/Effects/Microtransactions/Spells/warcries/wolf_cry/warcry.ao",0.25,"[1061,10,12,840,1058,1060,1057,1066,1116]",0.05
3,"Metadata/Effects/Spells/warcries/ancestral_cry/ancestral_cry.ao",0.25,[1061],0.05
4,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/ancestral_cry/ancestral_cry.ao",0.25,[1061],0.05
5,"Metadata/Effects/Spells/warcries/divine_cry/divine_cry.ao",0.25,[1116],0.05
6,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/battlemages_cry/divine_cry.ao",0.25,[1116],0.05
7,"Metadata/Effects/Spells/abyssal_cry/abyssal_cry.ao",0.25,[12],0.05
8,"Metadata/Effects/Spells/warcries/enduring_cry/enduring_cry.ao",0.25,[10],0.05
9,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/enduring_cry/enduring_cry.ao",0.25,[10],0.05
10,"Metadata/Effects/Spells/warcries/enduring_cry/healing_buff.ao",0.25,[10],0.05
11,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/enduring_cry/healing_buff.ao",0.25,[10],0.05
12,"Metadata/Effects/Microtransactions/Spells/warcries/wolf_cry/enduring/healing_buff.ao",0.25,[10],0.05
13,"Metadata/Effects/Spells/warcries/infernal_cry/infernal_cry.ao",0.25,[1058],0.05
14,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/infernal_cry/infernal_cry.ao",0.25,[1058],0.05
15,"Metadata/Effects/Spells/warcries/intimidating_cry/intimidating_cry.ao",0.25,[840],0.05
16,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/intimidating_cry/intimidating_cry.ao",0.25,[840],0.05
17,"Metadata/Effects/Spells/warcries/rallying_cry/rallying_cry.ao",0.25,[1057],0.05
18,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/rallying_cry/rallying_cry.ao",0.25,[1057],0.05
19,"Metadata/Effects/Spells/warcries/seismic_cry/seismic_cry.ao",0.25,[1060],0.05
20,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/seismic_cry/seismic_cry.ao",0.25,[1060],0.05
21,"Metadata/Effects/Spells/warcries/spiritual_cry/spiritual_cry.ao",0.25,[1066],0.05
22,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/spiritual_cry/spiritual_cry.ao",0.25,[1066],0.05
23,"Metadata/Effects/Spells/warcries/ancestors/ancestor.ao",0.25,[1066],0.05
24,"Metadata/Effects/Spells/warcries/ancestors/ancestor_f.ao",0.25,[1066],0.05
25,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/ancestors/ancestor.ao",0.25,[1066],0.05
26,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/ancestors/ancestor_f.ao",0.25,[1066],0.05
27,"Metadata/Effects/Spells/blood_rage/rig.ao",0.25,[29],0.05
28,"Metadata/Effects/Microtransactions/Spells/scavenger_bloodrage/rig.ao",0.25,[29],0.05
29,"Metadata/Effects/Spells/mines_detonation/mine_trigger.ao",0.25,[134],0.05
