"rownum","Id","MonsterPacksKeys","i32_24","i32_28","MonsterVarietiesKey","rid_48","i32_64","i32_68","i32_72","MonsterPacksKey"
0,"MonkeyPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",12,2,4883,2,2,20,100,1610
1,"BeastPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",12,2,4881,2,2,20,100,1612
2,"HellionPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",1,2,4882,2,2,20,100,1613
3,"RhoaPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",1,2,4880,2,2,20,100,1611
4,"SpiderPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",15,2,4886,2,2,20,100,1615
5,"SnakePack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",15,2,4885,2,2,20,100,1614
6,"FrogPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",25,2,4888,2,2,20,100,1616
7,"IguanaPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",30,2,4889,2,2,20,100,1617
8,"KiwethPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",1,2,4890,2,2,20,100,1618
9,"DropbearPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",15,2,4891,2,2,20,100,1619
10,"SquidPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",1,2,4892,2,2,20,100,1620
11,"TasterPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",39,3,4372,3,3,20,100,""
12,"BeastBossPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",15,3,120,3,3,20,100,""
13,"SpiderBossPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",15,3,981,3,3,20,100,""
14,"KiwethBossPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",1,3,1638,3,3,20,100,""
15,"WaterSpiralBossPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",35,3,4077,3,3,20,100,""
16,"SandLeaperBossPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",35,3,4099,3,3,20,100,""
17,"DropBearBossPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",15,3,3314,3,3,20,100,""
