"rownum","ModsKey","i32_16","i32_20","i32_24","i32_28","i32_32","bool_36","bool_37"
0,20835,0,11,100,1,6,1,1
1,20836,0,50,100,3,6,1,1
2,20887,0,11,100,1,6,1,1
3,20891,0,11,100,1,6,1,1
4,20892,0,11,100,1,6,1,1
5,20893,0,11,100,1,6,1,1
6,20894,0,11,100,1,6,1,1
7,20899,0,11,100,1,6,1,1
8,20902,150,11,100,1,3,1,1
9,20903,150,25,100,4,5,1,1
10,20904,75,68,100,6,7,1,1
11,20905,150,11,100,1,3,1,1
12,20906,150,25,100,4,5,1,1
13,20907,75,68,100,6,7,1,1
14,20908,150,11,100,1,3,1,1
15,20909,150,25,100,4,5,1,1
16,20910,75,68,100,6,7,1,1
17,20901,75,68,100,3,6,1,1
18,20911,150,40,100,1,3,1,1
19,20912,75,68,100,4,5,1,1
20,20900,37,68,100,6,7,1,1
21,20889,0,11,100,1,3,1,1
22,20913,0,25,100,4,5,1,1
23,20914,0,68,100,6,7,1,1
24,20915,0,68,100,6,7,1,1
25,20895,0,11,100,1,3,1,1
26,20916,0,25,100,4,5,1,1
27,20917,0,68,100,6,7,1,1
28,20890,150,11,100,1,3,1,1
29,20918,75,40,100,4,5,1,1
30,20919,37,68,100,6,7,1,1
31,20896,150,11,100,1,6,1,1
32,20897,75,68,100,4,7,1,1
33,20920,150,68,100,3,7,1,1
