"rownum","HideoutArea","HASH16","HideoutFile","SpawnAreas","ClaimSideArea","HideoutImage","IsEnabled","Weight","Rarity","NotActsArea","[i32]_88","bool_104","bool_105","bool_106","UnlockMtx","ErrorMessage","ErrorMessage (French)","ErrorMessage (German)","ErrorMessage (Japanese)","ErrorMessage (Korean)","ErrorMessage (Portuguese)","ErrorMessage (Russian)","ErrorMessage (Spanish)","ErrorMessage (Thai)","ErrorMessage (Traditional Chinese)"
0,1566,65379,"Metadata/Terrain/Missions/Hideouts/Forest/decoration.hideout",[37],1565,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LushHideout",1,10000,0,"",[],"",1,1,"","","","","","","","","","",""
1,1546,2401,"Metadata/Terrain/Missions/Hideouts/Archaeological/decoration.hideout",[1244],1547,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TrenchHideout",1,33,3,1,[],"",1,1,"","","","","","","","","","",""
2,1594,28470,"Metadata/Terrain/Missions/Hideouts/Battleground/decoration.hideout",[1206],1595,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BattlescarredHideout",1,200,1,1,[],"",1,1,"","","","","","","","","","",""
3,1590,33485,"Metadata/Terrain/Missions/Hideouts/Beach/decoration.hideout",[1146],1591,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CoastalHideout",1,200,1,1,[],"",1,1,"","","","","","","","","","",""
4,1596,8897,"Metadata/Terrain/Missions/Hideouts/Library/decoration.hideout",[1142],1597,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EnlightenedHideout",1,200,1,1,[],"",1,1,"","","","","","","","","","",""
5,1600,62863,"Metadata/Terrain/Missions/Hideouts/Gardens/decoration.hideout",[1205],1601,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/OvergrownHideout",1,100,2,1,[],"",1,1,"","","","","","","","","","",""
6,1598,13485,"Metadata/Terrain/Missions/Hideouts/Solaris/decoration.hideout",[1135],1599,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ImmaculateHideout",1,200,1,1,[],"",1,1,"","","","","","","","","","",""
7,1592,45200,"Metadata/Terrain/Missions/Hideouts/Fellshrine/decoration.hideout",[1097],1593,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/UnearthedHideout",1,200,1,1,[],"",1,1,"","","","","","","","","","",""
8,1588,62635,"Metadata/Terrain/Missions/Hideouts/Slums/decoration.hideout",[1114],1589,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BackstreetHideout",1,200,1,1,[],"",1,1,"","","","","","","","","","",""
9,1568,29226,"Metadata/Terrain/Missions/Hideouts/Sewers/decoration.hideout",[51],1567,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/UndercityHideout",1,10000,0,"",[],"",1,1,"","","","","","","","","","",""
10,1572,55535,"Metadata/Terrain/Missions/Hideouts/Mine/decoration.hideout",[65],1571,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ExcavatedHideout",1,10000,0,"",[],"",1,1,"","","","","","","","","","",""
11,1558,31968,"Metadata/Terrain/Missions/Hideouts/Courts/decoration.hideout","[77,78]",1559,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/StatelyHideout",1,10000,0,"",[],"",1,1,"","","","","","","","","","",""
12,1549,18035,"Metadata/Terrain/Missions/Hideouts/Coral/decoration.hideout",[99],1548,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CoralHideout",1,10000,0,"",[],"",1,1,"","","","","","","","","","",""
13,1574,6122,"Metadata/Terrain/Missions/Hideouts/RuinedTemple/decoration.hideout",[108],1573,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BalefulHideout",1,10000,0,"",[],"",1,1,"","","","","","","","","","",""
14,1576,750,"Metadata/Terrain/Missions/Hideouts/Oasis/decoration.hideout",[140],1575,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DesertHideout",1,10000,0,"",[],"",1,1,"","","","","","","","","","",""
15,1556,61235,"Metadata/Terrain/Missions/Hideouts/Ossuary/decoration.hideout",[158],1557,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SkeletalHideout",1,10000,0,"",[],"",1,1,"","","","","","","","","","",""
16,1554,55372,"Metadata/Terrain/Missions/Hideouts/Baths/decoration.hideout",[124],1555,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LuxuriousHideout",1,10000,0,"",[],"",1,1,"","","","","","","","","","",""
