"rownum","MonsterVarietiesKey","i32_16","MinLevel","MaxLevel","i32_28"
0,5798,100,0,25,100
1,5799,100,0,25,100
2,5800,100,0,25,100
3,5801,100,0,25,100
4,5802,100,0,25,100
5,5803,100,10,100,100
6,5804,100,10,100,100
7,5805,100,10,100,100
8,5806,100,10,100,100
9,5807,100,25,100,100
10,5808,100,25,100,100
11,5811,100,25,100,100
12,5814,100,25,100,100
13,5817,100,25,100,100
14,5820,100,46,100,100
15,5823,100,46,100,100
16,5826,100,46,100,100
17,5829,100,46,100,100
18,5832,100,46,100,100
19,5835,20,60,100,40
20,5836,20,60,100,40
21,5837,20,60,100,40
22,5838,20,60,100,40
23,5839,20,60,100,40
24,5840,20,60,100,40
25,5841,20,60,100,40
26,5842,20,60,100,40
27,5843,20,60,100,40
