"rownum","Id","ItemVisualIdentity","ItemClass","i32_40"
0,"UniqueOneHandSword1",8018,9,1
1,"UniqueBow2",8027,13,1
2,"UniqueWand4",10002,8,1
3,"UniqueClaw4",9792,6,3
4,"UniqueStaff4",10039,14,4
5,"UniqueStaff9",10961,14,4
6,"UniqueBow4",9083,13,5
7,"UniqueDagger11",11730,7,5
8,"UniqueOneHandAxe3",10035,11,6
9,"UniqueRapier1",9062,10,7
10,"UniqueBow8",9604,13,9
11,"UniqueOneHandSword12",11739,9,10
12,"UniqueOneHandMace6",11741,12,10
13,"UniqueTwoHandSword2",8037,15,12
14,"UniqueClaw9",11735,6,12
15,"UniqueWand12",12283,8,24
16,"UniqueTwoHandAxe3",9086,16,13
17,"UniqueStaff13",11734,57,13
18,"UniqueDagger12",11731,7,15
19,"UniqueOneHandAxe7",11737,11,16
20,"UniqueTwoHandMace1",8033,17,17
21,"UniqueRapier2",9787,10,17
22,"UniqueDagger3",9076,56,20
23,"UniqueOneHandMace1",9081,12,20
24,"UniqueOneHandMace7",11742,12,20
25,"UniqueOneHandSword16",12351,9,20
26,"UniqueTwoHandMace7",9912,17,22
27,"UniqueOneHandSword7",10186,10,22
28,"UniqueTwoHandSword7",10438,15,22
29,"UniqueClaw6",9795,6,26
30,"UniqueRapier5",12710,10,26
31,"UniqueTwoHandMace2",8034,17,27
32,"UniqueOneHandSword4",9883,9,28
33,"UniqueBow11",10182,13,28
34,"UniqueOneHandSword13",11740,9,28
35,"UniqueOneHandAxe6",11573,11,29
36,"UniqueDagger2",8061,7,30
37,"UniqueWand9",11647,8,30
38,"UniqueBow3",8031,13,32
39,"UniqueOneHandMace8",11743,12,32
40,"UniqueTwoHandAxe2",9060,16,33
41,"UniqueClaw2",9107,6,34
42,"UniqueTwoHandMace10",12345,17,40
43,"UniqueSceptre1",9104,32,41
44,"UniqueSceptre2",9724,32,41
45,"UniqueRapier4",12353,10,43
46,"UniqueTwoHandSword1",8036,15,44
47,"UniqueDagger13",12347,56,44
48,"UniqueTwoHandAxe4",9603,16,45
49,"UniqueClaw8",11579,6,46
50,"UniqueOneHandClaw12",12329,6,46
51,"UniqueOneHandSword18",12385,9,47
52,"UniqueOneHandMace10",12349,12,50
53,"UniqueTwoHandSword3",9061,15,51
54,"UniqueStaff18",12855,14,52
55,"UniqueBow7",9096,13,53
56,"UniqueOneHandSword5",9946,9,53
57,"UniqueTwoHandMace4",9087,17,54
58,"UniqueTwoHandAxe14",12343,16,55
59,"UniqueSceptre10",11570,32,72
60,"UniqueWand11",12267,8,59
61,"UniqueTwoHandMace3",9071,17,57
62,"UniqueTwoHandAxe1",8017,16,58
63,"UniqueDagger8",10041,56,58
64,"UniqueOneHandSword11",11574,9,58
65,"UniqueWand1",9067,8,59
66,"UniqueOneHandAxe1",9815,11,65
67,"UniqueTwoHandSword10",12535,15,59
68,"UniqueOneHandMace4",11568,12,60
69,"UniqueOneHandSword19",12526,9,60
70,"UniqueClaw18",12931,6,60
71,"UniqueDagger16",12932,7,60
72,"UniqueDagger21",12997,7,60
73,"UniqueTwoHandSword11",12565,15,61
74,"UniqueBow5",9085,13,62
75,"UniqueBow6",9090,13,62
76,"UniqueClaw3",9758,6,62
77,"UniqueOneHandSword6",10183,9,62
78,"UniqueTwoHandAxe16",13142,16,62
79,"UniqueTwoHandMace11",12568,17,77
80,"UniqueOneHandAxe10",12972,11,63
81,"UniqueOneHandSword3",9804,9,64
82,"UniqueBow10",9922,13,64
83,"UniqueDagger9",10231,56,64
84,"UniqueTwoHandAxe10",12253,16,64
85,"UniqueOneHandSword17",12360,9,64
86,"UniqueOneHandAxe5",10027,11,65
87,"UniqueTwoHandSword8",10947,15,65
88,"UniqueTwoHandMace12",12834,17,65
89,"UniqueBow1",8023,13,66
90,"UniqueClaw1",9098,6,66
91,"UniqueBow9",9891,13,70
92,"UniqueOneHandMace5",11569,12,66
93,"UniqueClaw10",12201,6,66
94,"UniqueTwoHandAxe15",12830,16,66
95,"UniqueDagger17",13102,56,66
96,"UniqueTwoHandMace6",9881,17,67
97,"UniqueTwoHandSword6",9943,15,67
98,"UniqueStaff7",10190,57,71
99,"UniqueBow15",12373,13,68
100,"UniqueClaw14",12533,6,68
101,"UniqueOneHandSword20",12569,9,77
102,"UniqueBow17",12683,13,77
103,"UniqueTwoHandAxe13",12795,16,68
104,"UniqueOneHandSword24",12898,9,68
105,"UniqueOneHandAxe2",9967,11,69
106,"UniqueClaw13",12368,6,70
107,"UniqueClaw15",12686,6,77
108,"UniqueStaff20",12922,14,66
109,"UniqueStaff27",12982,57,60
110,"UniqueStaff22",13137,57,64
111,"UniqueStaff24",13258,57,68
112,"UniqueOneHandSword29",13189,9,56
113,"UniqueOneHandSword30",13190,9,56
114,"UniqueOneHandSword31",13607,9,62
115,"UniqueTwoHandSword12",12691,15,67
116,"UniqueTwoHandSword13",12691,15,67
117,"UniqueTwoHandSword14",14260,15,67
118,"UniqueDagger20",12978,7,60
119,"UniqueBow18",12730,13,58
120,"UniqueBow19",12731,13,58
121,"UniqueBow22",13312,13,57
122,"UniqueBow23",14205,13,58
123,"UniqueBow21",13122,13,75
124,"UniqueBow20",13103,13,62
125,"UniqueBow16",12550,13,64
126,"UniqueTwoHandAxe7",10155,16,64
127,"UniqueTwoHandAxe9",11657,16,66
