"rownum","Id","Rarity","Stat","NotRarity","NotStat","MapBoss","NotMapBoss","Tags","NotTags","i32_106","MinimumLevel","MaximumLevel","HASH32"
0,"IsNormalMonster",0,"","",[],"","",[],[],0,1,100,0
1,"IsMagicMonster",1,"","",[],"","",[],[],0,1,100,0
2,"IsRareMonster",2,"","",[],"","",[],[],0,1,100,0
3,"IsUniqueMonster",3,"","",[],"","",[],[],0,1,100,0
4,"IsMapBoss","","","",[],1,"",[],[],0,1,100,0
5,"IsNotUnique","","",3,[],"","",[],[],0,1,100,0
6,"IsBeyondMonster","",5852,"",[],"","",[],[],0,1,100,0
7,"IsBeyondMonsterFactionDemon","",5852,"",[],"","",[],[],0,1,100,3295035897
8,"IsBeyondMonsterFactionFlesh","",5852,"",[],"","",[],[],0,1,100,3788855825
9,"IsBeyondMonsterFactionPale","",5852,"",[],"","",[],[],0,1,100,2322696165
10,"IsInvasionBoss","",3598,"",[],"","",[],[],0,1,100,0
11,"IsTormentedSpirit","",5718,"",[],"","",[],[],0,1,100,0
12,"IsRogueExile","",9025,"",[],"","",[],[],0,1,100,0
13,"IsIzaro","",4207,"",[],"","",[],[],0,1,100,0
14,"IsNotIzaro","","","",[4207],"","",[],[],0,1,100,0
15,"IsSynthesisedMonster","","","",[],"","",[413],[],0,1,100,0
16,"IsNotConvertingPhysicalDamage","","","","[1110,1111,1112,1113]","","",[],[],0,1,100,0
17,"IsHarbinger","",9487,"",[],"","",[],[],0,1,100,0
18,"IsFirst3Possessed","",2671,"",[],"","",[],[],3,1,100,0
19,"IsCorruptedVaal","","","",[],"","",[440],[],0,1,100,0
20,"IsNotMapBoss","","","",[],"",1,[],[],0,1,100,0
21,"ShouldNotDropSplinters","",11845,"",[],"","",[],[],0,1,100,0
22,"IsWarband","",11846,"",[],"","",[],[],0,1,100,0
23,"IsElderPortal","",11847,"",[],"","",[],[],0,1,100,0
24,"IsMapBossUnderling","",11848,"",[],"","",[],[],0,1,100,0
25,"IsAfflictionWildBoss","",11849,"",[],"","",[],[],0,1,100,0
26,"IsTempleArchitect","",11882,"",[],"","",[],[],0,1,100,0
27,"IsNotTempleArchitect","","","",[11882],"","",[],[],0,1,100,0
28,"IsIncursionBoss","",11883,"",[],"","",[],[],0,1,100,0
29,"IsWarbandLeader","",11931,"",[],"","",[],[],0,1,100,0
30,"IsNotWarbandLeader","","","",[11931],"","",[],[],0,1,100,0
31,"IsBetrayalTarget","",11951,"",[],"","",[],[],0,1,100,0
32,"IsNotBetrayalTarget","","","",[11951],"","",[],[],0,1,100,0
33,"IsIncursionArchitect","",11952,"",[],"","",[],[],0,1,100,0
34,"IsNotIncursionArchitect","","","",[11952],"","",[],[],0,1,100,0
35,"IsBestiaryRedBeast","",11953,"",[],"","",[],[],0,1,100,0
36,"IsNotBestiaryRedBeast","","","",[11953],"","",[],[],0,1,100,0
37,"HeistGuard","","","",[],"","",[674],[],0,1,100,0
38,"IsNotRitualMonster","","","",[13609],"","",[],[],0,1,100,0
39,"IsShaperMonster","","","",[],"","",[684],[],0,1,100,0
40,"IsElderMonster","","","",[],"","",[685],[],0,1,100,0
41,"IsCrusaderMonster","","","",[],"","",[688],[],0,1,100,0
42,"IsEyrieMonster","","","",[],"","",[686],[],0,1,100,0
43,"IsBasiliskMonster","","","",[],"","",[687],[],0,1,100,0
44,"IsAdjudicatorMonster","","","",[],"","",[689],[],0,1,100,0
45,"IsBreachMonster","",5237,"",[],"","",[],[],0,1,100,0
46,"IsRitualRespawnedMapBoss","",8110,"",[],"","",[],[],0,1,100,0
47,"IsNotRitualRespawnedMapBoss","","","",[8110],"","",[],[],0,1,100,0
48,"IsAbyssMonster","","","",[],"","",[240],[],0,1,100,0
49,"IsEssenceMonster","",13962,"",[],"","",[],[],0,1,100,0
50,"IsInfluenceMonster","","","",[],"","",[695],[],0,1,100,0
51,"IsBlightBoss","","","",[],"","",[696],[],0,1,100,0
52,"Level4Plus","","","",[],"","",[],[],0,4,100,0
53,"IsBreachCommander","","","",[],"","",[199],[],0,1,100,0
54,"IsDelveBoss","","","",[],"","",[],[],0,1,100,11950100
55,"IsHellscapeMonster","","","",[],"","",[],[],0,1,100,2774769741
56,"IsTangleInfluencedMonster","","","",[],"","",[],[],0,1,100,155062019
57,"IsCleansingFireInfluencedMonster","","","",[],"","",[],[],0,1,100,3131781874
58,"Level1to45Monster","","","",[],"","",[],[],0,1,45,0
59,"Level46to67Monster","","","",[],"","",[],[],0,46,67,0
60,"Level68to72Monster","","","",[],"","",[],[],0,68,72,0
61,"Level73to77Monster","","","",[],"","",[],[],0,73,77,0
62,"Level78to84Monster","","","",[],"","",[],[],0,78,84,0
63,"Level81plusMonster","","","",[],"","",[],[],0,81,100,0
64,"Level83plusMonster","","","",[],"","",[],[],0,83,100,0
65,"Level85plusMonster","","","",[],"","",[],[],0,85,100,0
66,"IsBestiaryYellowBeast","",17038,"",[],"","",[],[],0,1,100,0
67,"IsIncursionMemoryLineMonster","",17046,"",[],"","",[],[],0,1,100,0
68,"IsMavenWitnessed","",17284,"",[],"","",[],[],0,1,100,0
69,"IsLastMapBoss","",17317,"",[],"","",[],[],0,1,100,0
70,"IsSanctumFloorBoss","",17582,"",[],"","",[],[],0,1,100,0
71,"IsSanctumGuard","",17601,"",[],"","",[],[],0,1,100,0
72,"IsSanctumBoss","",17668,"",[],"","",[],[],0,1,100,0
73,"IsBreachMonsterCold","","","",[],"","",[1042],[],0,1,100,0
74,"IsBreachMonsterFire","","","",[],"","",[1043],[],0,1,100,0
75,"IsBreachMonsterLightning","","","",[],"","",[1044],[],0,1,100,0
76,"IsBreachMonsterPhysical","","","",[],"","",[1045],[],0,1,100,0
77,"IsBreachMonsterChaos","","","",[],"","",[1046],[],0,1,100,0
78,"IsBlightMonster","",10495,"",[],"","",[],[],0,1,100,0
79,"IsAfflictionMonster","",11570,"",[],"","",[],[],0,1,100,0
80,"IsSanctumFinalBoss","",17860,"",[],"","",[],[],0,1,100,0
81,"IsCrucibleMonster","",18427,"",[],"","",[],[],0,1,100,0
82,"Level80OrBelowMonster","","","",[],"","",[],[],0,1,80,0
83,"IsUltimatumMonster","",19258,"",[],"","",[],[],0,1,100,0
84,"IsTrialmasterBoss","","","",[],"","",[1069],[],0,1,100,0
85,"IsNotHiddenMonster","","","",[862],"","",[],[],0,1,100,0
86,"HasDropsAndExperience","","","",[889],"","",[],[],0,1,100,0
87,"HasDropSlots","",1,"",[],"","",[],[],0,1,100,0
88,"IsLegionMonster","","","",[],"","",[447],[],0,1,100,0
89,"IsNotLegionChest","","","",[],"","",[],[1086],0,1,100,0
90,"IsLegionChest","","","",[],"","",[1086],[],0,1,100,0
91,"IsRunicMonster","","","",[],"","",[1087],[],0,1,100,0
92,"IsIncursionMonster","","","",[],"","",[307],[],0,1,100,0
93,"CanElderNova","","","",[],"","",[1131],[],0,1,100,0
94,"IsPantheonDaemon","","","",[],"","",[1164],[],0,1,100,0
95,"IsPutridMonster","","","",[],"","",[1165],[],0,1,100,0
96,"IsZanaInfluenceMonster","",21659,"",[],"","",[],[],0,1,100,0
97,"IsZarokhMonster","",22545,"",[],"","",[],[],0,68,100,0
98,"IsMapBossNonFaridunOverrunMap","","","",[22617],1,"",[],[],0,68,100,0
99,"IsNotMonsterInAstrolabe","","","",[22806],"","",[],[],0,1,100,0
100,"IsBreachSkillDaemon","","","",[],"","",[1388],[],0,1,100,0
