"rownum","ActiveSkill","i32_16","MiscAnimated","MeleeTrailsKey1","MeleeTrailsKey2","MeleeTrailsKey3","MeleeTrailsKey4","MeleeTrailsKey5","MeleeTrailsKey6","MeleeTrailsKey7","bool_148","SurgeEffect_EPKFile","string_157","string_165"
0,108,0,"","","","","","","","",1,"","",""
1,108,1,"",10,11,12,13,16,14,15,"","","",""
2,108,2,2381,"","","","","","","",1,"","",""
3,108,3,"","","",12,13,"","","",1,"","",""
4,108,4,"",42,43,"","","","","","","","",""
5,108,5,"",44,45,"","","","","",1,"","",""
6,108,6,"",108,108,109,109,110,110,111,1,"","",""
7,108,7,"",112,112,112,112,112,112,112,1,"","",""
8,108,8,"",114,113,114,113,"","","",1,"","",""
9,108,9,"","","",123,123,124,"","",1,"","",""
10,108,10,"","","",125,125,"","","",1,"","",""
11,108,11,"","","","","",126,"","",1,"","",""
12,108,12,"","","","","",127,"","",1,"","",""
13,108,13,"","","",128,"","","","",1,"","",""
14,108,14,"","","","","","",66,"",1,"","",""
15,108,15,"",206,206,206,206,206,206,206,1,"","aux_trail_01","aux_trail_01"
16,108,16,"",207,207,207,207,207,207,207,1,"","aux_trail_01","aux_trail_01"
17,108,17,"",208,208,208,208,208,208,208,1,"","aux_trail_01","aux_trail_01"
18,108,18,"",209,209,209,209,209,209,209,1,"","hip_jntBnd","hip_jntBnd"
19,48,0,"",30,29,32,31,35,33,34,1,"","",""
20,48,1,"",142,141,144,143,147,145,146,1,"","",""
21,49,0,"",30,29,32,31,35,33,34,1,"","",""
22,49,1,"",142,141,144,143,147,145,146,1,"","",""
23,50,0,"",30,29,32,31,35,33,34,1,"","",""
24,50,1,"",142,141,144,143,147,145,146,1,"","",""
25,51,0,"",30,29,32,31,35,33,34,1,"","",""
26,51,1,"",142,141,144,143,147,145,146,1,"","",""
27,29,0,"",24,"",25,"",28,26,27,1,"","",""
28,29,1,"",0,"",1,"",4,2,3,1,"","",""
29,30,0,"",24,"",25,"",28,26,27,1,"","",""
30,30,1,"",0,"",1,"",4,2,3,1,"","",""
31,31,0,"",24,"",25,"",28,26,27,1,"","",""
32,31,1,"",0,"",1,"",4,2,3,1,"","",""
33,32,0,"",24,"",25,"",28,26,27,1,"","",""
34,32,1,"",0,"",1,"",4,2,3,1,"","",""
35,189,0,"",36,36,37,38,41,39,40,1,"","",""
36,190,0,"",36,36,37,38,41,39,40,1,"","",""
37,191,0,"",36,36,37,38,41,39,40,1,"","",""
38,63,0,"",10,11,12,13,16,14,15,"","","",""
39,63,1,"",10,11,12,13,16,14,15,"","","",""
40,63,2,"",10,11,12,13,16,14,15,"","","",""
41,63,3,"",10,11,12,13,16,14,15,"","","",""
42,63,4,"",10,11,12,13,16,14,15,"","","",""
43,64,0,"",10,11,12,13,16,14,15,"","","",""
44,64,1,"",10,11,12,13,16,14,15,"","","",""
45,64,2,"",10,11,12,13,16,14,15,"","","",""
46,64,3,"",10,11,12,13,16,14,15,"","","",""
47,64,4,"",10,11,12,13,16,14,15,"","","",""
48,65,0,"",10,11,12,13,16,14,15,"","","",""
49,65,1,"",10,11,12,13,16,14,15,"","","",""
50,65,2,"",10,11,12,13,16,14,15,"","","",""
51,65,3,"",10,11,12,13,16,14,15,"","","",""
52,65,4,"",10,11,12,13,16,14,15,"","","",""
53,66,0,"",10,11,12,13,16,14,15,1,"","",""
54,133,0,"",49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
55,134,0,"",49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
56,135,0,"",49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
57,136,0,"",77,76,71,70,75,72,73,"","","",""
58,137,0,"",77,76,71,70,75,72,73,"","","",""
59,138,0,"",77,76,71,70,75,72,73,"","","",""
60,1598,0,"",175,174,177,176,181,178,179,"","Metadata/Effects/Spells/holy_strike/epk/holystrike_weapon_surge.epk","",""
61,1598,2,"",183,182,185,184,189,186,187,1,"Metadata/Effects/Microtransactions/Spells/zana/HolyStrike/EPKs/holystrike_weapon_surge.epk","",""
62,1598,3,"",191,190,193,192,197,194,195,1,"Metadata/Effects/Microtransactions/Spells/Holy_Strike/Sirus/epk/sirus_holystrike_weapon_surge.epk","",""
63,1598,4,"",199,198,201,200,205,202,203,1,"Metadata/Effects/Microtransactions/Spells/Holy_Strike/Holy_skills_abyssal/epk/holystrike_weapon_surge.epk","",""
64,149,0,"",103,103,104,104,105,105,105,"","","",""
65,150,0,"",103,103,104,104,105,105,105,"","","",""
66,151,0,"",103,103,104,104,105,105,105,"","","",""
67,618,0,"",63,62,65,64,69,66,67,"","Metadata/Effects/Spells/fortify/surge/fortify_surge.epk","",""
68,619,0,"",63,62,65,64,69,66,67,"","Metadata/Effects/Spells/fortify/surge/fortify_surge.epk","",""
69,620,0,"",63,62,65,64,69,66,67,"","Metadata/Effects/Spells/fortify/surge/fortify_surge.epk","",""
70,624,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","",""
71,625,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","",""
72,626,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","",""
73,648,0,"",10,11,12,13,16,14,15,"","","",""
74,649,0,"",10,11,12,13,16,14,15,"","","",""
75,650,0,"",10,11,12,13,16,14,15,"","","",""
76,340,0,"",10,11,12,13,16,14,15,"","","",""
77,340,1,"",10,11,12,13,16,14,15,"","","",""
78,341,0,"",10,11,12,13,16,14,15,"","","",""
79,341,1,"",10,11,12,13,16,14,15,"","","",""
80,342,0,"",10,11,12,13,16,14,15,"","","",""
81,342,1,"",10,11,12,13,16,14,15,"","","",""
82,453,0,371,49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
83,453,1,"",10,11,12,13,16,14,15,"","","",""
84,453,2,"",10,11,12,13,16,14,15,"","","",""
85,453,3,1908,10,11,12,13,16,14,15,"","","",""
86,453,4,"",10,11,12,13,16,14,15,1,"","",""
87,453,5,4344,10,11,12,13,16,14,15,1,"Metadata/Effects/Microtransactions/Spells/molten_strike/celestial/Celestial_surge.epk","",""
88,453,6,"",10,11,12,13,16,14,15,"","","",""
89,453,7,"",10,11,12,13,16,14,15,"","","",""
90,454,0,371,49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
91,454,1,"",10,11,12,13,16,14,15,"","","",""
92,454,2,"",10,11,12,13,16,14,15,"","","",""
93,454,3,1908,10,11,12,13,16,14,15,"","","",""
94,454,4,"",10,11,12,13,16,14,15,1,"","",""
95,454,5,4344,10,11,12,13,16,14,15,1,"Metadata/Effects/Microtransactions/Spells/molten_strike/celestial/Celestial_surge.epk","",""
96,454,6,"",10,11,12,13,16,14,15,"","","",""
97,454,7,"",10,11,12,13,16,14,15,"","","",""
98,455,0,371,49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
99,455,1,"",10,11,12,13,16,14,15,"","","",""
100,455,2,"",10,11,12,13,16,14,15,"","","",""
101,455,3,1908,10,11,12,13,16,14,15,"","","",""
102,455,4,"",10,11,12,13,16,14,15,1,"","",""
103,455,5,4344,10,11,12,13,16,14,15,1,"Metadata/Effects/Microtransactions/Spells/molten_strike/celestial/Celestial_surge.epk","",""
104,455,6,"",10,11,12,13,16,14,15,"","","",""
105,455,7,"",10,11,12,13,16,14,15,"","","",""
106,1347,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/smite_weapon_surge.epk","",""
107,1347,1,"",6,5,8,7,9,9,9,1,"","",""
108,1347,3,"",169,170,171,172,173,173,173,1,"","",""
109,1348,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/smite_weapon_surge.epk","",""
110,1348,1,"",6,5,8,7,9,9,9,1,"","",""
111,1348,3,"",169,170,171,172,173,173,173,1,"","",""
112,1349,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/smite_weapon_surge.epk","",""
113,1349,1,"",6,5,8,7,9,9,9,1,"","",""
114,1349,3,"",169,170,171,172,173,173,173,1,"","",""
115,343,0,"",10,11,12,13,16,14,15,"","","",""
116,193,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/holy_phys_weapon_surge.epk","",""
117,193,1,"",129,129,130,130,133,131,132,"","Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/holy_celestial_weapon_surge.epk","",""
118,194,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/holy_phys_weapon_surge.epk","",""
119,194,1,"",129,129,130,130,133,131,132,"","Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/holy_celestial_weapon_surge.epk","",""
120,195,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/holy_phys_weapon_surge.epk","",""
121,195,1,"",129,129,130,130,133,131,132,"","Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/holy_celestial_weapon_surge.epk","",""
122,229,0,"",10,11,12,13,16,14,15,"","","",""
123,230,0,"",10,11,12,13,16,14,15,"","","",""
124,231,0,"",10,11,12,13,16,14,15,"","","",""
125,232,0,"",10,11,12,13,16,14,15,"","","",""
126,1510,0,"",46,47,46,47,46,46,47,1,"","",""
127,591,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","",""
128,591,1,"",122,121,116,115,120,117,118,"","Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_surge_automaton.epk","",""
129,593,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","",""
130,593,1,"",122,121,116,115,120,117,118,"","Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_surge_automaton.epk","",""
131,594,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","",""
132,594,1,"",122,121,116,115,120,117,118,"","Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_surge_automaton.epk","",""
133,1231,0,"",56,55,58,57,59,60,61,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
134,1232,0,"",56,55,58,57,59,60,61,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
135,1233,0,"",56,55,58,57,59,60,61,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
136,1234,0,"",56,55,58,57,59,60,61,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
137,1344,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/holy_fire_weapon_surge.epk","",""
138,1344,2,"",139,138,137,136,140,134,135,"","","",""
139,1345,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/holy_fire_weapon_surge.epk","",""
140,1345,2,"",139,138,137,136,140,134,135,"","","",""
141,1346,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/holy_fire_weapon_surge.epk","",""
142,1346,2,"",139,138,137,136,140,134,135,"","","",""
143,1523,0,"","","","","","","","",1,"","",""
144,1528,0,"",10,11,12,13,16,14,15,"","","",""
145,1528,1,"",10,11,12,13,16,14,15,"","","",""
146,1528,2,"",10,11,12,13,16,14,15,"","","",""
147,1528,3,"",10,11,12,13,16,14,15,"","","",""
148,1528,4,"",10,11,12,13,16,14,15,"","","",""
149,114,0,"",94,93,96,95,"","","","","","",""
150,114,1,"",166,165,168,167,"","","",1,"","",""
151,115,0,"",94,93,96,95,"","","","","","",""
