"rownum","MTX","Tier","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","DDSFile","i32_36","string_40"
0,4078,1,"Orb of Transmutation","Orbe de transmutation","Umwandlungssphäre","変成のオーブ","진화의 오브","Orbe de Transmutação","Сфера превращения","Orbe de transmutación","Orb of Transmutation","蛻變石","Art/2DItems/Currency/CurrencyUpgradeToMagic.dds",42,""
1,4078,2,"Orb of Augmentation","Orbe d'augmentation","Aufwertungssphäre","増強のオーブ","확장의 오브","Orbe de Ampliação","Сфера усиления","Orbe de aumento","Orb of Augmentation","增幅石","Art/2DItems/Currency/CurrencyAddModToMagic.dds",43,""
2,4078,3,"Orb of Alteration","Orbe d'altération","Veränderungssphäre","改変のオーブ","변화의 오브","Orbe de Alteração","Сфера перемен","Orbe de alteración","Orb of Alteration","改造石","Art/2DItems/Currency/CurrencyRerollMagic.dds",55,""
3,4078,4,"Orb of Chance","Orbe de chance","Sphäre der Möglichkeiten","可能性のオーブ","기회의 오브","Orbe da Chance","Сфера удачи","Orbe de azar","Orb of Chance","機會石","Art/2DItems/Currency/CurrencyUpgradeRandomly.dds",44,""
4,4078,5,"Orb of Alchemy","Orbe d'alchimie","Sphäre der Alchemie","錬金術のオーブ","연금술의 오브","Orbe da Alquimia","Сфера алхимии","Orbe de alquimia","Orb of Alchemy","點金石","Art/2DItems/Currency/CurrencyUpgradeToRare.dds",45,""
5,4078,6,"Chaos Orb","Orbe du chaos","Chaossphäre","カオスオーブ","카오스 오브","Orbe do Caos","Сфера хаоса","Orbe de caos","Chaos Orb","混沌石","Art/2DItems/Currency/CurrencyRerollRare.dds",46,""
6,4078,7,"Orb of Scouring","Orbe de suppression","Sphäre der Läuterung","洗浄のオーブ","정제의 오브","Orbe do Expurgo","Сфера очищения","Orbe de purga","Orb of Scouring","重鑄石","Art/2DItems/Currency/CurrencyConvertToNormal.dds",53,""
7,4078,8,"Orb of Regret","Orbe de regret","Sphäre der Reue","後悔のオーブ","후회의 오브","Orbe do Arrependimento","Сфера раскаяния","Orbe de arrepentimiento","Orb of Regret","後悔石","Art/2DItems/Currency/CurrencyPassiveSkillRefund.dds",48,""
8,4078,9,"Blessed Orb","Orbe béni","Gesegnete Sphäre","祝福のオーブ","축복의 오브","Orbe Abençoado","Благодатная сфера","Orbe bendito","Blessed Orb","祝福石","Art/2DItems/Currency/CurrencyImplicitMod.dds",49,""
9,4078,10,"Vaal Orb","Orbe vaal","Vaalsphäre","ヴァ―ルオーブ","바알 오브","Orbe Vaal","Сфера ваал","Orbe vaal","Vaal Orb","瓦爾寶珠","Art/2DItems/Currency/CurrencyVaal.dds",47,""
10,4078,11,"Orb of Annulment","Orbe d'annulation","Sphäre der Annullierung","消去のオーブ","소멸의 오브","Orbe da Anulação","Сфера отмены","Orbe de anulación","Orb of Annulment","無效石","Art/2DItems/Currency/AnnullOrb.dds",56,""
11,4078,12,"Exalted Orb","Orbe exalté","Erhabene Sphäre","高貴なオーブ","엑잘티드 오브","Orbe Exaltado","Сфера возвышения","Orbe exaltado","Exalted Orb","崇高石","Art/2DItems/Currency/CurrencyAddModToRare.dds",51,""
12,4078,13,"Divine Orb","Orbe divin","Göttliche Sphäre","神のオーブ","신성한 오브","Orbe Divino","Божественная сфера","Orbe divino","Divine Orb","神聖石","Art/2DItems/Currency/CurrencyModValues.dds",52,""
13,4078,14,"Mirror of Kalandra","Miroir de Kalandra","Spiegel von Kalandra","カランドラの鏡","칼란드라의 거울","Espelho de Kalandra","Зеркало Каландры","Espejo de Kalandra","Mirror of Kalandra","卡蘭德的魔鏡","Art/2DItems/Currency/CurrencyDuplicate.dds",54,""
14,4172,1,"Fire","Feu","Feuer","火","화염","Fogo","Огонь","Fuego","ไฟ","火焰","",65,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolFire"
15,4172,2,"Cold","Froid","Kälte","冷気","냉기","Gelo","Холод","Hielo","น้ำแข็ง","冰冷","",65,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolCold"
16,4172,3,"Lightning","Foudre","Blitz","雷","번개","Raio","Молния","Rayo","สายฟ้า","閃電","",65,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolLightning"
17,4172,4,"Shifting","Changeant","Wechsel","変化","변화","Mutável","Переменный","Cambiante","สับเปลี่ยนธาตุ","移動","",65,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolShifting"
18,4195,1,"Fire","Feu","Feuer","火","화염","Fogo","Огонь","Fuego","ไฟ","火焰","",65,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolFire"
19,4195,2,"Cold","Froid","Kälte","冷気","냉기","Gelo","Холод","Hielo","น้ำแข็ง","冰冷","",65,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolCold"
20,4195,3,"Lightning","Foudre","Blitz","雷","번개","Raio","Молния","Rayo","สายฟ้า","閃電","",65,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolLightning"
