"rownum","ModsKey","AtlasModTiers"
0,13240,2
1,13241,2
2,13242,3
3,13243,2
4,13244,3
5,13245,2
6,13246,3
7,13247,2
8,13248,3
9,13249,2
10,13250,2
11,13251,3
12,13252,2
13,13253,3
14,13254,2
15,13255,3
16,13256,2
17,13257,3
18,13258,2
19,13259,3
20,13260,2
21,13261,3
22,13262,2
23,13263,2
24,13264,2
25,13265,2
26,13266,3
27,13267,2
28,13268,3
29,13269,2
30,13270,3
31,13271,2
32,13272,3
33,13273,2
34,13274,3
35,13275,2
36,13276,3
37,13277,2
38,13278,3
39,13279,2
40,13280,2
41,13281,3
42,13282,2
43,13283,3
44,13284,2
45,13285,3
46,13286,2
47,13287,3
48,13288,2
49,13289,3
50,13290,2
51,13291,3
52,13292,2
53,13293,3
54,13294,2
55,13295,3
56,13296,2
57,13297,3
58,13298,2
59,13299,3
60,13300,2
61,13301,3
62,13302,2
63,13303,3
64,13304,2
65,13305,3
66,13306,2
67,13307,3
68,13308,2
69,13309,3
70,13310,2
71,13311,3
72,13312,2
73,13313,3
74,13314,2
75,13315,3
76,13316,2
77,13317,3
78,13318,2
79,13319,3
80,13320,2
81,13321,3
82,13322,2
83,13323,3
84,13324,2
85,13325,3
86,13326,2
87,13327,3
88,13328,2
89,13329,3
90,13330,2
91,13331,3
92,13334,2
93,13335,3
94,13336,2
95,13337,3
96,13338,2
97,13339,3
98,13340,2
99,13341,2
100,13342,2
101,13343,3
102,13344,3
103,13345,3
104,13346,2
105,13347,3
106,13348,2
107,13349,3
108,20923,2
109,20924,3
110,20937,2
111,20938,3
112,20941,2
113,20942,3
114,20943,2
115,20944,3
116,20945,2
117,20946,2
118,20947,2
119,20948,3
120,20949,2
121,20950,3
122,20951,2
123,20994,2
124,20995,3
125,20998,2
126,20999,3
127,21242,2
128,21243,3
129,21397,2
130,21398,3
131,22495,2
132,22496,3
133,23246,2
134,23247,3
135,23242,2
136,23243,3
137,24823,2
138,24824,3
139,24825,2
140,24826,3
