"rownum","ModsKey","Weight","MinLevel","MaxLevel"
0,20773,80,13,100
1,20774,80,0,100
2,20775,80,0,100
3,20776,40,13,100
4,20777,40,0,100
5,20778,40,0,100
6,20779,120,13,100
7,20780,120,0,100
8,20781,120,0,100
9,20782,80,20,100
10,20783,80,20,100
11,20784,80,20,100
12,20785,50,68,100
13,20786,50,68,100
14,20787,50,68,100
15,20788,50,40,100
16,20789,50,40,100
17,20790,50,40,100
18,20791,80,13,100
19,20792,80,0,100
20,20793,80,0,100
21,20794,120,13,100
22,20795,120,0,100
23,20796,120,0,100
24,20797,120,13,100
25,20798,120,0,100
26,20799,120,0,100
27,20800,120,13,100
28,20801,120,68,100
29,20802,120,68,100
30,20803,80,13,100
31,20804,80,0,100
32,20805,80,0,100
33,20806,50,68,100
34,20807,50,68,100
35,20808,0,68,100
36,20809,50,68,100
37,20810,50,68,100
38,20811,0,68,100
39,20812,50,68,100
40,20813,50,68,100
41,20814,50,68,100
42,20815,50,40,100
43,20816,50,40,100
44,20817,0,40,100
45,20818,80,20,100
46,20819,50,50,100
47,20820,37,68,100
48,20821,50,30,100
49,20822,80,13,100
50,20823,120,13,100
51,20824,37,13,100
52,20825,50,68,100
53,20826,80,63,100
54,20827,120,13,100
55,20828,80,13,100
56,20829,50,13,100
57,20830,120,0,100
58,20831,120,0,100
59,20832,120,13,100
60,20833,120,0,100
61,20834,50,40,100
62,20841,120,0,100
63,20842,80,20,100
64,20843,50,40,100
