"rownum","IntId","StringId","[i32]_12","[f32]_28","Animation","i32_60","i32_64","bool_68"
0,0,"Default","[25,30,35,40]","[0,0.2,0.2,0.2]","[2062,2063,2064,2065]",3,0,""
1,1,"Powerball1","[20,26,32]","[0,0.5,0.5]","[2922,2923,2924]",4,0,""
2,2,"Powerball2","[20,26,32,38]","[0,0.33,0.33,0.33]","[2922,2923,2924,2925]",4,0,""
3,3,"Powerball3","[20,26,32,38,44]","[0,0.25,0.25,0.25,0.25]","[2922,2923,2924,2925,2926]",4,0,""
4,4,"Powerball4","[20,26,32,38,44,50]","[0,0.2,0.2,0.2,0.2,0.2]","[2922,2923,2924,2925,2926,2927]",4,0,""
5,5,"Powerball5","[20,26,32,38,44,50,56]","[0,0.17,0.17,0.17,0.17,0.16,0.16]","[2922,2923,2924,2925,2926,2927,2928]",4,0,""
6,6,"Powerball6","[20,26,32,38,44,50,56,62]","[0,0.14,0.14,0.14,0.14,0.14,0.15,0.15]","[2922,2923,2924,2925,2926,2927,2928,2929]",4,0,""
7,7,"Powerball7","[20,26,32,38,44,50,56,62,68]","[0,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13]","[2922,2923,2924,2925,2926,2927,2928,2929,2930]",4,0,""
8,8,"Powerball8","[20,26,32,38,44,50,56,62,68,74]","[0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11]","[2922,2923,2924,2925,2926,2927,2928,2929,2930,2931]",4,0,""
9,9,"ViperNaputzi","[40,33,26,19,0]","[0,0.6,0.6,3]","[3199,3200,3201,3202]",4,0,1
10,10,"MetamorphShockNova","[10,15,20,25,30,35,40]","[0,0.2,0.2,0.2,0.2,0.2]","[3250,3250,3250,3250,3250,3250]",2,0,1
11,11,"AfflictionExplosion1","[9,18,28]","[0,0.25,0.25]","[3857,3858,3859]",4,0,""
12,12,"AfflictionExplosion2","[9,18,28,37]","[0,0.25,0.25,0.25]","[3857,3858,3859,3860]",4,0,""
13,13,"AfflictionExplosion3","[9,18,28,37,46]","[0,0.25,0.25,0.25,0.25]","[3857,3858,3859,3860,3861]",4,0,""
14,14,"AfflictionExplosion4","[9,18,28,37,46,55]","[0,0.25,0.25,0.25,0.25,0.25]","[3857,3858,3859,3860,3861,3862]",4,0,""
15,15,"AfflictionExplosion5","[9,18,28,37,46,55,64]","[0,0.25,0.25,0.25,0.25,0.25,0.25]","[3857,3858,3859,3860,3861,3862,3863]",4,0,""
16,16,"AfflictionExplosion6","[9,18,28,37,46,55,64,74]","[0,0.25,0.25,0.25,0.25,0.25,0.25,0.25]","[3857,3858,3859,3860,3861,3862,3863,3864]",4,0,""
17,17,"AfflictionExplosion7","[9,18,28,37,46,55,64,74,83]","[0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]","[3857,3858,3859,3860,3861,3862,3863,3864,3865]",4,0,""
18,18,"AfflictionExplosion8","[9,18,28,37,46,55,64,74,83,92]","[0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]","[3857,3858,3859,3860,3861,3862,3863,3864,3865,3866]",4,0,""
