"rownum","Hideout_NPCsKey","Regular_NPCsKeys","HideoutDoodadsKey","NPCMasterKey","rid_52","QuestFlag","i32_84","Quest","i32_104","bool_108","Ruleset","bool_125"
0,172,[174],1375,1,"","",112,108,59,"","",""
1,329,"[344,328]",1376,2,"","",606,110,59,"","",""
2,342,"[27,229,341]",1372,3,"",242,1770,11,59,1,"",""
3,337,"[332,335]",1377,4,"","",68,111,59,"",76,""
4,340,[338],1378,5,"","",592,118,59,"",87,""
5,397,"[395,396]",1379,13,"","",372,122,59,"","",""
6,412,[410],1381,15,"","",353,106,59,"",15,""
7,511,[511],1382,21,"","",1092,"",59,1,"",""
8,520,[512],1383,22,"","",1093,"",59,1,"",""
9,521,[513],1384,23,"","",1094,"",59,1,"",""
10,522,[514],1385,24,"","",1095,"",59,1,"",""
11,533,"[531,532]",1386,26,"","",1155,"",41,1,"",""
12,535,"[192,298,313,314]",1387,0,"","",1163,73,59,1,"",""
13,668,"[666,667]",1390,60,"","",608,"",59,"","",""
14,678,[676],1391,61,"","",683,"",59,1,"",1
15,707,[706],1392,62,"","",1493,"",59,1,"",""
16,774,[773],1393,63,"","",1,"",59,"","",""
