"rownum","i32_0","i32_4","i32_8"
0,1,36,22
1,2,38,21
2,3,40,20
3,4,43,23
4,5,46,22
5,6,48,21
6,7,51,24
7,8,53,23
8,9,56,23
9,10,58,25
10,11,62,24
11,12,64,25
12,13,68,25
13,14,71,27
14,15,74,26
15,16,77,28
16,17,81,27
17,18,84,29
18,19,88,30
19,20,91,29
20,21,95,31
21,22,99,32
22,23,104,34
23,24,108,33
24,25,112,34
25,26,116,35
26,27,122,37
27,28,126,38
28,29,132,38
29,30,137,40
30,31,142,42
31,32,148,43
32,33,153,44
33,34,160,45
34,35,166,47
35,36,172,48
36,37,179,50
37,38,185,52
38,39,192,53
39,40,200,55
40,41,207,57
41,42,215,59
42,43,223,61
43,44,232,63
44,45,241,66
45,46,249,68
46,47,259,71
47,48,269,72
48,49,279,75
49,50,289,78
50,51,300,81
51,52,311,83
52,53,323,87
53,54,334,89
54,55,347,93
55,56,360,96
56,57,373,100
57,58,387,104
58,59,401,108
59,60,416,112
60,61,431,116
61,62,447,120
62,63,463,125
63,64,480,130
64,65,498,135
65,66,516,140
66,67,535,145
67,68,554,151
68,69,586,157
69,70,619,162
70,71,654,170
71,72,690,175
72,73,729,182
73,74,769,190
74,75,810,197
75,76,855,205
76,77,901,213
77,78,949,222
78,79,1000,230
79,80,1053,240
80,81,1108,249
81,82,1167,259
82,83,1228,269
83,84,1291,280
84,85,1358,292
85,86,1428,304
86,87,1415,316
87,88,1402,328
88,89,1390,342
89,90,1377,356
90,91,1365,371
91,92,1353,386
92,93,1341,402
93,94,1330,418
94,95,1319,435
95,96,1307,453
96,97,1297,472
97,98,1286,491
98,99,1275,512
99,100,1265,533
