"rownum","UniqueName","Value","RuthlessValue"
0,41,32.35,4.78
1,42,1,1
2,43,1.19,1.08
3,44,1.03,1.01
4,45,1.37,1.15
5,47,8.51,2.62
6,48,683,18.86
7,49,1.51,1.2
8,50,5.46,2.15
9,51,683,18.86
10,52,1,1
11,53,250.01,12
12,54,2.01,1.37
13,55,1,1
14,56,5,2.06
15,57,12.14,3.08
16,58,1.6,1.24
17,59,2.16,1.41
18,60,3.56,1.77
19,61,1.38,1.16
20,62,1.41,1.17
21,64,3.95,1.86
22,65,1.03,1.01
23,66,1.19,1.08
24,67,1.06,1.03
25,68,1.19,1.08
26,70,4.07,1.88
27,71,39.79,5.25
28,72,43.48,5.46
29,74,2.61,1.54
30,75,3.51,1.76
31,76,1.06,1.03
32,77,7.38,2.46
33,78,9.58,2.76
34,79,4.93,2.05
35,80,1.92,1.34
36,81,1.38,1.16
37,82,5.81,2.21
38,83,1.06,1.03
39,84,1.27,1.11
40,85,2.36,1.47
41,86,2.95,1.63
42,88,2.22,1.43
43,89,1.06,1.03
44,90,2.5,1.51
45,91,2.16,1.41
46,92,5.15,2.09
47,93,1.27,1.11
48,94,17.82,3.66
49,95,2.16,1.41
50,96,5.63,2.18
51,97,1.33,1.14
52,98,1.38,1.16
53,99,1.13,1.06
54,100,1,1
55,101,1.51,1.2
56,102,12.2,3.08
57,103,3.36,1.73
58,104,10.52,2.88
59,105,1.75,1.29
60,106,2.19,1.42
61,107,9.58,2.76
62,108,43.48,5.46
63,109,1.56,1.22
64,110,1.23,1.1
65,111,15.37,3.42
66,112,2.58,1.53
67,113,4.38,1.94
68,264,1.49,1.2
69,115,4.33,1.93
70,117,11.11,2.96
71,118,13.26,3.2
72,119,5.55,2.16
73,120,7.25,0.9
74,129,8.65,2.64
75,121,43.48,5.46
76,122,1.19,1.08
77,123,523.46,16.73
78,124,2.03,1.38
79,126,5.46,2.15
80,127,1.95,1.35
81,128,6.07,2.25
82,130,1.75,1.29
83,132,3.32,1.72
84,133,1.86,1.32
85,135,1.75,1.29
86,136,36.41,5.04
87,137,1.41,1.17
88,139,36.41,5.04
89,140,1.43,1.17
90,141,5.99,2.24
91,142,3.96,1.86
92,144,6.07,2.25
93,145,1.73,1.28
94,146,1.25,1.11
95,147,1.03,1.01
96,148,2.01,1.37
97,149,3.31,1.71
98,150,4.65,2
99,152,683,18.86
100,154,2.36,1.47
101,155,2.03,1.38
102,156,12.88,3.16
103,157,1.33,1.14
104,158,50.4,5.84
105,159,6.52,2.32
106,160,24.79,4.24
107,161,13.26,3.2
108,162,2.65,1.55
109,163,2.16,1.41
110,164,4.79,2.02
111,165,3.67,1.8
112,166,1.27,1.11
113,167,1.38,1.16
114,168,2.4,1.48
115,169,4.26,1.92
116,171,7.03,0.9
117,172,12.14,3.08
118,173,2.47,1.5
119,174,5.89,2.22
120,175,5.72,0.9
121,176,6.52,2.32
122,177,7.46,0.9
123,178,7.15,2.42
