"rownum","WorldAreasKey","NPCTextAudioKey","MonsterVarieties"
0,80,5768,[]
1,78,5769,[]
2,82,5770,[]
3,83,5771,[]
4,84,5772,[]
5,86,5773,[]
6,87,5774,[]
7,88,5775,[]
8,89,5776,[]
9,90,5777,[5772]
10,91,5778,[]
11,92,5779,[]
12,93,5780,[]
13,94,5781,[6000]
14,95,5782,[]
15,96,5783,[]
16,97,5784,[1608]
17,98,5785,[]
18,99,5786,[]
19,100,5787,[]
20,101,5788,[5483]
21,103,5789,[]
22,104,5790,[]
23,105,5791,[]
24,106,5792,[]
25,107,5793,[]
26,109,5794,[]
27,108,5795,[]
28,110,5796,[]
29,111,5797,[5713]
30,112,5798,[]
31,113,5799,[6035]
32,114,5800,[]
33,115,5801,[]
34,116,5802,[]
35,117,5803,[5729]
36,118,5804,[]
37,120,5805,[]
38,121,5806,[]
39,122,5813,[]
40,123,5815,[6049]
41,124,5814,[]
42,125,5816,[]
43,126,5817,[]
44,127,5818,[]
45,128,5807,[]
46,129,5808,[]
47,130,5809,[]
48,131,5812,[]
49,132,5810,[]
50,133,5811,[]
51,134,5819,"[5632,5656]"
52,136,5820,[]
53,138,5821,[]
54,139,5822,[]
55,140,5824,[6266]
56,141,5823,[]
57,142,5825,[]
58,143,5826,[]
59,144,5827,[6091]
60,145,5828,[]
61,147,5829,[]
62,148,5830,[]
63,150,5831,[]
64,151,5832,[]
65,152,5835,[]
66,153,5836,[]
67,154,5838,[]
68,155,5839,[5745]
69,156,5833,[]
70,157,5834,[]
71,158,5837,[]
