"rownum","Id","DisplayedName","DisplayedName (French)","DisplayedName (German)","DisplayedName (Japanese)","DisplayedName (Korean)","DisplayedName (Portuguese)","DisplayedName (Russian)","DisplayedName (Spanish)","DisplayedName (Thai)","DisplayedName (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","ActionType","Icon_DDSFile","ActiveSkillTargetTypes","ActiveSkillTypes","WeaponRestriction_ItemClassesKeys","WebsiteDescription","WebsiteImage","bool_112","string_113","bool_121","SkillTotemId","IsManuallyCasted","Input_StatKeys","Output_StatKeys","MinionActiveSkillTypes","bool_175","bool_176","[rid]_177","i32_193","AlternateSkillTargetingBehavioursKey","bool_213","AIFile","[rid]_222","bool_238","bool_239","bool_240","TransfigureBase"
0,"sweep","Sweep","Balayage","Rundumschlag","スウィープ","휩쓸기","Arrastão","Круговой взмах","Barrido","ควง (Sweep)","橫掃","Swings a two handed melee weapon in a circle, knocking back monsters around the character.","Un coup circulaire avec une masse à deux mains ou un bâton, faisant s'abattre des éclairs sacrés sur un certain nombre d'ennemis touchés.","Schwingt eine Zweihand-Nahkampfwaffe im Kreis, wodurch Monster vom Charakter zurückgestoßen werden.","両手近接武器を円を描くように振り回し、攻撃を受けた複数の敵に聖なるハンマーをランダムに呼び落とす。聖なるハンマーによるヒットは回避されることがない。","양손 근접 무기를 원형으로 휘둘러, 주위의 몬스터들을 밀어냅니다.","Ataca girando com uma arma corpo a corpo de duas mãos, empurrando os inimigos ao redor do personagem.","Герой взмахивает двуручным оружием ближнего боя по кругу, отбрасывая врагов.","Haces un círculo con un arma cuerpo a cuerpo a dos manos para empujar a los monstruos que están alrededor del personaje.","เหวี่ยง อาวุธสองมือ เป็นวงกลมเพื่อผลักมอนสเตอร์รอบตัวละครออกไป","繞圈揮舞雙手武器，擊退角色周遭範圍內的敵人。",0,"Art/2DArt/SkillIcons/sweep.dds","[1,2]","[0,7,23,19]","[14,16,17,15,57]","Sometimes a good blade just isn't enough. With a mighty swing, a player wielding a staff, two-handed axe or mace smashes the skulls of many enemies surrounding them. The furious blow breaks armour and bone alike, even knocking foes back a substantial distance.","http://s3.amazonaws.com/pathofexile/image/skills/strength/sweep.jpg","","Sweep","",22,1,"[4045,4295,4208,10576,18112,18113]","[24,481,436,187,723,2674]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
1,"sweep_alt_x","[DNT] SweepAltX","[DNT] SweepAltX","[DNT] SweepAltX","[DNT] SweepAltX","[DNT] SweepAltX","[DNT] SweepAltX","[DNT] SweepAltX","[DNT] SweepAltX","[DNT] SweepAltX","[DNT] SweepAltX","Swings a two handed melee weapon in a circle, knocking back monsters around the character.","Un coup circulaire avec une masse à deux mains ou un bâton, faisant s'abattre des éclairs sacrés sur un certain nombre d'ennemis touchés.","Schwingt eine Zweihand-Nahkampfwaffe im Kreis, wodurch Monster vom Charakter zurückgestoßen werden.","両手近接武器を円を描くように振り回し、攻撃を受けた複数の敵に聖なるハンマーをランダムに呼び落とす。聖なるハンマーによるヒットは回避されることがない。","양손 근접 무기를 원형으로 휘둘러, 주위의 몬스터들을 밀어냅니다.","Ataca girando com uma arma corpo a corpo de duas mãos, empurrando os inimigos ao redor do personagem.","Герой взмахивает двуручным оружием ближнего боя по кругу, отбрасывая врагов.","Haces un círculo con un arma cuerpo a cuerpo a dos manos para empujar a los monstruos que están alrededor del personaje.","เหวี่ยง อาวุธสองมือ เป็นวงกลมเพื่อผลักมอนสเตอร์รอบตัวละครออกไป","繞圈揮舞雙手武器，擊退角色周遭範圍內的敵人。",0,"Art/2DArt/SkillIcons/sweep.dds","[1,2]","[0,7,23,19]","[14,16,17,15,57]","Sometimes a good blade just isn't enough. With a mighty swing, a player wielding a staff, two-handed axe or mace smashes the skulls of many enemies surrounding them. The furious blow breaks armour and bone alike, even knocking foes back a substantial distance.","http://s3.amazonaws.com/pathofexile/image/skills/strength/sweep.jpg","","Sweep","",22,1,"[4045,4295,4208,10576,18112,18113]","[24,481,436,187,723,2674]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,0
2,"sweep_alt_y","[DNT] SweepAltY","[DNT] SweepAltY","[DNT] SweepAltY","[DNT] SweepAltY","[DNT] SweepAltY","[DNT] SweepAltY","[DNT] SweepAltY","[DNT] SweepAltY","[DNT] SweepAltY","[DNT] SweepAltY","Swings a two handed melee weapon in a circle, knocking back monsters around the character.","Un coup circulaire avec une masse à deux mains ou un bâton, faisant s'abattre des éclairs sacrés sur un certain nombre d'ennemis touchés.","Schwingt eine Zweihand-Nahkampfwaffe im Kreis, wodurch Monster vom Charakter zurückgestoßen werden.","両手近接武器を円を描くように振り回し、攻撃を受けた複数の敵に聖なるハンマーをランダムに呼び落とす。聖なるハンマーによるヒットは回避されることがない。","양손 근접 무기를 원형으로 휘둘러, 주위의 몬스터들을 밀어냅니다.","Ataca girando com uma arma corpo a corpo de duas mãos, empurrando os inimigos ao redor do personagem.","Герой взмахивает двуручным оружием ближнего боя по кругу, отбрасывая врагов.","Haces un círculo con un arma cuerpo a cuerpo a dos manos para empujar a los monstruos que están alrededor del personaje.","เหวี่ยง อาวุธสองมือ เป็นวงกลมเพื่อผลักมอนสเตอร์รอบตัวละครออกไป","繞圈揮舞雙手武器，擊退角色周遭範圍內的敵人。",0,"Art/2DArt/SkillIcons/sweep.dds","[1,2]","[0,7,23,19]","[14,16,17,15,57]","Sometimes a good blade just isn't enough. With a mighty swing, a player wielding a staff, two-handed axe or mace smashes the skulls of many enemies surrounding them. The furious blow breaks armour and bone alike, even knocking foes back a substantial distance.","http://s3.amazonaws.com/pathofexile/image/skills/strength/sweep.jpg","","Sweep","",22,1,"[4045,4295,4208,10576,18112,18113]","[24,481,436,187,723,2674]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,0
3,"vaal_sweep","Vaal Sweep","Balayage vaal","Vaal-Rundumschlag","ヴァールスウィープ","바알 휩쓸기","Arrastão Vaal","Круговой взмах ваал","Barrido vaal","วาล์ ควง (Vaal Sweep)","瓦爾．橫掃","Repeatedly swings a two handed melee weapon in a circle, knocking back monsters away from the character.","Une répétition de coups circulaires avec une arme à deux mains qui repousse les monstres loin du personnage.","Schwingt mehrfach eine Zweihand-Nahkampfwaffe im Kreis, wodurch Monster vom Charakter zurückgestoßen werden.","両手近接武器を振り回して繰り返し円を描き、キャラクターからモンスターをノックバックする。","양손 근접 무기를 원형으로 여러 번 휘둘러 몬스터들을 밀어냅니다.","Gira uma arma de duas mãos repetidamente em um círculo, empurrando monstros para longe do personagem.","Герой несколько раз взмахивает посохом, двуручным оружием или булавой, отбрасывая врагов.","Golpea repetidamente en círculos con un arma cuerpo a cuerpo a dos manos y empuja a los monstruos lejos del personaje.","เหวี่ยง อาวุธประชิดสองมือ ซ้ำๆ เป็นวงกลม ทำให้มอนสเตอร์รอบตัวละครถูกผลักออกไป","將武器在身體周圍橫掃多次，並將部分怪物擊退。",0,"Art/2DArt/SkillIcons/sweep.dds","[1,2]","[0,7,19,37,121]","[14,16,17,15,57]","","",1,"","",22,1,"[4045,4295,4208,10576,18112,18113]","[24,481,436,187,723,2674]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
4,"ground_slam_old","Ground Slam","Fracas tellurique","Schmetterhieb","グラウンドスラム","대지 강타","Impacto Sísmico","Сотрясение","Impacto sísmico","ทุบพื้น (Ground Slam)","裂地之擊","The character slams the ground in front of them with a Staff, Mace or Sceptre, creating a wave that travels forward and damages enemies with an increased chance to stun.","Le personnage frappe le sol devant lui avec un bâton, une masse ou un sceptre, et projette vers l'avant une vague qui endommage les ennemis avec des chances augmentées de les étourdir. Ne fonctionne qu'avec les bâtons, les sceptres et les masses.","Der Charakter schlägt mit einem Stab, Streitkolben oder Zepter auf den Boden vor sich, wodurch er eine nach vorne schnellende Welle erzeugt, die bei Gegnern Schaden verursacht und die Chance auf Betäuben erhöht. Funktioniert nur mit Stäben oder Streitkolben.","キャラクターは前方の地面をスタッフ、メイスまたはセプターで叩きつけ、前方に移動する衝撃波を放つ。衝撃波は敵にダメージを与え、高いスタン確率を持つ。","지팡이나 철퇴, 셉터로 전방의 바닥을 후려치면 앞쪽으로 파도를 일으키며 뻗어 나가 적들에게 피해를 주고 증가된 확률로 기절시킵니다.","O personagem bate no chão à sua frente com um Cajado ou Maça ou Cetro, criando uma onda que segue para frente e causa dano a inimigos, com mais chances de atordoar.","Герой с силой бьёт посохом, булавой или скипетром по земле перед собой и создаёт волну, которая движется вперёд, наносит урон и с повышенной вероятностью оглушает врагов. ","El personaje golpea la tierra frente a él con un báculo, una maza o un cetro y crea una onda que viaja hacia adelante y daña a los enemigos con una probabilidad aumentada de aturdirlos.","ตัวละครทำการทุบพื้นด้านหน้าด้วย ไม้พลอง, กระบอง หรือ คทา สร้างคลื่นพลังที่เคลื่อนที่ไปข้างหน้าซึ่งจะสร้างความเสียหายต่อศัตรูและมีโอกาสสร้างสถานะ สตัน เพิ่มขึ้น","以長杖或錘重擊地面並製造出一道向前釋放的衝擊波，被此衝擊波擊中的敵人將會受到傷害並有較高機率被擊暈。限定長杖與錘。",1,"Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,23,19,91,14]","[12,32,14,17,36,57]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.","http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg","","GroundSlam","",22,1,"[4009,4195,5539,18111]","[24,436,8113,11516]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
5,"vaal_ground_slam_old","Vaal Ground Slam","Fracas tellurique vaal","Vaal-Schmetterhieb","ヴァールグラウンドスラム","바알 대지 강타","Impacto Sísmico Vaal","Сотрясение ваал","Impacto sísmico vaal","วาล์ ทุบพื้น (Vaal Ground Slam)","瓦爾．裂地之擊","The character slams the ground with a Staff, Mace or Sceptre, creating a wave that travels in all directions and damages enemies with an increased chance to stun.","Le personnage frappe le sol avec un bâton, une masse ou un sceptre, et projette une vague dans toutes les directions qui endommage les ennemis et a plus de chances d'étourdir.","Der Charakter schlägt mit einem Stab, Streitkolben oder Zepter auf den Boden, wodurch er eine in alle Richtungen schnellende Welle erzeugt, die bei Gegnern Schaden verursacht und eine erhöhte Chance gewährt, diese zu betäuben.","キャラクターは前方の地面をスタッフ、メイスまたはセプターで叩きつけ、周囲に衝撃波を放ち、敵にダメージを与える。衝撃波は高いスタン確率を持つ。","지팡이나 철퇴, 셉터로 바닥을 후려치면 사방으로 파도를 일으키며 뻗어 나가 적들에게 피해를 주고 증가된 확률로 기절시킵니다.","O personagem bate no chão à sua frente com um Cajado ou Maça ou Cetro, criando uma onda que viaja para todas as direções.","Герой с силой бьёт посохом, булавой или скипетром по земле перед собой и создаёт волны, которые движутся во всех направлениях, наносят урон врагам и имеют повышенный шанс оглушения.","El personaje golpea la tierra frente a él con un báculo, una maza o un cetro y crea una onda que viaja en todas direcciones y daña a los enemigos con una probabilidad aumentada de aturdirlos.","ตัวละครทำการทุบพื้นด้วย ไม้พลอง, กระบอง หรือ คทา สร้างคลื่นพลังไปรอบทิศทางซึ่งจะสร้างความเสียหายต่อศัตรูและมีโอกาสสร้างสถานะ สตัน เพิ่มขึ้น","以長杖或錘重擊地面並製造出一道向周圍釋放具有傷害的衝擊波。",2,"Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,19,37,91,14,121]","[12,32,14,17,36,57]","","",1,"","",22,1,"[4009,4195,5539,18111]","[24,436,8113,11516]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
6,"ground_slam","Ground Slam","Fracas tellurique","Schmetterhieb","グラウンドスラム","대지 강타","Impacto Sísmico","Сотрясение","Impacto sísmico","ทุบพื้น (Ground Slam)","裂地之擊","Slams the ground in front of you, creating a wave that travels forward and damages enemies with an increased chance to stun. The wave deals more damage to closer enemies. Requires an Axe, Mace, Sceptre, Staff or Unarmed.","Fracasse le sol devant votre personnage, créant ainsi une vague qui se déplace vers l'avant et endommage les ennemis avec des chances augmentées de les étourdir. Cette vague inflige davantage de dégâts aux ennemis proches. Fonctionne uniquement avec les haches, les masses, les sceptres, les bâtons ou à mains nues.","Der Charakter schlägt auf den Boden vor sich, wodurch er eine nach vorne schnellende Welle erzeugt, die bei Gegnern Schaden verursacht und die Chance auf Betäuben erhöht. Die Welle verursacht bei nahen Gegnern mehr Schaden. Erfordert eine Axt, einen Streitkolben, ein Zepter, einen Stab oder kann unbewaffnet verwendet werden.","前方の地面を叩きつけ、前方に移動する衝撃波を放つ。衝撃波は敵にダメージを与え、増加したスタン確率を持つ。近い敵へのダメージは上昇する。使用するには斧、メイス、セプターまたはスタッフを装備するか素手状態である必要がある。","전방의 지면을 강타하여 대지의 물결을 일으켜 정면으로 뻗어나가게 합니다. 물결은 적들에게 피해를 주고 더욱 증가한 확률로 기절시킵니다. 시전자에게 가까운 적일수록 더 큰 피해를 받습니다. 도끼, 철퇴, 셉터, 지팡이 착용 혹은 비무장 상태여야 합니다.","Bate no chão a sua frente, criando uma onda larga que viaja adiante e causa dano nos inimigos com uma chance aumentada de atordoamento. A onda causa mais dano aos inimigos próximos. Requer um Machado de Duas Mãos, Maça de Duas Mãos ou Cajado.","Герой с силой бьёт по земле перед собой и создаёт волну, которая движется вперёд, наносит урон и с повышенной вероятностью оглушает врагов. Волна наносит больше урона врагам поблизости. Можно использовать с топорами, булавами, скипетрами, посохами или без оружия.","Golpea el suelo frente a ti y crea una onda que viaja hacia delante y daña a los enemigos con una probabilidad aumentada de aturdirlos. La onda inflige más daño a los enemigos más cercanos. Requiere un hacha, una maza, un cetro, un báculo o estar desarmado.","ทำการทุบพื้นด้านหน้าของคุณ สร้างคลื่นพลังที่จะเคลื่อนที่ไปด้านหน้าซึ่งจะสร้างความเสียหายต่อศัตรูและมีโอกาสสร้างสถานะ สตัน เพิ่มขึ้น คลื่นพลังนี้จะสร้างความเสียหายเพิ่มขึ้น อีก ต่อศัตรูที่อยู่ใกล้ ต้องใช้กับ ขวาน, กระบอง, คทา, ไม้พลอง หรือ มือเปล่า เท่านั้น","重擊地面並製造出一道向前釋放的衝擊波，被此衝擊波擊中的敵人將會受到傷害並有較高機率被擊暈。衝擊波對近距離的敵人造成更多傷害。限定斧、錘、權杖、長杖或空手。",3,"Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,23,19,91,14]","[12,32,14,17,11,16,36,57]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.","http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg",1,"DistanceScaledGroundSlam","",22,1,"[4009,4195,5539,18111]","[24,436,8113,11516]",[],1,1,[3459],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
7,"ground_slam_alt_x","Ground Slam of Earthshaking","Fracas tellurique de la Secousse","Schmetterhieb der Erderschütterungen","動地のグラウンドスラム","지동의 대지 강타","Impacto Sísmico do Tremor","Сотрясение земли","Impacto sísmico de sacudida","ทุบพื้นแห่งแผ่นดินไหว (Ground Slam of Earthshaking)","裂地之擊．地震","Slams the ground in front of you, creating a wide wave that travels forward and damages enemies with an increased chance to stun. Requires a Two Handed Axe, Two Handed Mace, or Staff.","Fracasse le sol devant votre personnage, créant ainsi une grande vague qui se déplace vers l'avant et endommage les ennemis avec des chances augmentées de les étourdir. Fonctionne uniquement avec les haches à deux mains, les masses à deux mains ou les bâtons.","Der Charakter schlägt auf den Boden vor sich, wodurch er eine breite, nach vorne schnellende Welle erzeugt, die bei Gegnern Schaden verursacht und die Chance auf Betäuben erhöht. Erfordert eine Zweihandaxt, einen Zweihandstreitkolben oder einen Stab.","前方の地面を叩きつけ、前方に移動する幅の広い衝撃波を放つ。衝撃波は敵にダメージを与え、増加したスタン確率を持つ。使用するには両手斧、両手メイス、またはスタッフが必要がある。","전방의 지면을 강타하여 넓은 대지의 물결을 일으켜 정면으로 뻗어나가게 합니다. 물결은 적들에게 피해를 주고 더욱 증가한 확률로 기절시킵니다. 양손 도끼나 양손 철퇴, 지팡이가 필요합니다.","Bate no chão a sua frente, criando uma onda larga que viaja adiante e causa dano nos inimigos com uma chance aumentada de atordoamento. Requer um Machado de Duas Mãos, Maça de Duas Mãos ou Cajado.","Герой с силой бьёт по земле перед собой и создаёт шальную волну, которая движется вперёд, наносит урон и с повышенной вероятностью оглушает врагов. Можно использовать с двуручными топорами, двуручными булавами или посохами.","Golpea el suelo frente a ti y crea una onda ancha que viaja hacia delante y daña a los enemigos con una probabilidad aumentada de aturdirlos. Requiere un hacha a dos manos, una maza a dos manos o un báculo.","ทำการทุบพื้นด้านหน้าของคุณ สร้างคลื่นพลังที่จะเคลื่อนที่ไปด้านหน้าซึ่งจะสร้างความเสียหายต่อศัตรูและมีโอกาสสร้างสถานะ สตัน เพิ่มขึ้น ต้องใช้กับ ขวาน, กระบอง, คทา, ไม้พลอง หรือ มือเปล่า เท่านั้น","重擊地面並製造出一道向前釋放的衝擊波，被此衝擊波擊中的敵人將會受到傷害並有較高機率被擊暈。衝擊波對近距離的敵人造成更多傷害。限定雙手斧、雙手錘或長杖。",3,"Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,23,19,91,14]","[14,17,16,57]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.","http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg",1,"DistanceScaledGroundSlam","",22,1,"[4009,4195,5539,18111]","[24,436,8113,11516]",[],1,1,[3459],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,6
8,"ground_slam_alt_y","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY","Slams the ground in front of you, creating a wave that travels forward and damages enemies with an increased chance to stun. The wave deals more damage to closer enemies. Requires an Axe, Mace, Sceptre, Staff or Unarmed.","Fracasse le sol devant votre personnage, créant ainsi une vague qui se déplace vers l'avant et endommage les ennemis avec des chances augmentées de les étourdir. Cette vague inflige davantage de dégâts aux ennemis proches. Fonctionne uniquement avec les haches, les masses, les sceptres, les bâtons ou à mains nues.","Der Charakter schlägt auf den Boden vor sich, wodurch er eine nach vorne schnellende Welle erzeugt, die bei Gegnern Schaden verursacht und die Chance auf Betäuben erhöht. Die Welle verursacht bei nahen Gegnern mehr Schaden. Erfordert eine Axt, einen Streitkolben, ein Zepter, einen Stab oder kann unbewaffnet verwendet werden.","前方の地面を叩きつけ、前方に移動する衝撃波を放つ。衝撃波は敵にダメージを与え、増加したスタン確率を持つ。近い敵へのダメージは上昇する。使用するには斧、メイス、セプターまたはスタッフを装備するか素手状態である必要がある。","전방의 지면을 강타하여 대지의 물결을 일으켜 정면으로 뻗어나가게 합니다. 물결은 적들에게 피해를 주고 더욱 증가한 확률로 기절시킵니다. 시전자에게 가까운 적일수록 더 큰 피해를 받습니다. 도끼, 철퇴, 셉터, 지팡이 착용 혹은 비무장 상태여야 합니다.","Bate no chão a sua frente, criando uma onda larga que viaja adiante e causa dano nos inimigos com uma chance aumentada de atordoamento. A onda causa mais dano aos inimigos próximos. Requer um Machado de Duas Mãos, Maça de Duas Mãos ou Cajado.","Герой с силой бьёт по земле перед собой и создаёт волну, которая движется вперёд, наносит урон и с повышенной вероятностью оглушает врагов. Волна наносит больше урона врагам поблизости. Можно использовать с топорами, булавами, скипетрами, посохами или без оружия.","Golpea el suelo frente a ti y crea una onda que viaja hacia delante y daña a los enemigos con una probabilidad aumentada de aturdirlos. La onda inflige más daño a los enemigos más cercanos. Requiere un hacha, una maza, un cetro, un báculo o estar desarmado.","ทำการทุบพื้นด้านหน้าของคุณ สร้างคลื่นพลังที่จะเคลื่อนที่ไปด้านหน้าซึ่งจะสร้างความเสียหายให้กับศัตรูโดยเพิ่มโอกาสสร้างสถานะ สตัน คลื่นพลังนี้จะสร้างความเสียหายเพิ่มขึ้น อีก ต่อศัตรูที่อยู่ใกล้ ต้องใช้กับ ขวาน, กระบอง, คทา, ไม้พลอง หรือ มือเปล่า เท่านั้น","重擊地面並製造出一道向前釋放的衝擊波，被此衝擊波擊中的敵人將會受到傷害並有較高機率被擊暈。衝擊波對近距離的敵人造成更多傷害。限定斧、錘、權杖、長杖或空手。",3,"Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,23,19,91,14]","[12,32,14,17,11,16,36,57]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.","http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg",1,"DistanceScaledGroundSlam","",22,1,"[4009,4195,5539,18111]","[24,436,8113,11516]",[],1,1,[3459],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,6
9,"vaal_ground_slam","Vaal Ground Slam","Fracas tellurique vaal","Vaal-Schmetterhieb","ヴァールグラウンドスラム","바알 대지 강타","Impacto Sísmico Vaal","Сотрясение ваал","Impacto sísmico vaal","วาล์ ทุบพื้น (Vaal Ground Slam)","瓦爾．裂地之擊","Slams the ground in front of you, creating a wave that travels in all directions that damages enemies with an increased chance to stun. The wave deals more damage to closer enemies. Requires an Axe, Mace, Sceptre, Staff or Unarmed.","Fracasse le sol devant votre personnage, créant ainsi une vague qui se déplace dans toutes les directions et endommage les ennemis avec des chances augmentées de les étourdir. Cette vague inflige davantage de dégâts aux ennemis proches. Fonctionne uniquement avec les haches, les masses, les sceptres, les bâtons ou à mains nues.","Der Charakter schlägt auf den Boden vor sich, wodurch er eine in alle Richtungen schnellende Welle erzeugt, die bei Gegnern Schaden verursacht und eine erhöhte Chance gewährt, diese zu betäuben. Die Welle verursacht bei nahen Gegnern mehr Schaden. Erfordert eine Axt, einen Streitkolben, ein Zepter, einen Stab oder kann unbewaffnet verwendet werden.","前方の地面を叩きつけ、周囲に衝撃波を放つ。衝撃波は敵にダメージを与え、高いスタン確率を持つ。近くの敵に対してはダメージが上昇する。使用するには斧、メイス、セプターまたはスタッフを装備するか素手状態である必要がある。","전방의 지면을 강타하여 대지의 물결을 일으켜 사방으로 뻗어나가게 합니다. 물결은 적들에게 피해를 주고 증가된 확률로 기절시킵니다. 시전자에게 가까운 적일수록 더 큰 피해를 받습니다. 도끼, 철퇴, 셉터, 지팡이 착용 혹은 비무장 상태여야 합니다.","Bata no solo à sua frente, criando uma onda que viaja em todas as direções e causa dano aos inimgos com uma chance de atordoamento aumentada. A onda causa mais dano aos inimigos próximos. Requer um Machado, Maça, Cetro, Cajado ou Desarmado.","Герой с силой бьёт по земле перед собой и создаёт волны, которые движутся во всех направлениях, наносят урон врагам и имеют повышенный шанс оглушения. Волна наносит больше урона врагам поблизости. Можно использовать с топорами, булавами, скипетрами, посохами или без оружия.","Golpea el suelo frente a ti y crea una onda que viaja en todas direcciones y daña a los enemigos con una probabilidad aumentada de aturdirlos. La onda inflige más daño a los enemigos más cercanos. Requiere un hacha, una maza, un cetro, un báculo o estar desarmado.","ทำการทุบพื้นด้านหน้าของคุณ สร้างคลื่นพลังที่จะเคลื่อนที่ไปรอบทิศทางซึ่งจะสร้างความเสียหายต่อศัตรูและมีโอกาสสร้างสถานะ สตัน เพิ่มขึ้น คลื่นพลังนี้จะสร้างความเสียหายเพิ่มขึ้น อีก ต่อศัตรูที่อยู่ใกล้ ต้องใช้กับ ขวาน, กระบอง, คทา, ไม้พลอง หรือ มือเปล่า เท่านั้น","重擊地面並製造出向周圍釋放具有傷害的衝擊波。衝擊波對近距離的敵人造成更多傷害。限定斧、錘、權杖、長杖或空手。",4,"Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,19,37,91,14]","[12,32,14,17,11,16,36,57]","","",1,"VaalDistanceScaledGroundSlam","",22,1,"[4009,4195,5539,18111]","[24,436,8113,11516]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
