"rownum","RecipeId","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","CraftingItemClassCategoriesKeys","UnlockDescription","UnlockDescription (French)","UnlockDescription (German)","UnlockDescription (Japanese)","UnlockDescription (Korean)","UnlockDescription (Portuguese)","UnlockDescription (Russian)","UnlockDescription (Spanish)","UnlockDescription (Thai)","UnlockDescription (Traditional Chinese)","Rank","UnlockArea"
0,146,"Movement Speed - Rank 1","Vitesse de déplacement - Rang 1","Bewegungsgeschwindigkeit - Rang 1","移動スピード - ランク 1","이동 속도 - 1단계","Velocidade de Movimento - Rank 1","Скорость передвижения - уровень 1","Velocidad de movimiento - Nivel 1","ความเร็วในการเคลื่อนที่ - ระดับ 1","移動速度－階級 1",[8],"","","","","","","","","","",1,42
1,161,"Spell Damage - Rank 1","Dégâts des Sorts - Rang 1","Zauberschaden - Rang 1","スペルダメージ - ランク 1","주문 피해 - 1단계","Dano Mágico - Rank 1","Урон от чар - уровень 1","Daño de hechizos - Nivel 1","ความเสียหาย เวท - ระดับ 1","法術傷害－階級 1","[0,1,2,3]","","","","","","","","","","",1,39
2,213,"Vaal Skill Damage - Rank 1","Dégâts des Aptitudes vaal - Rang 1","Vaal-Fertigkeitenschaden - Rang 1","ヴァールスキルダメージ - ランク 1","바알 스킬 피해 - 1단계","Dano de Habilidades Vaal - Rank 1","Урон от умений ваал - уровень 1","Daño de habilidades vaal - Nivel 1","ความเสียหาย สกิลวาล์ - ระดับ 1","瓦爾技能傷害傷害－階級 1",[7],"","","","","","","","","","",1,38
3,158,"Physical Damage - Rank 1","Dégâts physiques - Rang 1","Physischer Schaden - Rang 1","物理ダメージ - ランク 1","물리 피해 - 1단계","Dano Físico - Rank 1","Физический урон - уровень 1","Daño físico - Nivel 1","ความเสียหาย กายภาพ - ระดับ 1","物理傷害－階級 1","[0,1,2,3,4,7,9,10,13]","","","","","","","","","","",1,51
4,170,"Fire Damage - Rank 1","Dégâts de feu - Rang 1","Feuerschaden - Rang 1","火ダメージ - ランク 1","화염 피해 - 1단계","Dano de Fogo - Rank 1","Урон от огня - уровень 1","Daño de fuego - Nivel 1","ความเสียหาย ไฟ - ระดับ 1","火焰傷害－階級 1","[0,1,2,3,7,9,10,13]","","","","","","","","","","",1,49
5,214,"Life and Mana Regeneration - Rank 1","Régénération de Vie et Mana - Rang 1","Leben- und Manaregeneration - Rang 1","ライフおよびマナ自動回復 - ランク 1","생명력 및 마나 재생 - 1단계","Regeneração de Vida e Mana - Rank 1","Регенерация здоровья и маны - уровень 1","Regeneración de vida y maná - Nivel 1","ฟื้นฟูพลังชีวิตและมานา - ระดับ 1","生命和魔力回復－階級 1",[10],"","","","","","","","","","",1,57
6,173,"Cold Damage - Rank 1","Dégâts de froid - Rang 1","Kälteschaden - Rang 1","冷気ダメージ - ランク 1","냉기 피해 - 1단계","Dano de Gelo - Rank 1","Урон от холода - уровень 1","Daño de hielo - Nivel 1","ความเสียหาย น้ำแข็ง - ระดับ 1","冰冷傷害－階級 1","[0,1,2,3,7,9,10,13]","","","","","","","","","","",1,65
7,176,"Lightning Damage - Rank 1","Dégâts de foudre - Rang 1","Blitzschaden - Rang 1","雷ダメージ - ランク 1","번개 피해 - 1단계","Dano de Raio - Rank 1","Урон от молнии  - уровень 1","Daño de rayo - Nivel 1","ความเสียหาย สายฟ้า - ระดับ 1","閃電傷害－階級 1","[0,1,2,3,7,9,10,13]","","","","","","","","","","",1,54
8,133,"Elemental Resistances - Rank 2","Résistances élémentaires - Rang 2","Elementarwiderstände - Rang 2","元素ダメージ - ランク 2","원소 저항 - 2단계","Resistências Elementais - Rank 2","Сопротивления стихиям - уровень 2","Resistencias elementales - Nivel 2","ค่าต้านทาน ธาตุ - ระดับ 2","元素抗性－階級 2","[4,5,6,7,8,9,10,11,13]","","","","","","","","","","",2,71
9,141,"Attributes - Rank 2","Attributs - Rang 2","Attribute - Rang 2","能力値 - ランク 2","능력치 - 2단계","Atributos - Rank 2","Характеристики - уровень 2","Atributos - Nivel 2","ค่าคุณสมบัติ - ระดับ 2","能力值－階級 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","","","","","","","","","","",2,95
10,168,"Attack, Cast and Warcry Speed - Rank 1","Vitesse d'attaque, d'incantation et de Cris de guerre - Rang 1","Angriffs-, Zauber- und Kriegsschrei-Geschwindigkeit - Rang 1","アタック、キャストおよびウォークライスピード - ランク 1","공격, 시전 및 함성 속도 - 1단계","Velocidades Ataque, Conjuração e Clamor - Rank 1","Скорость атаки, отворения чар и использования боевого клича- уровень 1","Velocidades de ataque, lanzamiento de hechizos y gritos de guerra - Nivel 1","ความเร็วในการโจมตี, ร่าย, คำราม - ระดับ 1","攻擊、施放和戰吼速度－階級 1","[0,1,2,3,4,7,9,10]","","","","","","","","","","",1,62
11,180,"Chaos Damage - Rank 1","Dégâts de chaos - Rang 1","Chaosschaden - Rang 1","混沌ダメージ - ランク 1","카오스 피해 - 1단계","Dano de Caos - Rank 1","Урон хаосом - уровень 1","Daño de caos - Nivel 1","ความเสียหาย เคออส - ระดับ 1","混沌傷害－階級 1","[0,1,2,3,7,9,10,13]","","","","","","","","","","",1,117
12,147,"Movement Speed and Exerted Attacks - Rank 2","Vitesse de déplacement et Attaques stimulées - Rang 2","Bewegungsgeschwindigkeit und potenzierte Angriffe - Rang 2","移動スピードおよび奮起アタック - ランク 2","이동 속도 및 전력 공격 - 2단계","Velocidade de Movimento e Ataques Impelidos - Rank 2","Скорость передвижения и улучшенные атаки - уровень 2","Velocidad de movimiento y ataques optimizados - Nivel 2","ความเร็วในการเคลื่อนที่และสถานะฮึกเหิม - ระดับ 2","移動速度和竭盡攻擊－階級 2","[8,9,10,11]","","","","","","","","","","",2,81
13,159,"Physical Damage - Rank 2","Dégâts physiques - Rang 2","Physischer Schaden - Rang 2","物理ダメージ - ランク 2","물리 피해 - 2단계","Dano Físico - Rank 2","Физический урон - уровень 2","Daño físico - Nivel 2","ความเสียหาย เวท - ระดับ 2","物理傷害－階級 2","[0,1,2,3,4,9,10]","","","","","","","","","","",2,82
14,183,"Accuracy - Rank 1","Précision - Rang 1","Genauigkeit - Rang 1","命中力 - ランク 1","정확도 - 1단계","Precisão - Rank 1","Меткость - уровень 1","Precisión - Nivel 1","ความแม่นยำ - ระดับ 1","命中－階級 1","[0,1,2,3,4,5,7,9,10,13]","","","","","","","","","","",1,83
15,142,"Attributes - Rank 3","Attributs - Rang 3","Attribute - Rang 3","能力値 - ランク 3","능력치 - 3단계","Atritutos - Rank 3","Характеристики - уровень 3","Atributos - Nivel 3","ค่าคุณสมบัติ - ระดับ 3","能力值－階級 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","","","","","","","","","","",3,1225
16,149,"Life and Mana - Rank 2","Vie et Mana - Rang 2","Leben und Mana - Rang 2","ライフおよびマナ - ランク 2","생명력 및 마나 - 2단계","Vida e Mana - Rank 2","Здоровье и мана - уровень 2","Vida y maná - Nivel 2","พลังชีวิตและมานา - ระดับ 2","生命和魔力－階級 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","","","","","","","","","","",2,100
17,162,"Spell Damage - Rank 2","Dégâts des Sorts - Rang 2","Zauberschaden - Rang 2","スペルダメージ - ランク 2","주문 피해 - 2단계","Dano Mágico - Rank 2","Урон от чар - уровень 2","Daño de hechizos - Nivel 2","ความเสียหาย เวท - ระดับ 2","法術傷害－階級 2","[0,1,2,3]","","","","","","","","","","",2,93
18,187,"Defences - Rank 1","Défenses - Rang 1","Defensiven - Rang 1","防御力 - ランク 1","방어력 - 1단계","Defesas - Rank 1","Защита - уровень 1","Defensas - Nivel 1","ค่าป้องกัน - ระดับ 1","防禦－階級 1","[4,5,6,7,8]","","","","","","","","","","",1,44
19,171,"Fire Damage - Rank 2","Dégâts de feu - Rang 2","Feuerschaden - Rang 2","火ダメージ - ランク 2","화염 피해 - 2단계","Dano de Fogo - Rank 2","Урон от огня - уровень 2","Daño de fuego - Nivel 2","ความเสียหาย ไฟ - ระดับ 2","火焰傷害－階級 2","[0,1,2,3,9,10]","","","","","","","","","","",2,113
20,174,"Cold Damage - Rank 2","Dégâts de froid - Rang 2","Kälteschaden - Rang 2","冷気ダメージ - ランク 2","냉기 피해 - 2단계","Dano de Gelo - Rank 2","Урон от холода - уровень 2","Daño de hielo - Nivel 2","ความเสียหาย น้ำแข็ง - ระดับ 2","冰冷傷害－階級 2","[0,1,2,3,9,10]","","","","","","","","","","",2,114
21,178,"Lightning Damage - Rank 2","Dégâts de foudre - Rang 2","Blitzschaden - Rang 2","雷ダメージ - ランク 2","번개 피해 - 2단계","Dano de Raio - Rank 2","Урон от молнии  - уровень 2","Daño de rayo - Nivel 2","ความเสียหาย สายฟ้า - ระดับ 2","閃電傷害－階級 2","[0,1,2,3,9,10]","","","","","","","","","","",2,107
22,185,"Accuracy - Rank 2","Précision - Rang 2","Genauigkeit - Rang 2","命中力 - ランク 2","정확도 - 2단계","Precisão - Rank 2","Меткость - уровень 2","Precisión - Nivel 2","ความแม่นยำ - ระดับ 2","命中－階級 2","[0,1,2,3,4,5,7,9,10,13]","","","","","","","","","","",2,153
23,135,"Elemental Resistances - Rank 3","Résistances élémentaires - Rang 3","Elementarwiderstände - Rang 3","元素耐性 - ランク 3","원소 저항 - 3단계","Resistências Elementais - Rank 3","Сопротивления стихиям - уровень 3","Resistencias elementales - Nivel 3","ค่าต้านทาน ธาตุ - ระดับ 3","元素抗性－階級 3","[4,5,6,7,8,9,10,11,13]","","","","","","","","","","",3,121
24,228,"Minions - Rank 1","Créatures - Rang 1","Kreaturen - Rang 1","ミニオン - ランク 1","소환수 - 1단계","Lacaios - Rank 1","Приспешники - уровень 1","Esbirros - Nivel 1","มิเนียน - ระดับ 1","召喚物－階級 1","[0,1,2,3,5,7,9,10]","","","","","","","","","","",1,127
25,230,"Traps and Mines - Rank 1","Pièges et Mines - Rang 1","Fallen und Minen - Rang 1","トラップおよびマイン - ランク 1","덫 및 지뢰 - 1단계","Armadilhas e Minas - Rank 3","Ловушки и мины - уровень 1","Trampas y minas - Nivel 1","กับดักและทุ่นระเบิด - ระดับ 1","陷阱和地雷－階級 1","[0,1,2,3]","","","","","","","","","","",1,133
26,160,"Physical Damage - Rank 3","Dégâts physiques - Rang 3","Physischer Schaden - Rang 3","物理ダメージ - ランク 3","물리 피해 - 3단계","Dano Físico - Rank 3","Физический урон - уровень 3","Daño físico - Nivel 3","ความเสียหาย กายภาพ - ระดับ 3","物理傷害－階級 3","[0,1,2,3]","","","","","","","","","","",3,144
27,163,"Spell Damage - Rank 3","Dégâts des Sorts - Rang 3","Zauberschaden - Rang 3","スペルダメージ - ランク 3","주문 피해 - 3단계","Dano Mágico - Rank 3","Урон от чар - уровень 3","Daño de hechizos - Nivel 3","ความเสียหาย เวท - ระดับ 3","法術傷害－階級 3","[0,1,2,3]","","","","","","","","","","",3,142
28,169,"Attack and Cast Speed - Rank 2","Vitesse d'attaque et incantation - Rang 2","Angriffs- und Zaubergeschwindigkeit - Rang 2","アタックおよびキャストスピード - ランク 2","공격 및 시전 속도 - 2단계","Velocidades de Ataque e Conjuração - Rank 2","Скорость атаки и сотворения чар - уровень 2","Velocidades de ataque y lanzamiento de hechizos - Nivel 2","ความเร็วในการโจมตีและร่าย - ระดับ 2","攻擊和施放速度－階級 2","[0,1,2,3,4,10]","","","","","","","","","","",2,139
29,150,"Life and Mana - Rank 3","Vie et Mana - Rang 3","Leben und Mana - Rang 3","ライフおよびマナ - ランク 3","생명력 및 마나 - 3단계","Vida e Mana - Rank 3","Здоровье и мана - уровень 3","Vida y maná - Nivel 3","พลังชีวิตและมานา - ระดับ 3","生命和魔力－階級 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","","","","","","","","","","",3,155
