"rownum","Id","i32_8","MonsterVarietiesKeys"
0,"absolution_blast",0,[5625]
1,"vaal_absolution_blast",0,[9784]
2,"absolution_blast",2,[5626]
3,"vaal_absolution_blast",2,[9785]
4,"flame_golem",-4,[9347]
5,"flame_golem",-3,[9314]
6,"flame_golem",-2,[8188]
7,"flame_golem",-1,[4444]
8,"flame_golem",0,[4443]
9,"flame_golem",1,[4445]
10,"flame_golem_monster",1,[4458]
11,"lightning_golem",-4,[9349]
12,"lightning_golem",-3,[9316]
13,"lightning_golem",-2,[8190]
14,"lightning_golem",-1,[4479]
15,"lightning_golem",0,[4474]
16,"lightning_golem",1,[4475]
17,"ice_golem_monster",1,[4433]
18,"ice_golem",-4,[9346]
19,"ice_golem",-3,[9313]
20,"ice_golem",-2,[8187]
21,"ice_golem",-1,[4431]
22,"ice_golem",0,[4429]
23,"ice_golem",1,[4430]
24,"stone_golem",-4,[9350]
25,"stone_golem",-3,[9317]
26,"stone_golem",-2,[8191]
27,"stone_golem",-1,[4734]
28,"stone_golem",0,[4733]
29,"chaos_golem_monster",1,[4213]
30,"chaos_golem",-4,[9348]
31,"chaos_golem",-3,[9315]
32,"chaos_golem",-2,[8189]
33,"chaos_golem",-1,[4472]
34,"chaos_golem",0,[4470]
35,"bone_golem",0,[8155]
36,"bone_golem",1,[8510]
37,"bone_golem",2,[8953]
38,"bone_golem",3,[8965]
39,"agony_crawler",0,[7166]
40,"agony_crawler",1,[7166]
41,"agony_crawler",2,[7166]
42,"agony_crawler",3,[7166]
43,"agony_crawler",4,[7166]
44,"agony_crawler",5,[7166]
45,"agony_crawler",6,[7166]
46,"agony_crawler",7,[7166]
47,"agony_crawler",8,[7166]
48,"agony_crawler",9,[7166]
49,"agony_crawler",10,[7338]
50,"agony_crawler",11,[7168]
51,"agony_crawler",12,[7167]
52,"agony_crawler",13,[7657]
53,"agony_crawler",14,[7844]
54,"agony_crawler",15,[8215]
55,"agony_crawler",16,[8508]
56,"agony_crawler",17,[8511]
57,"agony_crawler",18,[8736]
58,"agony_crawler",19,[8951]
59,"agony_crawler",20,[9003]
60,"purity_champion",0,[1379]
61,"purity_champion",1,[1379]
62,"purity_champion",2,[1379]
63,"purity_champion",3,[1379]
64,"purity_champion",4,[1379]
65,"purity_champion",5,[1379]
66,"purity_champion",6,[1379]
67,"purity_champion",7,[1379]
68,"purity_champion",8,[1379]
69,"purity_champion",9,[1379]
70,"purity_champion",10,[7339]
71,"purity_champion",11,[1383]
72,"purity_champion",12,[1384]
73,"purity_champion",13,[7658]
74,"purity_champion",14,[7845]
75,"purity_champion",15,[8216]
76,"purity_champion",16,[8509]
77,"purity_champion",17,[8512]
78,"purity_champion",18,[8737]
79,"purity_champion",19,[8952]
80,"purity_champion",20,[9004]
81,"purity_champion",21,[1380]
82,"tornado",0,[9409]
83,"tornado",1,[9610]
84,"tornado",2,[9611]
85,"triggered_summon_spider",0,[5617]
86,"triggered_summon_spider",1,[5618]
87,"raging_spirit",0,[3241]
88,"raging_spirit",1,[3242]
89,"raging_spirit",2,[3243]
90,"raging_spirit",3,[3244]
91,"raging_spirit",4,[3245]
92,"raging_spirit",5,[8164]
93,"raging_spirit",6,[3246]
94,"raging_spirit",7,[9204]
95,"raging_spirit",8,[9432]
96,"raging_spirit",9,[9433]
97,"raging_spirit",10,[9655]
98,"raging_spirit_monster",0,[3249]
99,"raging_spirit_monster",1,[3250]
100,"raging_spirit_monster",2,[3252]
101,"raging_spirit_monster",3,[3253]
102,"raging_spirit_monster",4,[3254]
103,"raging_spirit_monster",5,[8164]
104,"raging_spirit_monster",8,[9432]
105,"raging_spirit_monster",9,[9433]
106,"raging_spirit_monster",10,[9655]
107,"triggerbot",0,[8157]
108,"dominating_blow",0,[1378]
109,"dominating_blow",1,[8749]
110,"vaal_dominating_blow",0,[9786]
111,"vaal_dominating_blow",1,[9787]
112,"guardian_relic_fire",0,[7176]
113,"guardian_relic_cold",0,[7177]
114,"guardian_relic_lightning",0,[7178]
115,"radiant_sentinel",0,[1381]
116,"radiant_sentinel_ruthless",0,[1382]
117,"voodoo_doll",0,[10277]
118,"sacred_wisp",0,[10290]
119,"living_lightning",0,[2184]
120,"holy_strike_hammers",0,[3116]
121,"holy_strike_hammers",2,[3118]
122,"holy_strike_hammers",3,[3119]
123,"holy_strike_hammers",4,[3117]
