"rownum","Id","MonsterVarietiesKey","GameObjectRegisterKey","SummonEffect","bool_40","bool_41","i32_42","i32_46","bool_50","BuffDefinition","BuffVisual","i32_83","bool_87","i32_88","string_92","bool_100","bool_101","i32_102"
0,0,3766,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
1,1,454,147,340,1,1,0,0,"","","",0,"",0,"","",1,0
2,2,3724,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
3,3,1985,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
4,4,1986,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
5,5,308,147,340,1,1,0,0,"","","",0,"",0,"","",1,0
6,6,48,147,340,1,1,0,0,"","","",0,"",0,"","",1,0
7,7,"",11,419,1,1,0,0,"","","",0,"",0,"","",1,0
8,8,"",10,419,1,1,0,0,"","","",0,"",0,"","",1,0
9,9,"",9,340,1,1,0,0,"","","",0,"",0,"","",1,0
10,10,1022,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
11,11,"",12,"",1,1,0,0,"","","",0,"",0,"","",1,0
12,12,"",13,"",1,1,0,0,"","","",0,"",0,"","",1,0
13,13,1029,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
14,14,4637,147,255,1,1,0,0,"","","",0,"",0,"","",1,0
15,15,4706,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
16,16,4707,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
17,17,4708,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
18,18,1244,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
19,19,4432,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
20,20,3722,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
21,21,4013,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
22,22,1987,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
23,23,136,147,615,1,1,0,0,"","","",0,"",0,"","",1,0
24,24,476,147,615,1,1,0,0,"","","",0,"",0,"","",1,0
25,25,4464,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
26,26,4628,147,340,1,1,0,0,"","","",0,"",0,"","",1,0
27,27,4629,147,340,1,1,0,0,"","","",0,"",0,"","",1,0
28,28,"",15,340,1,1,0,0,"","","",0,"",0,"","",1,0
29,29,"",16,340,1,1,0,0,"","","",0,"",0,"","",1,0
30,30,4166,147,541,1,1,0,0,"","","",0,"",0,"","",1,0
31,31,"",14,416,1,1,0,0,"","","",0,"",0,"","",1,0
32,32,4433,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
33,33,4256,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
34,34,4435,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
35,35,4257,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
36,36,4258,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
37,37,4259,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
38,38,3207,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
39,39,3208,147,"",1,1,0,0,"","","",0,"",0,"","",1,0
