"rownum","BaseItemTypesKey","rid_16","rid_32","rid_48","rid_64","rid_80","rid_96","rid_112","rid_128","rid_144","rid_160","rid_176","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","HASH32","DropLevel","Monster_ModsKeys","EssenceTypeKey","Level","[i32]_424","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence","MemoryLines","[i32]_957","Level2"
0,98,"","","","","","","","","","","","",1986,3350,"","",3350,"","","","","",3284256681,[1],"[13333,13357,13349]",0,1,[700],1974,"","","",1986,3350,"",3350,3350,3350,3350,1986,1974,1986,1986,1986,1986,1974,1974,1974,1974,1974,1974,1974,13184,35,3350,3920,3920,3920,3350,"","","[13341,13357]",[1905],[1]
1,99,"","","","","","","","","","","","",1987,3351,"","",3351,"","","","","",1794042691,[12],"[13334,13357,13350]",0,2,[770],1975,"","","",1987,3351,"",3351,3351,3351,3351,1987,1975,1987,1987,1987,1987,1975,1975,1975,1975,1975,1975,1975,13185,45,3351,3921,3921,3921,3351,"","","[13342,13357]",[1905],[12]
2,100,"","","","","","","","","","","","",1989,3352,"","",3352,"","","","","",2368411282,[30],"[13335,13357,13351]",0,3,[847],1977,"","","",1989,3352,"",3352,3352,3352,3352,1989,1977,1989,1989,1989,1989,1977,1977,1977,1977,1977,1977,1977,13186,60,3352,3922,3922,3922,3352,"","","[13343,13357]",[1905],[30]
3,101,"","","","","","","","","","","","",1991,3353,"","",3353,"","","","","",1130285480,[48],"[13336,13357,13352]",0,4,[931],1979,"","","",1991,3353,"",3353,3353,3353,3353,1991,1979,1991,1991,1991,1991,1979,1979,1979,1979,1979,1979,1979,13187,75,3353,3923,3923,3923,3353,"","","[13344,13357]",[841],[48]
4,102,"","","","","","","","","","","","",1993,3355,"","",3355,"","","","","",2062300730,[68],"[13337,13357,13353]",0,5,[1024],1981,"","","",1993,3355,"",3355,3355,3355,3355,1993,1981,1993,1993,1993,1993,1981,1981,1981,1981,1981,1981,1981,13188,0,3355,3924,3924,3924,3355,"",1,"[13345,13357]",[56],[68]
5,103,"","","","","","","","","","","","",1994,3356,"","",3356,"","","","","",2223380671,"[73,77]","[13338,13357,13354]",0,6,"[205,410]",1982,"","","",1994,3356,"",3356,3356,3356,3356,1994,1982,1994,1994,1994,1994,1982,1982,1982,1982,1982,1982,1982,13189,0,3356,3925,3925,3925,3356,"","","[13346,13357]",[0],[]
6,104,"","","","","","","","","","","","",2006,3357,"","",3357,"","","","","",1769493148,[],"[13339,13357,13355]",0,7,[0],1984,"","","",2006,3357,"",3357,3357,3357,3357,2006,1984,2006,2006,2006,2006,1984,1984,1984,1984,1984,1984,1984,13190,0,3357,3926,3926,3926,3357,"","","[13347,13357]",[0],[]
7,105,"","","","","","","","","","","","","",14388,2096,684,684,"","","","","",3517570083,[1],"[13333,13349]",1,1,[700],"","",2452,2464,"",772,"",772,772,772,772,2464,2452,2464,2464,2464,2464,2452,2452,2452,2452,2452,2452,2452,13276,35,684,2096,684,"",772,"","",[13341],[1905],[1]
8,106,"","","","","","","","","","","","","",14389,2097,685,685,"","","","","",1672586153,[12],"[13334,13350]",1,2,[770],"","",2453,2465,"",773,"",773,773,773,773,2465,2453,2465,2465,2465,2465,2453,2453,2453,2453,2453,2453,2453,13277,45,685,2097,685,"",773,"","",[13342],[1905],[12]
9,107,"","","","","","","","","","","","","",14394,2098,688,688,"","","","","",1828846209,[30],"[13335,13351]",1,3,[847],"","",2454,2466,"",775,"",775,775,775,775,2466,2454,2466,2466,2466,2466,2454,2454,2454,2454,2454,2454,2454,13278,60,688,2098,688,"",775,"","",[13343],[1905],[30]
10,108,"","","","","","","","","","","","","",14395,2099,690,690,789,789,"","",778,3048984238,[48],"[13336,13352]",1,4,[931],"","",2455,2467,"",777,"",777,777,789,789,2467,2455,2467,2467,2467,2467,2455,2455,2455,2455,2455,2455,2455,13279,75,690,2099,690,"",778,"","",[13344],[841],[48]
11,109,"","","","","","","","","","","","","",14391,2100,691,691,"","",779,793,786,4112427309,[68],"[13337,13353]",1,5,[1024],"","",2460,2472,"",790,"",793,779,790,790,2472,2460,2472,2472,2472,2472,2460,2460,2460,2460,2460,2460,2460,13280,0,691,2100,691,"",786,"",1,[13345],[56],[68]
12,110,"","","","","","","","","","","","","",14392,2106,693,692,"","",781,794,787,910335598,"[73,77]","[13338,13354]",1,6,"[205,410]","","",2461,2473,"",791,"",794,781,791,791,2473,2461,2473,2473,2473,2473,2461,2461,2461,2461,2461,2461,2461,13281,0,692,2106,693,"",787,"","",[13346],[0],[]
13,111,"","","","","","","","","","","","","",14393,2107,694,693,"","",785,795,788,1591416724,[],"[13339,13355]",1,7,[0],"","",2462,2474,"",792,"",795,785,792,792,2474,2462,2474,2474,2474,2474,2462,2462,2462,2462,2462,2462,2462,13282,0,693,2107,694,"",788,"","",[13347],[0],[]
14,112,"","","","","","","","","","","","","",1098,"","",4993,341,341,"",341,"",1724552963,[1],"[13333,13349]",2,1,[700],10172,"","","","",329,"",341,329,341,341,10172,10172,10172,10172,10172,10172,10172,10172,10172,10172,10172,10172,10172,13269,35,4993,3062,3062,3062,329,"","",[13341],[1905],[1]
15,113,"","","","","","","","","","","","","",1099,"","",4994,342,342,"",342,"",2957731703,[12],"[13334,13350]",2,2,[770],10173,"","","","",331,"",342,331,342,342,10173,10173,10173,10173,10173,10173,10173,10173,10173,10173,10173,10173,10173,13270,45,4994,3063,3063,3063,331,"","",[13342],[1905],[12]
16,114,"","","","","","","","","","","","","",1100,"","",4995,343,343,"",343,"",1334812465,[30],"[13335,13351]",2,3,[847],10174,"","","","",333,"",343,333,343,343,10174,10174,10174,10174,10174,10174,10174,10174,10174,10174,10174,10174,10174,13271,60,4995,3064,3064,3064,333,"","",[13343],[1905],[30]
17,115,"","","","","","","","","","","","","",1101,"","",4996,344,344,"",344,334,3625111159,[48],"[13336,13352]",2,4,[931],10175,"","","","",335,"",344,335,344,344,10175,10175,10175,10175,10175,10175,10175,10175,10175,10175,10175,10175,10175,13272,75,4996,3065,3065,3065,334,"","",[13344],[841],[48]
18,116,"","","","","","","","","","","","","",1102,"","",4997,345,345,"",345,335,181619222,[68],"[13337,13353]",2,5,[1024],10176,"","","","",337,"",345,337,345,345,10176,10176,10176,10176,10176,10176,10176,10176,10176,10176,10176,10176,10176,13273,0,4997,3066,3066,3066,335,"",1,[13345],[56],[68]
19,117,"","","","","","","","","","","","","",1103,"","",4998,346,346,"",346,336,2059925248,"[73,77]","[13338,13354]",2,6,"[205,410]",10177,"","","","",338,"",346,338,346,346,10177,10177,10177,10177,10177,10177,10177,10177,10177,10177,10177,10177,10177,13274,0,4998,3067,3067,3067,336,"","",[13346],[0],[]
20,118,"","","","","","","","","","","","","",1104,"","",4999,350,350,"",350,337,2938723108,[],"[13339,13355]",2,7,[0],10178,"","","","",339,"",350,339,350,350,10178,10178,10178,10178,10178,10178,10178,10178,10178,10178,10178,10178,10178,13275,0,4999,3068,3068,3068,337,"","",[13347],[0],[]
21,119,"","","","","","","","","","","","","",796,"","",5078,796,5078,5078,5078,5078,1018082169,[1],"[13333,13349]",3,1,[700],"","",1417,1428,"",5078,"",5078,5078,5078,796,1428,1417,1428,1428,1428,1428,1417,1417,1417,1417,1417,1417,1417,13244,35,5078,796,796,796,5078,"","",[13341],[1905],[1]
22,120,"","","","","","","","","","","","","",797,"","",5079,797,5079,5079,5079,5079,829889309,[12],"[13334,13350]",3,2,[770],"","",1418,1429,"",5079,"",5079,5079,5079,797,1429,1418,1429,1429,1429,1429,1418,1418,1418,1418,1418,1418,1418,13245,45,5079,797,797,797,5079,"","",[13342],[1905],[12]
23,121,"","","","","","","","","","","","","",799,"","",5080,798,5080,5080,5080,5080,2051179612,[30],"[13335,13351]",3,3,[847],"","",1419,1430,"",5080,"",5080,5080,5080,798,1430,1419,1430,1430,1430,1430,1419,1419,1419,1419,1419,1419,1419,13246,60,5080,799,799,799,5080,"","",[13343],[1905],[30]
