"rownum","Id","i32_4","i32_8","rid_12","rid_28","i32_44","i32_48","bool_52","[i32]_53","[rid]_69"
0,662,1,2,163,"",2,1,1,[],[]
1,663,1,2,162,"",2,1,1,[],[]
2,664,1,2,164,"",2,1,1,[],[]
3,665,1,2,165,"",2,1,1,[],[]
4,675,1,2,164,"",2,1,1,[],[]
5,676,1,2,165,"",2,1,1,[],[]
6,1736,2,2,203,"",2,2,1,[],[]
7,1737,2,2,203,"",2,2,1,[],[]
8,1738,2,2,203,"",2,2,1,[],[]
9,974,1,2,"",0,2,1,1,[],[]
10,975,1,2,"",1,2,1,1,[],[]
11,976,1,2,"",2,2,1,1,[],[]
12,977,1,2,"",3,2,1,1,[],[]
13,978,1,2,"",4,2,1,1,[],[]
14,1162,1,2,"",5,2,1,1,[],[]
15,979,1,2,"",6,2,1,1,[],[]
16,980,1,2,"",7,2,1,1,[],[]
17,981,1,2,"",8,2,1,1,[],[]
18,982,1,2,"",9,2,1,1,[],[]
19,983,1,2,"",10,2,1,1,[],[]
20,1587,0,0,208,"",0,0,"",[2],[0]
21,1588,0,0,208,"",0,0,"","[1,2]","[0,2]"
22,1589,0,0,208,"",0,0,"","[1,1]","[0,1]"
23,1590,0,0,208,"",0,0,"","[1,2]","[0,2]"
24,1591,0,0,208,"",0,0,"","[1,1]","[0,1]"
25,1592,0,0,208,"",0,0,"","[1,1]","[0,3]"
26,1593,0,0,208,"",0,0,"","[1,1]","[0,2]"
27,1601,0,0,207,"",0,0,"","[1,1]","[0,1]"
28,1602,0,0,207,"",0,0,"","[1,2]","[0,2]"
29,1603,0,0,207,"",0,0,"","[1,2]","[0,1]"
30,1604,0,0,207,"",0,0,"","[1,2]","[0,2]"
31,1605,0,0,207,"",0,0,"","[1,1]","[0,1]"
32,1606,0,0,207,"",0,0,"",[1],[2]
33,1607,0,0,207,"",0,0,"",[1],[2]
34,1608,0,0,207,"",0,0,"","[1,1]","[0,3]"
35,1609,0,0,207,"",0,0,"","[1,1]","[0,3]"
36,1610,0,0,207,"",0,0,"","[1,1]","[0,1]"
