"rownum","StatsKey","TagsKeys","ApplyToExplicit","i32_33","ApplyToImplicit","ApplyToPrefix","ApplyToSuffix","Multiplier","ApplyToEnchant"
0,10801,[657],1,0,1,"","",0,""
1,10802,[34],1,0,1,"","",0,""
2,10803,[318],1,0,1,"","",0,""
3,10804,[316],1,0,1,"","",0,""
4,10805,[659],1,0,1,"","",0,""
5,10806,[632],1,0,1,"","",0,""
6,10807,[633],1,0,1,"","",0,""
7,10808,"[658,706]",1,0,1,"","",0,""
8,10809,[323],1,0,1,"","",0,""
9,10810,[624],1,0,1,"","",0,""
10,2516,[318],"",1,"","","",0,""
11,2515,[34],"",1,"","","",0,""
12,12626,[312],1,0,"","","",0,""
13,12627,[308],1,0,"","","",0,""
14,12628,[310],1,0,"","","",0,""
15,12629,[309],1,0,"","","",0,""
16,12630,[311],1,0,"","","",0,""
17,12631,[660],1,0,"","","",0,""
18,12632,[322],1,0,"","","",0,""
19,12633,[323],1,0,"","","",0,""
20,12634,[624],1,0,"","","",0,""
21,12635,[633],1,0,"","","",0,""
22,12636,[635],1,0,"","","",0,""
23,12637,[631],1,0,"","","",0,""
24,12689,[315],1,0,"","","",0,""
25,12732,[316],1,0,"","","",0,""
26,12733,[632],1,0,"","","",0,""
27,13041,[],1,0,"","","",0,""
28,14223,[712],1,0,"","","",0,""
29,18369,[319],1,0,"","","",0,""
30,18370,[657],1,0,"","","",0,""
31,18371,"[658,706]",1,0,"","","",0,""
32,3915,[],"",0,1,"","",0,""
33,19769,[],1,0,"","",1,0,""
34,19770,[],1,0,"",1,"",0,""
35,20662,[],"",0,1,"","",1,""
36,20664,[],"",0,1,"","",2,""
37,20913,[],1,0,1,"","",0,""
38,21776,"[308,310,312,311]",1,1,"","","",0,""
39,21777,"[309,310,312,311]",1,1,"","","",0,""
40,21778,"[308,309,312,311]",1,1,"","","",0,""
41,21779,"[308,309,310,311,317]",1,1,"","","",0,""
42,21780,"[308,310,309,312,317]",1,1,"","","",0,""
43,22168,[34],1,1,"","","",0,""
44,3916,[],"",0,"","","",0,1
