"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","BackgroundImage","i32_24","f32_28","f32_32","string_36","string_44","ForegroundImage","OGGFile","QuestFlag","i32_84","string_88","string_88 (French)","string_88 (German)","string_88 (Japanese)","string_88 (Korean)","string_88 (Portuguese)","string_88 (Russian)","string_88 (Spanish)","string_88 (Thai)","string_88 (Traditional Chinese)","bool_96"
0,"LegionMapDeviceAward","You have unlocked an additional item slot on the Map Device","Vous avez débloqué un emplacement supplémentaire dans votre Dispositif cartographique","Du hast einen zusätzlichen Gegenstandsplatz im Kartenapparat freigeschaltet","マップデバイスで追加アイテムスロットが開かれました","지도 장치에서 추가 아이템 슬롯 1개를 해제했습니다","Você destravou um espaço de item adicional no Dispositivo de Mapas.","Вы разблокировали место для дополнительного предмета в Машине картоходца","Has desbloqueado un espacio de objeto adicional en el Artefacto de mapas","คุณได้ปลดล็อกช่องใส่ไอเทมเพิ่ม\r\nในเครื่องเปิดแผนที่ของคุณแล้ว","你已解鎖地圖裝置上額外的物品欄","Art/2DArt/UIImages/InGame/GenericRewardBackground",6,3,2,"","","Art/2DArt/UIImages/InGame/GenericRewardMapDevice5","Audio/Sound Effects/UI/Atlas/Upgrade.ogg","",0,"","","","","","","","","","",""
1,"AtlasMissionKirac","Atlas Mission from Kirac Received","Mission d'Atlas de Kirac obtenue","Atlasmission von Kirac erhalten","キラックからのアトラスミッションを受け取りました","키락으로부터 아틀라스 임무를 받았습니다","Missão do Atlas de Kirac Recebida","Получено задание Атласа от Кирака","Has recibido una misión de Atlas de Kirac","ได้รับภารกิจแอตลาสจาก คิรัค","收到基拉克的輿圖任務","Art/2DArt/UIImages/InGame/AtlasMissionNotificationKirac",1911,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"{0}x Atlas Missions from Kirac Received","{0}x Missions d'Atlas de Kirac obtenues","{0}x Atlasmissionen von Kirac erhalten","キラックからのアトラスミッションを{0}個受け取りました","키락으로부터 아틀라스 임무를 {0}개 받았습니다.","{0} Missões do Atlas de Kirac Recebidas ","Получено заданий Кирака: {0}","Has recibido {0} misiones del Atlas de Kirac","ได้รับ {0}x ภารกิจแอตลาสจาก คิรัค","已收到 {0} 個基拉克的輿圖任務",""
2,"AtlasMissionAlva","Atlas Mission from Alva Received","Mission d'Atlas d'Alva obtenue","Atlasmission von Alva erhalten","アルヴァからのアトラスミッションを受け取りました","알바로부터 아틀라스 임무를 받았습니다","Missão do Atlas da Alva Recebida","Получено задание Атласа от Альвы","Has recibido una misión de Atlas de Alva","ได้รับภารกิจแอตลาสจาก อัลวา","收到艾瓦的輿圖任務","Art/2DArt/UIImages/InGame/AtlasMissionNotificationAlva",1911,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"{0}x Atlas Missions from Alva Received","{0}x Missions d'Atlas d'Alva obtenues","{0}x Atlasmissionen von Alva erhalten","アルヴァからのアトラスミッションを{0}個受け取りました","알바로부터 아틀라스 임무를 {0}개 받았습니다.","{0} Missões do Atlas de Alva Recebidas ","Получено заданий Альвы: {0}","Has recibido {0} misiones del Atlas de Alva","ได้รับ {0}x ภารกิจแอตลาสจาก อัลวา","已收到 {0} 個艾瓦的輿圖任務",""
3,"AtlasMissionNiko","Atlas Mission from Niko Received","Mission d'Atlas de Niko obtenue","Atlasmission von Niko erhalten","ニコからのアトラスミッションを受け取りました","니코로부터 아틀라스 임무를 받았습니다","Missão do Atlas do Niko Recebida","Получено задание Атласа от Нико","Has recibido una misión de Atlas de Niko","ได้รับภารกิจแอตลาสจาก นิโค้","收到尼科的輿圖任務","Art/2DArt/UIImages/InGame/AtlasMissionNotificationNiko",1911,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"{0}x Atlas Missions from Niko Received","{0}x Missions d'Atlas de Niko obtenues","{0}x Atlasmissionen von Niko erhalten","ニコからのアトラスミッションを{0}個受け取りました","니코로부터 아틀라스 임무를 {0}개 받았습니다.","{0} Missões do Atlas de Niko Recebidas ","Получено заданий Нико: {0}","Has recibido {0} misiones del Atlas de Niko ","ได้รับ {0}x ภารกิจแอตลาสจาก นิโค้","已收到 {0} 個尼科的輿圖任務",""
4,"AtlasMissionEinhar","Atlas Mission from Einhar Received","Mission d'Atlas d'Einhar obtenue","Atlasmission von Einhar erhalten","アイナーからのアトラスミッションを受け取りました","아인하르로부터 아틀라스 임무를 받았습니다","Missão do Atlas do Einhar Recebida","Получено задание Атласа от Эйнара","Has recibido una misión de Atlas de Einhar","ได้รับภารกิจแอตลาสจาก ไอนาร์","收到埃哈的輿圖任務","Art/2DArt/UIImages/InGame/AtlasMissionNotificationEinhar",1911,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"{0}x Atlas Missions from Einhar Received","{0}x Missions d'Atlas d'Einhar obtenues","{0}x Atlasmissionen von Einhar erhalten","アイナーからのアトラスミッションを{0}個受け取りました","아인하르로부터 아틀라스 임무를 {0}개 받았습니다.","{0} Missões do Atlas de Einhar Recebidas ","Получено заданий Эйнара: {0}","Has recibido {0} misiones del Atlas de Einhar","ได้รับ {0}x ภารกิจแอตลาสจาก ไอนาร์","已收到 {0} 個埃哈的輿圖任務",""
5,"AtlasMissionJun","Atlas Mission from Jun Received","Mission d'Atlas de Jun obtenue","Atlasmission von Jun erhalten","ジュンからのアトラスミッションを受け取りました","준으로부터 아틀라스 임무를 받았습니다","Missão do Atlas da Jun Recebida","Получено задание Атласа от Джун","Has recibido una misión de Atlas de Jun","ได้รับภารกิจแอตลาสจาก จุน","收到瓊恩的輿圖任務","Art/2DArt/UIImages/InGame/AtlasMissionNotificationJun",1911,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"{0}x Atlas Missions from Jun Received","{0}x Missions d'Atlas de Jun obtenues","{0}x Atlasmissionen von Jun erhalten","ジュンからのアトラスミッションを{0}個受け取りました","준으로부터 아틀라스 임무를 {0}개 받았습니다.","{0} Missões do Atlas de Jun Recebidas ","Получено заданий Джун: {0}","Has recibido {0} misiones del Atlas de Jun","ได้รับ {0}x ภารกิจแอตลาสจาก จุน","已收到 {0} 個瓊恩的輿圖任務",""
6,"FavouredMapSlotUnlocked","Favoured Map Slot Unlocked","Emplacement de Carte favorite débloqué","Platz für Lieblingskarte freigeschaltet","お気に入りマップスロットがアンロックされました","선호 지도 슬롯을 잠금 해제했습니다","Espaço de Mapa Favorecido Destrancado","Разблокирована ячейка предпочитаемой карты","Has desbloqueado un espacio de mapa favorito","ปลดล็อก ช่องใส่แผนที่ที่ชื่นชอบ แล้ว","解鎖幸運地圖欄位","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",1911,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
7,"HarvestCraftingBenchUnlocked","Horticrafting Station decoration now available in your Hideout","Nouvelle décoration disponible dans votre Repaire :\nÉtabli d'hortisanat","Die Dekoration Anfertigungsstation ist jetzt in deinem Versteck verfügbar","ハーベストクラフト台が隠れ家で使用できるようになりました","이제 푸르미 제작소 장식을 은신처에서 사용할 수 있습니다.","Decoração Estação de Horticultura agora disponível no seu Refúgio","Декоративная плодоремесленная установка теперь доступна в вашем убежище","La decoración Mesa de fabricación herbaria ya está disponible en tu guarida","ของตกแต่ง โต๊ะคราฟท์สวน (Horticrafting Station) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","園藝憩站現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",1911,3,2,"","","Art/2DArt/UIImages/InGame/HorticraftingDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
8,"HarvestSeedStashUnlocked","Seed Stockpile decoration now available in your Hideout","Nouvelle décoration disponible dans votre Repaire :\nRéserve de graines","Die Dekoration Samenvorrat ist jetzt in deinem Versteck verfügbar","シード貯蔵庫が隠れ家で使用できるようになりました","이제 씨앗 전리품 장식을 은신처에서 사용할 수 있습니다.","Decoração Pilha de Sementes agora disponível em seu Refúgio","Декоративный сундук с семенами теперь доступен в вашем убежище","La decoración Reserva de semillas ya está disponible en tu guarida","ของตกแต่ง คลังเก็บเมล็ดพันธุ์ (Seed Stockpile) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","裝飾物：種子堆現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",1911,3,2,"","","Art/2DArt/UIImages/InGame/SeedStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
9,"HeistStashUnlocked","Heist Locker decoration now available in your Hideout","Nouvelle décoration disponible dans votre Repaire :\nCasier de Malfaiteur","Die Dekoration Raubüberfall-Schließfach ist jetzt in deinem Versteck verfügbar","ハイストロッカーが隠れ家で使用できるようになりました","이제 강탈 사물함 장식을 은신처에서 사용할 수 있습니다.","Decoração Armário Heist agora está disponível no seu Refúgio.","Декоративный сундук Кражи теперь доступен в вашем убежище","La decoración Armario de Heist ya está disponible en tu guarida","ของตกแต่ง ล็อกเกอร์โจรกรรม (Heist Locker) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","裝飾物：劫盜鎖櫃現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",1911,3,2,"","","Art/2DArt/UIImages/InGame/HeistStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
