"rownum","Id","Base_ENVFile","Corrupted_ENVFiles","QuestFlag1","QuestFlag2","[i32]_64","EnvironmentTransitionsKey","PreloadGroup","bool_112","f32_113"
0,"NULL","",[],[],[],[],"","","",0
1,"NoMusic","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","","",0
2,"Pause","Metadata/EnvironmentSettings/pause.env",[],[],[],[],"","","",0
3,"1_1","Metadata/EnvironmentSettings/1_1_1.env",[],[],[],[],"","","",0
4,"1_1w","Metadata/EnvironmentSettings/1_1_1.env",[],[],[],[],"","","",0
5,"1_1_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","","",0
6,"1_2","Metadata/EnvironmentSettings/1_1_2_Night.env",[],[],[],[],"","","",0
7,"1_2_remakeledges","Metadata/EnvironmentSettings/1_1_2_LedgeRemake.env",[],[],[],[],"","","",0
8,"1_2a","Metadata/EnvironmentSettings/1_1_2a.env",[],[],[],[],"","","",0
9,"1_3","Metadata/EnvironmentSettings/1_1_3_Dawn.env","[""Metadata/EnvironmentSettings/1_1_3_Sunny.env""]",[],[],[],0,"","",0
10,"1_3a","Metadata/EnvironmentSettings/1_1_3a_Dark.env","[""Metadata/EnvironmentSettings/1_1_3a_Sunny.env""]",[],[227],[],"","","",2
11,"1_4_0","Metadata/EnvironmentSettings/1_1_4_0.env",[],[],[],[],"","","",0
12,"1_4_0_synthesis","Metadata/EnvironmentSettings/1_1_4_0_synthesis.env",[],[],[],[],"","","",0
13,"1_4_1","Metadata/EnvironmentSettings/1_1_4_1.env",[],[],[],[],"","","",0
14,"1_4_2","Metadata/EnvironmentSettings/1_1_4_2.env",[],[],[],[],"","","",0
15,"1_5","Metadata/EnvironmentSettings/1_1_5.env",[],[],[],[],"","","",0
16,"1_6","Metadata/EnvironmentSettings/1_1_6.env",[],[],[],[],"","","",0
17,"1_7_1","Metadata/EnvironmentSettings/1_1_7_1.env",[],[],[],[],"","","",0
18,"1_7_2","Metadata/EnvironmentSettings/1_1_7_2.env",[],[],[],[],"","","",0
19,"1_7_3","Metadata/EnvironmentSettings/1_1_7_3.env",[],[],[],[],"","","",0
20,"1_7_3_silent","Metadata/EnvironmentSettings/boss_silent.env",[],[],[],[],"","","",0
21,"1_8","Metadata/EnvironmentSettings/1_1_8.env",[],[],[],[],"","","",0
22,"1_9","Metadata/EnvironmentSettings/1_1_9.env",[],[],[],[],"","","",0
23,"1_9test","Metadata/EnvironmentSettings/1_1_9test.env",[],[],[],[],"","","",0
24,"1_9a","Metadata/EnvironmentSettings/1_1_9a.env",[],[],[],[],"","","",0
25,"1_11_1","Metadata/EnvironmentSettings/1_1_11_1.env",[],[],[],[],"","","",0
26,"1_11_2","Metadata/EnvironmentSettings/1_1_11_2.env",[],[],[],[],"","","",0
27,"1_11_3_silent","Metadata/EnvironmentSettings/boss_silent.env",[],[],[],[],"","","",0
28,"1_11_3_boss","Metadata/EnvironmentSettings/1_1_11_3.env",[],[],[],[],"","","",0
29,"1_town","Metadata/EnvironmentSettings/1_1_town.env",[],[],[],[],"","","",0
30,"1_town_v2","Metadata/EnvironmentSettings/1_1_town_v2.env",[],[],[],[],"","","",0
31,"2_1","Metadata/EnvironmentSettings/1_2_1.env","[""Metadata/EnvironmentSettings/corrupted/1_2_1.env""]",[85],[88],[],"","","",2
32,"2_2","Metadata/EnvironmentSettings/1_2_2.env",[],[],[],[],"","","",0
33,"2_2_prophecy","Metadata/EnvironmentSettings/1_2_2_prophecy.env",[],[],[],[],"","","",0
34,"2_2a","Metadata/EnvironmentSettings/1_2_2a.env",[],[],[],[],"","","",0
35,"2_3","Metadata/EnvironmentSettings/1_2_3.env",[],[],[],[],"","","",0
36,"2_4","Metadata/EnvironmentSettings/1_2_4.env",[],[],[],[],"","","",0
37,"2_5_1","Metadata/EnvironmentSettings/1_2_5_1.env",[],[],[],[],"","","",0
38,"2_5_2","Metadata/EnvironmentSettings/1_2_5_2.env",[],[],[],[],"","","",0
39,"2_6_1","Metadata/EnvironmentSettings/1_2_6_1.env",[],[],[],[],"","","",0
40,"2_6_2","Metadata/EnvironmentSettings/1_2_6_2.env",[],[],[],[],"","","",0
41,"2_6_3","Metadata/EnvironmentSettings/1_2_6_3.env",[],[],[],[],"","","",0
42,"2_7","Metadata/EnvironmentSettings/1_2_7.env","[""Metadata/EnvironmentSettings/corrupted/1_2_7.env""]",[85],[88],[],"","","",2
43,"2_7_synthesis","Metadata/EnvironmentSettings/1_2_7_synthesis.env",[],[],[],[],"","","",0
44,"2_8","Metadata/EnvironmentSettings/1_2_8.env","[""Metadata/EnvironmentSettings/corrupted/1_2_8.env""]",[85],[88],[],"","","",2
45,"2_9","Metadata/EnvironmentSettings/1_2_9.env","[""Metadata/EnvironmentSettings/corrupted/1_2_9.env""]",[85],[88],[],"","","",2
46,"2_10","Metadata/EnvironmentSettings/1_2_10.env","[""Metadata/EnvironmentSettings/corrupted/1_2_10.env""]",[85],[88],[],"","","",2
47,"2_11_1","Metadata/EnvironmentSettings/1_2_11_1.env","[""Metadata/EnvironmentSettings/corrupted/1_2_11_1.env""]",[85],[88],[],"","","",2
48,"2_11_2","Metadata/EnvironmentSettings/1_2_11_2.env","[""Metadata/EnvironmentSettings/corrupted/1_2_11_2.env""]",[85],[88],[],"","","",2
49,"2_12","Metadata/EnvironmentSettings/1_2_12.env","[""Metadata/EnvironmentSettings/corrupted/1_2_12.env""]",[85],[88],[],"","","",2
50,"2_13","Metadata/EnvironmentSettings/1_2_13.env",[],[],[],[],"","","",0
51,"2_14_2","Metadata/EnvironmentSettings/1_2_14_2.env","[""Metadata/EnvironmentSettings/corrupted/1_2_14_2.env""]",[85],[88],[],"","","",2
52,"2_14_3","Metadata/EnvironmentSettings/1_2_14_3.env","[""Metadata/EnvironmentSettings/corrupted/1_2_14_3.env""]",[85],[88],[],"","","",2
53,"2_14_3_silent","Metadata/EnvironmentSettings/boss_silent.env",[],[],[],[],"","","",0
54,"2_14_3_boss","Metadata/EnvironmentSettings/1_2_14_boss.env","[""Metadata/EnvironmentSettings/corrupted/1_2_14_boss.env""]",[85],[88],[],"","","",2
55,"2_14_3_boss_leadup","Metadata/EnvironmentSettings/1_2_14_boss_leadup.env","[""Metadata/EnvironmentSettings/corrupted/1_2_14_boss_leadup.env""]",[85],[88],[],"","","",2
56,"2_15","Metadata/EnvironmentSettings/1_2_15.env",[],[],[],[],"","","",0
57,"2_15_reaper","Metadata/EnvironmentSettings/1_2_15_reaper.env",[],[],[],[],"","","",0
58,"2_town","Metadata/EnvironmentSettings/1_2_town.env","[""Metadata/EnvironmentSettings/corrupted/1_2_town.env""]",[85],[88],[],"","","",2
59,"designertest","Metadata/EnvironmentSettings/designertest.env",[],[],[],[],"","","",0
60,"designertest_arena","Metadata/EnvironmentSettings/designertest_arena.env",[],[],[],[],"","","",0
61,"Desert_1","Metadata/EnvironmentSettings/Desert_1.env",[],[],[],[],"","","",0
62,"ParticleShower","Metadata/EnvironmentSettings/ParticleShower.env",[],[],[],[],"","","",0
63,"AtlasExilesZana","Metadata/EnvironmentSettings/AtlasExiles1_1.env",[],[],[],[],"","","",0
64,"AtlasExiles1_1","Metadata/EnvironmentSettings/AtlasExiles1_1.env",[],[],[],[],"","","",0
65,"AtlasExiles1_BossFight","Metadata/EnvironmentSettings/AtlasExiles1_BossFight.env",[],[],[],[],"","","",0
66,"AtlasExiles1_Completed","Metadata/EnvironmentSettings/AtlasExiles1_Completed.env",[],[],[],[],"","","",0
67,"AtlasExiles2_1","Metadata/EnvironmentSettings/AtlasExiles2_1.env",[],[],[],[],"","","",0
68,"AtlasExiles2_1_Rotate","Metadata/EnvironmentSettings/AtlasExiles2_1.env","[""Metadata/EnvironmentSettings/AtlasExiles2_1_Entrance.env""]",[],[],[],0,"","",0
69,"AtlasExiles2_BossFight","Metadata/EnvironmentSettings/AtlasExiles2_BossFight.env",[],[],[],[],"","","",0
70,"AtlasExiles2_Completed","Metadata/EnvironmentSettings/AtlasExiles2_Completed.env",[],[],[],[],"","","",0
71,"AtlasExiles3_1","Metadata/EnvironmentSettings/AtlasExiles3_1.env","[""Metadata/EnvironmentSettings/AtlasExiles3_1_foggier.env""]",[],[],[],0,"","",0
72,"AtlasExiles3_BossFight","Metadata/EnvironmentSettings/AtlasExiles3_BossFight.env","[""Metadata/EnvironmentSettings/AtlasExiles3_BossFight_foggier.env""]",[],[],[],0,"","",0
73,"AtlasExiles3_Completed","Metadata/EnvironmentSettings/AtlasExiles3_Completed.env","[""Metadata/EnvironmentSettings/AtlasExiles3_Completed_foggier.env""]",[],[],[],0,"","",0
74,"AtlasExiles4_1","Metadata/EnvironmentSettings/AtlasExiles4_1.env",[],[],[],[],"","","",0
75,"AtlasExiles4_BossFight","Metadata/EnvironmentSettings/AtlasExiles4_BossFight.env",[],[],[],[],"","","",0
76,"AtlasExiles4_Completed","Metadata/EnvironmentSettings/AtlasExiles4_Completed.env",[],[],[],[],"","","",0
77,"AtlasExiles5_1","Metadata/EnvironmentSettings/AtlasExiles5_1.env",[],[],[],[],"","","",0
78,"AtlasExiles5_2","Metadata/EnvironmentSettings/AtlasExiles5_2.env",[],[],[],[],"","","",0
79,"AtlasExiles5_Lab","Metadata/EnvironmentSettings/AtlasExiles5_Lab.env",[],[],[],[],"","","",0
80,"AtlasExiles5_LabFoyer","Metadata/EnvironmentSettings/AtlasExiles5_LabFoyer.env",[],[],[],[],"","","",0
81,"AtlasExiles5_Square","Metadata/EnvironmentSettings/AtlasExiles5_Square.env",[],[],[],[],"","","",0
82,"AtlasExiles5_SquareBurning1","Metadata/EnvironmentSettings/AtlasExiles5_SquareBurning1.env",[],[],[],[],"","","",0
83,"AtlasExiles5_SquareBurning2","Metadata/EnvironmentSettings/AtlasExiles5_SquareBurning2.env",[],[],[],[],"","","",0
84,"AtlasExiles5_SquareBurning3","Metadata/EnvironmentSettings/AtlasExiles5_SquareBurning3.env",[],[],[],[],"","","",0
85,"AtlasExiles5_Completed","Metadata/EnvironmentSettings/AtlasExiles5_Completed.env",[],[],[],[],"","","",0
86,"3_1","Metadata/EnvironmentSettings/1_3_1.env",[],[],[],[],"","","",0
87,"3_2","Metadata/EnvironmentSettings/1_3_2.env",[],[],[],[],"","","",0
