"rownum","Id","EffectVirtualPath","PreloadGroupsKeys","EffectHASH32","i32_36","ObjectHASH32"
0,"LegacyWaypointEffect","Metadata/Effects/Environment/waypoint/new/WaypointEffect",[],3356510134,1,1418994860
1,"Doodad","Metadata/MiscellaneousObjects/Doodad",[],706408584,1,606705012
2,"Checkpoint","Metadata/MiscellaneousObjects/Checkpoint",[],4188434745,1,2541115960
3,"Stash","Metadata/MiscellaneousObjects/Stash",[],2817685266,1,1182202488
4,"GuildStash","Metadata/MiscellaneousObjects/GuildStash",[],4197940191,1,3992171652
5,"DefaultWaypoint","Metadata/MiscellaneousObjects/Waypoint",[],552129418,1,608223434
6,"AreaTransition","Metadata/MiscellaneousObjects/AreaTransition",[],726109394,1,3791283893
7,"Shrine","Metadata/Shrines/Shrine",[],2857838571,4,2543391360
8,"Sector","Metadata/MiscellaneousObjects/Sector",[],942138868,4,802365645
9,"DoodadLayerDoodad","Metadata/MiscellaneousObjects/DoodadLayerDoodad",[],1929453020,4,3137372405
10,"TutorialArrow","Metadata/MiscellaneousObjects/TutorialArrow",[],2310641521,1,1095568763
11,"ColdSnap","Metadata/Effects/Spells/coldsnap/cold_snap",[],3903424774,4,1252310733
12,"DetonateDeadEffect","Metadata/Effects/Spells/detonate_dead/DetonateDead",[],3298718292,4,1602118706
13,"InfernalBlowExplode","Metadata/Effects/Spells/infernal_blow/InfernalBlowExplosion",[],567876608,3,1953903615
14,"Shatter","Metadata/Effects/Spells/shatter/Shatter",[],2647986052,2,1917692696
15,"FrostWallSegment","Metadata/Effects/Spells/frostwall/FrostWall",[],1667146716,4,249790074
16,"BruteDeath","Metadata/Effects/Spells/monsters_effects/brute_death/BruteDeathExplosion",[],342351121,4,3906978273
17,"WorldItem","Metadata/MiscellaneousObjects/WorldItem",[],1418889786,1,2994149978
18,"MapDeviceMaligaro","Metadata/QuestObjects/Act7/MaligaroOrrery",[45],2284433251,4,674554795
19,"MapDeviceQuest","Metadata/MiscellaneousObjects/MapDevice",[45],561515709,4,4017980719
20,"MapDeviceButton","Metadata/MiscellaneousObjects/MapDeviceButton",[45],1077686931,4,422196907
21,"MapDeviceApparition","Metadata/MiscellaneousObjects/MapDeviceApparition",[45],934538695,4,433698104
22,"FireTrap","Metadata/MiscellaneousObjects/PyroTrap",[],2697420741,4,4000774286
23,"CausticTrap","Metadata/MiscellaneousObjects/PyroCausticTrap",[],297988080,4,1854909549
24,"FireBossExplode","Metadata/Effects/Spells/monsters_effects/rare_explode/fire",[],1665864013,3,3938204142
25,"IceBossExplode","Metadata/Effects/Spells/monsters_effects/rare_explode/ice",[],4198031288,4,1276055392
26,"LightBossExplode","Metadata/Effects/Spells/monsters_effects/rare_explode/light",[],3325202734,4,1111078196
27,"RootSpiderHole","Metadata/Effects/Spells/monsters_effects/act2/root_spider/emerge/Hole",[],3968488542,4,2418803228
28,"SuicideExplodeDefault","Metadata/Effects/Spells/monsters_effects/gore_explode/gore_explode",[],1400497802,4,1849970150
