"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
0,"Currency","Currency","Objets monétaires","Währung","カレンシー","화폐","Moeda","Валюта","Objetos monetarios","เงินตรา","通貨"
1,"CurrencyEldritch","Eldritch Currency","Objets monétaires surnaturels","Übernatürliche Währung","エルドリッチカレンシー","섬뜩한 화폐","Moedas Ancestrais","Мистическая валюта","Objetos monetarios sobrenaturales","เงินตราต่างแดน","異能通貨"
2,"CurrencyTainted","Tainted Currency","Objets monétaires impurs","Korrosive Währung","汚染されたカレンシー","더럽혀진 화폐","Moedas Maculadas","Порочная валюта","Objetos monetarios contaminados","เงินตราแปดเปื้อน","玷汙的通貨"
3,"CurrencyInfluenced","Influenced Currency","Objets monétiares influencés","Beeinflusste Währung","インフルエンスカレンシー","영향을 받은 화폐","Moedas Influenciadas","Валюта с влиянием","Objetos monetarios influenciados","เงินตราที่มีอิทธิพล","勢力通貨"
4,"CurrencyQuality","Quality Currency","Objets monétaires de qualité","Qualitäts-Währung","品質カレンシー","퀄리티 화폐","Moeda de Qualidade","Валюта для повышения качества","Objetos monetarios de calidad","เงินตราค่าคุณภาพ","品質通貨"
5,"CurrencyAstrolabe","Astrolabes","Astrolabes","Astrolabien","アストロラーベ","관측기","Astrolábios","Астролябии","Astrolabios","นาฬิกาดาว","星盤"
6,"CurrencyMemories","Memories","Souvenirs","Erinnerungen","メモリー","기억","Memórias","Воспоминания","Recuerdos","ความทรงจำ","記憶"
7,"Shards","Currency Shards","Éclats d'Objets monétaires","Währungssplitter","カレンシーシャード","화폐 파편","Fragmentos de Moeda","Осколки валюты","Esquirlas de objetos monetarios","เศษเงินตรา","通貨碎片"
8,"Fragments","Fragments","Fragments","Fragmente","フラグメント","조각","Fragmentos","Фрагменты","Fragmentos","ชิ้นส่วน","碎片"
9,"FragmentsAtziri","Atziri & Uber Atziri","Atziri & Uber Atziri","Atziri & Über-Atziri","アッツィリ＆ウーバーアッツィリ","앗지리 및 우버 앗지리","Atziri e Uber Atziri","Атзири и убер-Атзири","Atziri y Atziri uber","อัถสิริและอูเบอร์อัถสิริ","阿茲里與終極阿茲里"
10,"FragmentsShaper","Shaper","Façonneur","Schöpfer","シェイパー","쉐이퍼","Criador","Создатель","El Creador","เชปเปอร์","塑界者"
11,"FragmentsElder","Elder & Uber Elder","Ancien & Uber Ancien","Ältester & Über-Ältester","エルダー＆ウーバーエルダー","엘더 및 우버 엘더","Ancião e Uber Ancião","Древний и убер-Древний","El Antiguo y el Antiguo uber","เอลเดอร์และอูเบอร์เอลเดอร์","異界尊師與終極異界尊師"
12,"FragmentsSirus","Awakener","Éveilleur","Erwecker","覚醒者","각성자","Precursor","Пробудитель","Sirus","ผู้ทำให้โลกตื่น","喚醒者"
13,"FragmentsLabyrinth","The Labyrinth","Le Labyrinthe","Das Labyrinth","ラビリンス","미궁","O Labirinto","Лабиринт","El laberinto","เขาวงกต","帝王迷宮"
