"rownum","Id","Cost1Currencies","Cost1Values","Cost2Currencies","Cost2Values","Cost3Currencies","Cost3Values","Cost4Currencies","Cost4Values","RuthlessWithGold"
0,"Metadata/Items/Currency/CurrencyWeaponQuality",[5],[3],[],[],[],[],[],[],[25000]
1,"Metadata/Items/Currency/CurrencyRerollRare",[7],[3],[],[],[],[],[],[],[]
2,"Metadata/Items/Currency/CurrencyArmourQuality",[0],[1],[],[],[],[],[],[],[15000]
3,"Metadata/Items/Currency/CurrencyDuplicate",[23],[223],[],[],[],[],[],[],[]
4,"Metadata/Items/Currency/CurrencyUpgradeToRare",[9],[1],[],[],[],[],[],[],[]
5,"Metadata/Items/Currency/CurrencyUpgradeRandomly",[21],[1],[],[],[],[],[],[],[]
6,"Metadata/Items/Currency/CurrencyPassiveRefund",[13],[2],[],[],[],[],[],[],[50000]
7,"Metadata/Items/Currency/CurrencyUpgradeToMagic",[17],[7],[],[],[],[],[],[],[]
8,"Metadata/Items/Currency/CurrencyRerollMagic",[16],[4],[],[],[],[],[],[],[25000]
9,"Metadata/Items/Currency/CurrencyConvertToNormal",[8],[4],[],[],[],[],[],[],[]
10,"Metadata/Items/Currency/CurrencyAddModToRare",[15],[5],[],[],[],[],[],[],[]
11,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",[2],[16],[],[],[],[],[],[],[]
12,"Metadata/Items/Currency/CurrencyAddModToMagic",[11],[4],[],[],[],[],[],[],[15000]
13,"Metadata/Items/Currency/CurrencyPortal",[1],[3],[],[],[],[],[],[],[150]
14,"Metadata/Items/Currency/CurrencyFlaskQuality",[0],[8],[],[],[],[],[],[],[50000]
15,"Metadata/Items/Currency/CurrencyGemQuality",[18],[20],[],[],[],[],[],[],[]
16,"Metadata/Items/Currency/CurrencyRerollSocketColours",[22],[3],[],[],[],[],[],[],[5000]
17,"Metadata/Items/Currency/CurrencyRerollSocketLinks",[22],[4],[],[],[],[],[],[],[10000]
18,"Metadata/Items/Currency/CurrencyRerollSocketNumbers",[12],[2],[],[],[],[],[],[],[5000]
19,"Metadata/Items/Currency/CurrencyModValues",[14],[4],[],[],[],[],[],[],[]
20,"Metadata/Items/Currency/CurrencyRerollImplicit",[15],[1],[],[],[],[],[],[],[]
21,"Metadata/Items/Currency/CurrencyRerollDefences",[14],[4],[],[],[],[],[],[],[]
22,"Metadata/Items/Currency/CurrencyItemiseCapturedMonster",[2],[1],[],[],[],[],[],[],[]
23,"Metadata/Items/Currency/CurrencyItemiseNecropolisCorpse",[2],[1],[],[],[],[],[],[],[]
24,"Metadata/Items/Currency/CurrencyItemiseSextantModifier",[2],[1],[],[],[],[],[],[],[]
25,"Metadata/Items/Currency/CurrencyAddAtlasMod","[2,7]","[1,1]",[],[],[],[],[],[],[]
26,"Metadata/Items/Currency/CurrencyAddAtlasModMid","[2,7]","[2,1]",[],[],[],[],[],[],[]
27,"Metadata/Items/Currency/CurrencyAddAtlasModHigh","[2,7]","[3,1]",[],[],[],[],[],[],[]
28,"Metadata/Items/Currency/CurrencyAtlasPassiveRefund",[9],[2],[],[],[],[],[],[],[]
29,"Metadata/Items/Currency/Bestiary/BestiaryNet1",[1],[-1],[],[],[],[],[],[],[]
30,"Metadata/Items/Currency/Bestiary/BestiaryNet2",[1],[-2],[],[],[],[],[],[],[]
31,"Metadata/Items/Currency/Bestiary/BestiaryNet3",[17],[-1],[],[],[],[],[],[],[]
32,"Metadata/Items/Currency/Bestiary/BestiaryNet4",[17],[-2],[],[],[],[],[],[],[]
33,"Metadata/Items/Currency/Bestiary/BestiaryNet5",[11],[-1],[],[],[],[],[],[],[]
34,"Metadata/Items/Currency/Bestiary/BestiaryNet6",[11],[-2],[],[],[],[],[],[],[]
35,"Metadata/Items/Currency/Bestiary/BestiaryNet7",[7],[-1],[],[],[],[],[],[],[]
36,"Metadata/Items/Currency/Bestiary/BestiaryNet8",[7],[-2],[],[],[],[],[],[],[]
37,"Metadata/Items/Currency/Bestiary/BestiaryNet9",[7],[-3],[],[],[],[],[],[],[]
38,"OrbOfTransmutationHardMode",[17],[15],[],[],[],[],[],[],[5000]
39,"Metadata/Items/Weapons/OneHandWeapons/Wands/Wand1",[1],[1],[1],[2],[7],[1],[2],[5],[]
40,"Metadata/Items/Weapons/OneHandWeapons/Wands/Wand2",[1],[1],[11],[1],[7],[1],[2],[5],[]
41,"Metadata/Items/Weapons/OneHandWeapons/Wands/Wand3",[11],[1],[11],[2],[7],[2],[2],[5],[]
42,"Metadata/Items/Weapons/OneHandWeapons/Wands/Wand4",[11],[1],[16],[1],[7],[2],[2],[5],[]
43,"Metadata/Items/Weapons/OneHandWeapons/Wands/Wand5",[11],[1],[12],[1],[7],[3],[2],[5],[]
44,"Metadata/Items/Weapons/OneHandWeapons/Wands/Wand9",[11],[1],[12],[2],[7],[3],[2],[5],[]
45,"Metadata/Items/Weapons/OneHandWeapons/Wands/Wand14",[11],[3],[12],[4],[2],[3],[2],[8],[]
46,"Metadata/Items/Weapons/OneHandWeapons/Claws/Claw2",[11],[1],[11],[2],[7],[2],[2],[5],[]
47,"Metadata/Items/Weapons/TwoHandWeapons/Staves/Staff15",[11],[1],[12],[4],[2],[3],[2],[8],[]
48,"Metadata/Items/Weapons/TwoHandWeapon/FishingRods/FishingRod1",[14],[1],[14],[2],[14],[3],[6],[1],[]
49,"Metadata/Items/Rings/Ring1",[1],[3],[12],[1],[7],[3],[2],[8],[]
50,"Metadata/Items/Amulets/Amulet1",[11],[1],[8],[1],[7],[3],[2],[8],[]
51,"Metadata/Items/Belts/Belt1",[1],[2],[11],[1],[7],[3],[2],[8],[]
52,"Metadata/Items/Armours/Shields/ShieldStr2",[1],[1],[11],[1],[7],[1],[2],[5],[]
53,"Metadata/Items/Armours/Shields/ShieldStr15",[11],[3],[2],[1],[2],[3],[2],[8],[]
54,"Metadata/Items/Armours/Shields/ShieldDex1",[1],[1],[1],[2],[7],[1],[2],[8],[]
55,"Metadata/Items/Armours/Shields/ShieldDex2",[11],[1],[11],[2],[7],[2],[2],[5],[]
56,"Metadata/Items/Armours/Helmets/HelmetWreath1",[],[],[2],[1],[2],[3],[2],[8],[]
57,"Metadata/Items/Armours/BodyArmours/BodyInt1",[1],[1],[1],[1],[7],[1],[2],[5],[]
58,"Metadata/Items/Armours/Gloves/GlovesStr9",[11],[3],[2],[2],[2],[3],[2],[8],[]
59,"Metadata/Items/Flasks/FlaskLife1",[1],[1],[11],[1],[2],[1],[2],[5],[]
60,"Metadata/Items/Flasks/FlaskLife2",[1],[3],[11],[3],[2],[1],[2],[5],[]
61,"Metadata/Items/Flasks/FlaskLife10",[11],[3],[12],[4],[2],[3],[2],[8],[]
62,"Metadata/Items/Flasks/FlaskLife11",[2],[1],[2],[2],[2],[3],[2],[8],[]
63,"Metadata/Items/Flasks/FlaskHybrid1",[11],[2],[11],[3],[2],[1],[2],[5],[]
64,"Metadata/Items/Flasks/FlaskHybrid2",[11],[2],[18],[1],[2],[1],[2],[5],[]
65,"Metadata/Items/Flasks/FlaskHybrid3",[11],[2],[18],[2],[2],[1],[2],[5],[]
66,"Metadata/Items/Flasks/FlaskUtility1",[7],[2],[7],[3],[2],[3],[2],[5],[]
67,"Metadata/Items/Quivers/QuiverNew1",[1],[1],[1],[2],[7],[1],[2],[5],[]
68,"Metadata/Items/Quivers/QuiverNew2",[11],[1],[11],[3],[7],[2],[2],[5],[]
69,"Metadata/Items/Quivers/QuiverNew4",[16],[1],[12],[1],[2],[1],[2],[5],[]
70,"GemStartingLevel28to37",[8],[1],[],[],[],[],[],[],[]
71,"GemStartingLevel1to7",[1],[1],[],[],[],[],[],[],[]
72,"GemStartingLevel8to15",[11],[1],[],[],[],[],[],[],[]
73,"GemStartingLevel16to27",[12],[1],[],[],[],[],[],[],[]
74,"GemStartingLevel38",[7],[1],[],[],[],[],[],[],[]
75,"GemExceptional",[23],[1],[],[],[],[],[],[],[]
76,"Metadata/Items/Jewels/Jewel",[],[],[],[],[],[],[2],[8],[4320]
77,"Metadata/Items/Maps/MapTier1_1",[8],[1],[8],[2],[8],[3],[2],[10],[]
78,"Metadata/Items/Maps/MapTier2_1",[8],[2],[8],[3],[8],[4],[2],[10],[]
79,"Metadata/Items/Maps/MapTier3_1",[7],[1],[7],[2],[7],[3],[2],[10],[]
80,"Metadata/Items/Maps/MapTier4_1",[7],[2],[7],[3],[7],[4],[2],[10],[]
81,"Metadata/Items/Maps/MapTier5_1",[2],[1],[2],[2],[2],[3],[2],[10],[]
82,"Metadata/Items/Maps/MapTier6_1",[2],[2],[2],[3],[2],[4],[2],[10],[]
83,"Metadata/Items/Maps/MapTier7_1",[2],[3],[2],[4],[2],[5],[2],[10],[]
84,"Metadata/Items/Maps/MapTier8_1",[2],[4],[2],[5],[2],[6],[2],[10],[]
85,"Metadata/Items/Maps/MapTier9_1",[2],[6],[2],[8],[2],[10],[14],[1],[]
86,"Metadata/Items/Maps/MapTier10_1",[2],[10],[14],[1],[14],[2],[14],[4],[]
87,"Metadata/Items/Maps/MapTier11_1",[14],[1],[14],[2],[14],[3],[14],[6],[]
88,"Metadata/Items/Maps/MapTier12_1",[14],[2],[14],[3],[14],[4],[14],[8],[]
89,"Metadata/Items/Maps/MapTier13_1",[14],[4],[14],[5],[14],[8],[14],[10],[]
90,"Metadata/Items/Maps/Map2Tier5_1",[8],[3],[8],[4],[8],[5],[2],[10],[]
91,"Metadata/Items/Maps/Map2Tier6_1",[8],[4],[8],[5],[8],[6],[2],[10],[]
92,"Metadata/Items/Maps/Map2Tier7_1",[7],[1],"[7,8]","[1,1]",[7],[2],[2],[10],[]
93,"Metadata/Items/Maps/Map2Tier8_1",[7],[2],"[7,8]","[2,1]",[7],[3],[2],[10],[]
