"rownum","Id","QuestKey","QuestFlag","i32_40","RewardWindowTake","bool_60","bool_61","RewardWindowTitle","bool_78","bool_79","bool_80","bool_81","rid_82"
0,"a1q1",0,2,1470,"","","","","","","","",""
1,"a1q5",1,41,1470,"","","","","","","","",""
2,"a1q5b",1,1877,1470,"","","","",1,"","","",""
3,"a1q4",2,36,1470,"","","","","","","","",""
4,"a1q4b",2,2148,1470,"","","","",1,"","","",""
5,"a1q8",3,"",1470,"","",1,"","","","","",""
6,"a1q7",4,"",1470,"","",1,"","","","","",""
7,"a1q2",5,6,1470,"","","","","","","","",""
8,"a1q2b",5,797,1470,"","","","","","","","",""
9,"a1q6",6,"",1470,"","",1,"","","","","",""
10,"a1q3",7,72,1470,"","","","","","","","",""
11,"a1q9",8,"",1470,"","",1,"","","","","",""
12,"a2q5",10,"",1470,"","",1,"","","","","",""
13,"a2q6",11,108,1470,"","","","","","","","",""
14,"a2q10",12,248,1470,"","","","","","","","",""
15,"a2q4",13,106,1470,"","","","","","","","",""
16,"a2q9b_tencent",14,2549,1470,"",1,"","",1,"","","",""
17,"a2q7",15,"",1470,"","",1,"","","","","",""
18,"a3q1",21,173,1470,"","","","","","","","",""
19,"a3q2",22,"",1470,"","",1,"","","","","",""
20,"a3q11",23,"",1470,"","",1,"","","","","",""
21,"a3q4",25,189,1470,"","","","","","","","",""
22,"a3q5",26,"",1470,"","",1,"","","","","",""
23,"a3q8",27,212,1470,"","","","","","","","",""
24,"a3q12",28,493,1470,"","","","","","","","",""
25,"a3q13",29,197,1470,"","","","","","","","",""
26,"a3q9",30,"",1470,"","",1,"","","","","",""
27,"d2c1",32,521,1470,"","","","","","","","",""
28,"d2c2",33,522,1470,"","","","","","","","",""
29,"a4q1",34,688,1470,"","","","","","","","",""
30,"a4q2",35,665,1470,"","","","","","","","",""
31,"a4q6",39,"",1470,"","",1,"","","","","",""
32,"a4q6b_tencent",39,2555,1470,"",1,"","",1,"","","",""
33,"bandit_respec",50,"",1470,3695,"",1,3700,"","","","",""
34,"a5q1b",63,1054,1470,"","","","","","","","",""
35,"a5q2",64,1062,1470,"","","","","","","","",""
36,"a5q3",65,"",1470,"","",1,"","","","","",""
37,"a5q4",66,1074,1470,"","","","","","","","",""
38,"a5q5",67,1080,1470,"","","","","","","","",""
39,"a5q7",69,"",1470,"","",1,"","","","","",""
40,"a6q2",71,1170,1470,"","","","","","","","",""
41,"a6q3",72,"",1470,"","",1,"","","","","",""
42,"a6q4",73,"",1470,"","",1,"","","","","",""
43,"a6q5",74,1253,1470,"","","","","","","","",""
44,"a6q6",75,"",1470,"","",1,"","","","","",""
45,"a6q7",76,"",1470,"","",1,"","","","","",""
46,"a7q1",77,"",1470,"","",1,"","","","","",""
47,"a7q2",78,1278,1470,"","","","","","","","",""
48,"a7q3",79,"",1470,"","",1,"","","","","",""
49,"a7q5",81,1308,1470,"","","","","","","","",""
50,"a7q6",82,"",1470,"","",1,"","","","","",""
