"rownum","MemoryLineType","i32_16","Stats","StatValues","[rid]_52","[rid]_68"
0,0,0,[21321],[0],[],[]
1,0,1,[21321],[2],[],[]
2,0,2,[21321],[4],[],[]
3,0,3,[21321],[6],[],[]
4,0,4,[21321],[8],[],[]
5,0,5,[21321],[10],[],[]
6,0,6,[21321],[12],[],[]
7,1,0,[21321],[0],[],[]
8,1,1,[21321],[2],[],[]
9,1,2,[21321],[4],[],[]
10,1,3,[21321],[6],[],[]
11,1,4,[21321],[8],[],[]
12,1,5,[21321],[10],[],[]
13,1,6,[21321],[12],[],[]
14,2,0,[21321],[0],[],[]
15,2,1,[21321],[2],[],[]
16,2,2,[21321],[4],[],[]
17,2,3,[21321],[6],[],[]
18,2,4,[21321],[8],[],[]
19,2,5,[21321],[10],[],[]
20,2,6,[21321],[12],[],[]
21,3,0,[21321],[0],[],[]
22,3,1,[21321],[2],[],[]
23,3,2,[21321],[4],[],[]
24,3,3,[21321],[6],[],[]
25,3,4,[21321],[8],[],[]
26,4,0,[21321],[0],[],[]
27,4,1,[21321],[2],[],[]
28,4,2,[21321],[4],[],[]
29,4,3,[21321],[6],[],[]
30,4,4,[21321],[8],[],[]
31,5,0,[21321],[0],[],[]
32,5,1,[21321],[2],[],[]
33,5,2,[21321],[4],[],[]
34,5,3,[21321],[6],[],[]
35,5,4,[21321],[8],[],[]
36,6,0,[21321],[0],[],[]
37,6,1,[21321],[2],[],[]
38,6,2,[21321],[4],[],[]
39,6,3,[21321],[6],[],[]
40,6,4,[21321],[8],[],[]
41,7,0,[21321],[0],[],[]
42,7,1,[21321],[2],[],[]
43,7,2,[21321],[4],[],[]
44,7,3,[21321],[6],[],[]
45,7,4,[21321],[8],[],[]
46,8,0,[21321],[0],[],[]
47,8,1,[21321],[2],[],[]
48,8,2,[21321],[4],[],[]
49,8,3,[21321],[6],[],[]
50,8,4,[21321],[8],[],[]
