"rownum","MaxAccountLevel","i32_4","i32_8","GoldRespecCost","i32_16","i32_20","i32_24"
0,1,150,3,4,56,2114,18
1,2,150,3,4,62,2234,18
2,3,150,3,4,68,2362,18
3,4,150,3,5,76,2496,21
4,5,150,3,5,84,2639,21
5,6,150,3,6,90,2789,21
6,7,150,3,6,100,2948,24
7,8,150,3,7,108,3116,24
8,9,150,3,8,118,3294,24
9,10,150,3,8,126,3482,27
10,11,150,3,9,138,3680,27
11,12,150,3,11,148,3890,30
12,13,150,3,12,160,4112,30
13,14,150,3,14,172,4346,33
14,15,150,3,15,184,4594,33
15,16,150,3,17,198,4855,36
16,17,150,3,18,212,5132,36
17,18,150,3,20,226,5425,39
18,19,150,3,22,242,5734,42
19,20,150,3,24,258,6061,42
20,21,150,3,26,276,6406,45
21,22,150,3,28,294,6771,48
22,23,150,3,31,314,7157,51
23,24,150,3,34,334,7565,51
24,25,150,3,36,354,7997,54
25,26,150,3,39,376,8452,57
26,27,150,3,43,400,8934,60
27,28,150,3,46,424,9443,63
28,29,150,3,50,450,9982,66
29,30,150,3,54,478,10551,69
30,31,150,3,58,506,11152,75
31,32,150,3,62,536,11788,78
32,33,150,3,67,566,12460,81
33,34,150,3,72,600,13170,84
34,35,150,3,83,634,13920,90
35,36,150,3,90,670,14714,93
36,37,150,3,97,708,15553,99
37,38,150,3,105,746,16439,105
38,39,150,3,113,788,17376,108
39,40,150,3,121,832,18367,114
40,41,150,3,130,876,19414,120
41,42,150,3,151,924,20520,126
42,43,150,3,161,974,21690,132
43,44,150,3,171,1026,22926,138
44,45,150,3,182,1082,24233,147
45,46,150,3,209,1138,25614,153
46,47,150,3,222,1198,27074,162
47,48,150,3,237,1262,28617,168
48,49,150,3,252,1328,30249,177
49,50,150,3,267,1396,31973,186
50,51,150,3,295,1468,33795,195
51,52,150,3,313,1544,35721,204
52,53,150,3,333,1622,37758,216
53,54,150,3,354,1704,39910,225
54,55,150,3,376,1790,42185,237
55,56,150,3,427,1882,44589,249
56,57,150,3,452,1976,47131,261
57,58,150,3,482,2074,49817,276
58,59,150,3,513,2176,52657,288
59,60,150,3,546,2284,55658,303
60,61,150,3,618,2398,58831,318
61,62,150,3,656,2514,62184,333
62,63,150,3,694,2638,65729,351
63,64,150,3,733,2766,69475,369
64,65,150,3,773,2900,73435,387
65,66,150,3,816,3040,77621,405
66,67,150,3,860,3188,82045,426
67,68,150,3,892,3340,86722,447
68,69,150,3,921,3570,91665,471
69,70,150,3,1055,3814,96890,492
70,71,150,3,1203,4072,102413,519
71,72,150,3,1365,4346,108250,543
72,73,150,3,1541,4636,114421,570
73,74,150,3,1748,4942,120943,600
74,75,150,3,1974,5266,127836,630
75,76,150,3,2221,5610,135123,660
76,77,150,3,2490,5974,142825,693
77,78,150,3,2770,6358,150966,729
78,79,150,3,3073,6764,159571,765
79,80,150,3,3400,7192,168667,804
80,81,150,3,3752,7646,178281,843
81,82,150,3,4131,8126,188443,885
82,83,150,3,4538,8632,199184,930
83,84,150,3,4976,9166,210537,975
84,85,150,3,5444,9728,222538,1026
85,86,150,3,5967,10326,235223,1077
86,87,150,3,6526,10326,235223,1131
87,88,150,3,7126,10326,235223,1185
88,89,150,3,7766,10326,235223,1245
89,90,150,3,8450,10326,235223,1308
90,91,150,3,9851,10326,235223,1374
91,92,150,3,11380,10326,235223,1443
92,93,150,3,13042,10326,235223,1515
93,94,150,3,14847,10326,235223,1590
94,95,150,3,16801,10326,235223,1668
95,96,150,3,18914,10326,235223,1752
96,97,150,3,21192,10326,235223,1839
97,98,150,3,23647,10326,235223,1932
98,99,150,3,26286,10326,235223,2028
99,100,150,3,29119,10326,235223,2130
