"rownum","Id","SlotId","MtxGameSpecific"
0,22,9,3765
1,22,12,3763
2,22,11,3764
3,22,7,3762
4,21,9,288
5,21,12,290
6,21,11,291
7,21,7,289
8,6,9,2551
9,6,12,2549
10,6,11,2550
11,6,7,2548
12,5,9,2650
13,5,12,2648
14,5,11,2649
15,5,7,2647
16,17,9,696
17,17,12,694
18,17,11,695
19,17,7,693
20,2,9,783
21,2,12,781
22,2,11,782
23,2,7,780
24,41,9,3358
25,41,12,3356
26,41,11,3357
27,41,7,3355
28,43,9,2661
29,43,12,2659
30,43,11,2660
31,43,7,2658
32,44,9,4045
33,44,12,4043
34,44,11,4044
35,44,7,4042
36,45,9,6852
37,45,12,6850
38,45,11,6851
39,45,7,6849
40,29,9,469
41,29,12,467
42,29,11,468
43,29,7,466
44,11,9,673
45,11,12,1376
46,11,11,1377
47,11,7,1375
48,20,9,1813
49,20,12,1811
50,20,11,1812
51,20,7,1810
52,13,9,1929
53,13,12,1927
54,13,11,1928
55,13,7,1926
56,53,9,1446
57,53,12,1444
58,53,11,1445
59,53,7,1443
60,54,9,452
61,54,12,450
62,54,11,451
63,54,7,449
64,58,9,383
65,58,12,381
66,58,11,382
67,58,7,380
68,59,9,1537
69,59,12,1535
70,59,11,1536
71,59,7,1534
72,38,9,1466
73,38,12,1464
74,38,11,1465
75,38,7,1463
76,56,9,1458
77,56,12,1456
78,56,11,1457
79,56,7,1455
80,30,9,839
81,30,12,837
82,30,11,838
83,30,7,836
84,0,9,4551
85,0,12,4549
86,0,11,4550
87,0,7,4548
88,4,9,4555
89,4,12,4553
90,4,11,4554
91,4,7,4552
92,3,9,2216
93,3,12,2214
94,3,11,2215
95,3,7,2213
96,7,9,3001
97,7,12,2999
98,7,11,3000
99,7,7,2998
100,9,9,3221
101,9,12,3219
102,9,11,3220
103,9,7,3218
104,12,9,3015
105,12,12,3013
106,12,11,3014
107,12,7,3012
108,33,9,2948
109,33,12,2946
110,33,11,2947
111,33,7,2945
112,15,9,284
113,15,12,286
114,15,11,287
115,15,7,285
116,16,9,1246
117,16,12,1244
118,16,11,1245
119,16,7,1243
120,19,9,1427
121,19,12,1425
122,19,11,1426
123,19,7,1424
124,23,9,3153
125,23,12,3151
126,23,11,3152
127,23,7,3150
128,25,9,3436
129,25,12,3434
130,25,11,3435
131,25,7,3433
132,27,9,1306
133,27,12,1304
134,27,11,1305
135,27,7,1303
136,28,9,292
137,28,12,294
138,28,11,295
139,28,7,293
140,32,9,3596
141,32,12,3594
142,32,11,3595
143,32,7,3593
144,34,9,1283
145,34,12,1281
146,34,11,1282
147,34,7,1280
148,36,9,1683
149,36,12,1681
150,36,11,1682
151,36,7,1680
152,37,9,1821
153,37,12,1819
154,37,11,1820
155,37,7,1818
156,39,9,2817
157,39,12,2815
158,39,11,2816
159,39,7,2814
160,40,9,2113
161,40,12,2111
162,40,11,2112
163,40,7,2110
164,42,9,2401
165,42,12,2399
166,42,11,2400
167,42,7,2398
168,47,9,687
169,47,12,685
170,47,11,686
171,47,7,684
172,48,9,4086
173,48,12,4084
174,48,11,4085
175,48,7,4083
176,50,9,2689
177,50,12,2687
178,50,11,2688
179,50,7,2686
180,51,9,2558
181,51,12,2556
182,51,11,2557
183,51,7,2555
184,52,9,484
185,52,12,482
186,52,11,483
187,52,7,481
188,57,9,2707
189,57,12,2705
190,57,11,2706
191,57,7,2704
192,1,9,241
193,1,12,242
194,1,11,243
195,1,7,244
196,31,9,3833
197,31,12,3831
198,31,11,3832
199,31,7,3830
200,10,9,4049
201,10,12,4047
202,10,11,4048
203,10,7,4046
204,8,9,3894
205,8,12,3892
206,8,11,3893
207,8,7,3891
208,14,9,3991
209,14,12,3989
210,14,11,3990
211,14,7,3988
212,60,9,3087
213,60,12,3085
214,60,11,3086
215,60,7,3084
216,18,9,3029
217,18,12,3027
218,18,11,3028
219,18,7,3026
220,24,9,2775
221,24,12,2773
222,24,11,2774
223,24,7,2772
224,26,9,507
225,26,12,505
226,26,11,506
227,26,7,504
228,49,9,3242
229,49,12,3240
230,49,11,3241
231,49,7,3239
232,55,9,245
233,55,12,246
234,55,11,247
235,55,7,248
236,35,9,419
237,35,12,417
238,35,11,418
239,35,7,416
240,46,9,2064
241,46,12,2062
242,46,11,2063
243,46,7,2061
