"rownum","WorldAreasKey","Connections"
0,841,"[1,0]"
1,843,"[2,0,8]"
2,844,"[9,0]"
3,845,[10]
4,846,[11]
5,847,[12]
6,849,[13]
7,850,"[14,0]"
8,851,"[15,0]"
9,852,"[16,0]"
10,853,"[17,0,3]"
11,855,"[18,0]"
12,856,"[19,0]"
13,857,"[20,0]"
14,858,"[21,0]"
15,859,"[22,0]"
16,860,"[23,0,86,0]"
17,862,"[24,0,10]"
18,864,"[25,0]"
19,865,"[26,0]"
20,866,"[27,0]"
21,867,"[28,0]"
22,868,"[29,0,15]"
23,870,"[30,0]"
24,871,"[31,0]"
25,872,"[32,0]"
26,873,"[33,0]"
27,875,"[28,0]"
28,876,"[34,0,21]"
29,878,"[35,0]"
30,879,"[36,0]"
31,880,"[37,0]"
32,881,"[38,0]"
33,882,"[39,0]"
34,883,"[40,0,28]"
35,885,"[41,0]"
36,886,"[42,0,30]"
37,888,"[43,0]"
38,889,"[44,0]"
39,891,"[40,0,33]"
40,893,"[45,0,34,0]"
41,895,"[46,0,63]"
42,896,"[47,0]"
43,897,"[48,0,69]"
44,898,"[49,0]"
45,899,"[50,0]"
46,900,"[51,0]"
47,901,"[52,0]"
48,902,"[53,0]"
49,903,"[54,0]"
50,904,"[55,0]"
51,905,"[56,0]"
52,906,"[57,0]"
53,907,"[58,0]"
54,908,"[55,0]"
55,909,"[59,0,50]"
56,911,"[57,0,60]"
57,912,"[61,0,52]"
58,913,"[62,0]"
59,916,"[63,0]"
60,917,"[64,0]"
61,918,"[65,0]"
62,919,"[66,0]"
63,920,"[67,0,41]"
64,921,"[68,0]"
65,922,"[69,0]"
66,923,"[70,0]"
67,924,"[71,0]"
68,925,"[72,0]"
69,927,"[73,0,43]"
70,928,"[71,0]"
71,929,"[75,0,67]"
72,930,"[76,0]"
73,932,"[77,0]"
74,933,[75]
75,935,"[71,0]"
76,936,[72]
77,937,[73]
78,854,[10]
79,861,[16]
80,863,[17]
81,869,[22]
82,884,[34]
83,887,[36]
84,892,[39]
85,894,[40]
86,761,"[87,0]"
87,762,[86]
