"rownum","Monster","rid_16","rid_32","rid_48","rid_64","i32_80","i32_84","i32_88","i32_92"
0,9019,"",43,"",73,-1,0,0,0
1,6378,"",22,"",13,-1,0,5000,0
2,6379,"",22,"",13,-1,0,5000,0
3,8232,"",45,"","",0,0,1500,2500
4,8234,"",45,"","",0,0,1500,2500
5,8258,"",10,"","",0,0,1450,2500
6,8260,"",10,"","",0,0,1450,2500
7,8284,"",32,"","",0,0,2250,2500
8,8286,"",32,"","",0,0,2250,2500
9,8314,"",22,"","",0,0,1750,2500
10,8316,"",22,"","",0,0,1750,2500
11,9597,"","","","",0,0,0,3000
12,9587,"",24,"","",0,0,2000,1500
13,9584,"",33,"","",0,0,2720,1700
14,9589,"",22,"",34,-1,0,2850,2000
15,9021,"",73,"","",0,0,-1,0
16,9240,"","","",22,5000,0,0,0
17,6714,"","","",64,-1,0,0,400
18,150,"","","","",0,0,0,480
19,1421,"","","","",0,0,0,3000
20,1678,"","","","",0,0,0,2000
21,5756,"",32,"",51,0,0,1750,14000
