"rownum","BaseItemTypesKey","bool_16","[rid]_17"
0,17,"",[]
1,0,"",[]
2,2,"",[]
3,11,"",[]
4,18,"",[]
5,32,"",[]
6,33,"",[]
7,34,"",[]
8,35,"",[]
9,234,"",[]
10,235,"",[]
11,236,"",[]
12,237,"",[]
13,238,"",[]
14,239,"",[]
15,240,"",[]
16,241,"",[]
17,242,"",[]
18,243,"",[]
19,12,"",[]
20,13,"",[]
21,8,"",[]
22,9,"",[]
23,26,"",[]
24,27,"",[]
25,10,"",[]
26,14,"",[]
27,30,"",[]
28,46,"",[]
29,20,"",[]
30,28,"",[]
31,1151,1,[]
32,227,"",[]
33,1114,1,[]
34,1115,1,[]
35,1116,1,[]
36,1117,1,[]
37,1118,1,[]
38,1119,1,[]
39,1121,1,[]
40,1120,1,[]
41,223,1,[]
42,224,1,[]
43,220,1,[]
44,221,1,[]
45,222,1,[]
46,209,1,[]
47,210,1,[]
48,211,1,[]
49,212,1,[]
50,213,1,[]
51,5,"",[]
52,1650,1,[]
53,1651,1,[]
54,1652,1,[]
55,1156,"",[]
56,1157,"",[]
57,1158,1,[]
58,1159,1,[]
59,1160,1,[]
60,1161,1,[]
61,19,"",[]
62,39,"",[]
63,16,"",[]
64,228,"",[]
65,229,"",[]
66,1127,1,[]
67,1128,1,[]
68,1129,1,[]
69,1130,1,[]
70,1131,1,[]
71,1132,1,[]
72,1133,1,[]
73,1134,1,[]
74,1135,1,[]
75,1136,1,[]
76,1188,1,[]
77,1189,1,[]
78,1192,1,[]
79,1193,1,[]
