"rownum","FleshgraftLevel","GraftbloodStorage"
0,1,8
1,2,8
2,3,8
3,4,8
4,5,9
5,6,9
6,7,10
7,8,11
8,9,11
9,10,14
10,11,14
11,12,16
12,13,19
13,14,21
14,15,21
15,16,22
16,17,22
17,18,25
18,19,25
19,20,25
20,21,27
21,22,27
22,23,28
23,24,32
24,25,32
25,26,35
26,27,36
27,28,36
28,29,36
29,30,36
30,31,37
31,32,45
32,33,45
33,34,45
34,35,46
35,36,46
36,37,49
37,38,49
38,39,49
39,40,59
40,41,59
41,42,63
42,43,63
43,44,76
44,45,85
45,46,88
46,47,88
47,48,88
48,49,93
49,50,93
50,51,106
51,52,106
52,53,106
53,54,112
54,55,112
55,56,117
56,57,117
57,58,118
58,59,120
59,60,126
60,61,126
61,62,126
62,63,127
63,64,132
64,65,135
65,66,135
66,67,136
67,68,210
68,69,286
69,70,361
70,71,437
71,72,514
72,73,590
73,74,667
74,75,745
75,76,822
76,77,900
77,78,979
78,79,1058
79,80,1137
80,81,1217
81,82,1297
82,83,1377
83,84,1458
84,85,1558
85,86,1653
86,87,1746
87,88,1844
88,89,1949
89,90,2059
90,91,2176
91,92,2301
92,93,2432
93,94,2572
94,95,2718
95,96,2874
96,97,3038
97,98,3211
98,99,3394
99,100,3588
