"rownum","Id","Tier","Mod","NodeSpawnLocation","Tags","Icon","Type","Achievements"
0,"AddedPhysicalHighReducedAttackSpeed",1,33384,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
1,"AddedPhysicalHighReducedAttackSpeed",2,33385,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
2,"AddedPhysicalHighReducedAttackSpeed",3,33386,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
3,"AddedPhysicalHighReducedAttackSpeed",4,33387,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
4,"AddedPhysicalHighReducedAttackSpeed",5,33388,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
5,"AddedPhysical2hHighReducedAttackSpeed",1,33389,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
6,"AddedPhysical2hHighReducedAttackSpeed",2,33390,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
7,"AddedPhysical2hHighReducedAttackSpeed",3,33391,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
8,"AddedPhysical2hHighReducedAttackSpeed",4,33392,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
9,"AddedPhysical2hHighReducedAttackSpeed",5,33393,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
10,"AddedPhysical",1,33394,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
11,"AddedPhysical",2,33395,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
12,"AddedPhysical",3,33396,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
13,"AddedPhysical",4,33397,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
14,"AddedPhysical",5,33398,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
15,"AddedPhysical2h",1,33399,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
16,"AddedPhysical2h",2,33400,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
17,"AddedPhysical2h",3,33401,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
18,"AddedPhysical2h",4,33402,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
19,"AddedPhysical2h",5,33403,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
20,"AddedPhysicalLowFireConvert",1,33404,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
21,"AddedPhysicalLowFireConvert",2,33405,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
22,"AddedPhysicalLowFireConvert",3,33406,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
23,"AddedPhysicalLowFireConvert",4,33407,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
24,"AddedPhysicalLowFireConvert",5,33408,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
25,"AddedPhysical2hLowFireConvert",1,33409,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
26,"AddedPhysical2hLowFireConvert",2,33410,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
27,"AddedPhysical2hLowFireConvert",3,33411,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
28,"AddedPhysical2hLowFireConvert",4,33412,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
29,"AddedPhysical2hLowFireConvert",5,33413,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
30,"AddedPhysicalLowColdConvert",1,33414,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
31,"AddedPhysicalLowColdConvert",2,33415,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
32,"AddedPhysicalLowColdConvert",3,33416,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
33,"AddedPhysicalLowColdConvert",4,33417,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
34,"AddedPhysicalLowColdConvert",5,33418,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
35,"AddedPhysical2hLowColdConvert",1,33419,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
36,"AddedPhysical2hLowColdConvert",2,33420,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
37,"AddedPhysical2hLowColdConvert",3,33421,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
38,"AddedPhysical2hLowColdConvert",4,33422,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
39,"AddedPhysical2hLowColdConvert",5,33423,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
40,"AddedPhysicalLowLightningConvert",1,33424,[1],"[2,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
41,"AddedPhysicalLowLightningConvert",2,33425,[1],"[2,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
