"rownum","i32_0","string_4","rid_12"
0,1,"Metadata/Terrain/Doodads/Encampment/rhoahunted_v01_01.ao",4
1,2,"Metadata/Terrain/Beach/Town_v2/v2_hutdoodads01.ao",4
2,3,"Metadata/Terrain/Doodads/Encampment/notice_board_pvp_v01_01.ao",4
3,4,"Metadata/Terrain/Beach/Town_v2/v2_noticeboard.ao",4
4,5,"Metadata/Terrain/Doodads/Encampment/crate_v01_01.ao",4
5,6,"Metadata/Terrain/Doodads/Encampment/barrels_v01_03.ao",4
6,7,"Metadata/Terrain/Doodads/Encampment/barrels_v01_05.ao",4
7,9,"Metadata/Terrain/Doodads/Beach/beach_sheet_02.ao",4
8,10,"Metadata/Terrain/Beach/Town_v2/v2_letterpoles.ao",4
9,11,"Metadata/Terrain/Doodads/GibsBodyParts/mutilated_body_v01_11.ao",4
10,12,"Metadata/Terrain/Doodads/Beach/dead_seagull_v01_01.ao",4
11,13,"Metadata/Terrain/Doodads/GibsBodyParts/mutilated_body_v01_14.ao",4
12,14,"Metadata/Terrain/Doodads/GibsBodyParts/mutilated_body_v01_12.ao",4
13,15,"Metadata/NPC/Act1/Wounded2.ao",4
14,16,"Metadata/NPC/Act1/WoundedFemale.ao",4
15,17,"Metadata/NPC/Act1/Wounded3.ao",4
16,18,"Metadata/Terrain/Doodads/Encampment/barrels_v01_01.ao",21
17,19,"Metadata/Terrain/Doodads/Encampment/palisade_v01_02.ao",21
18,20,"Metadata/Terrain/Doodads/Forest/bush_v01_01.ao",21
19,21,"Metadata/Terrain/Doodads/Forest/Trees/Tree08.ao",21
20,22,"Metadata/Terrain/Doodads/Forest/mushrooms_mix_v01_01.ao",21
21,23,"Metadata/Terrain/Doodads/Forest/Flowers/flowers_spread_v01_04.ao",21
22,24,"Metadata/Terrain/Doodads/Forest/Groundplants/fern_long_v01_02.ao",21
23,25,"Metadata/Terrain/Doodads/Forest/forest_inca_marker_02.ao",21
24,26,"Metadata/Terrain/Doodads/Forest/Trees/Tree01_v02.ao",21
25,27,"Metadata/Terrain/Doodads/Forest/bush_v01_02.ao",21
26,28,"Metadata/Terrain/Doodads/Forest/Trees/Tree07_v02.ao",21
27,29,"Metadata/Terrain/Doodads/Encampment/notice_board_pvp_v01_01.ao",21
28,30,"Metadata/Terrain/Doodads/Forest/Flowers/flower_v01_01.ao",21
29,31,"Metadata/Terrain/Doodads/Encampment/crate_v01_01.ao",21
30,32,"Metadata/Terrain/Doodads/Encampment/barricade_v02_01.ao",21
31,33,"Metadata/Terrain/Doodads/Encampment/sittinglog_v01_03.ao",21
32,34,"Metadata/Terrain/Doodads/Encampment/fishstand_v01_01.ao",21
33,35,"Metadata/Terrain/Doodads/Encampment/barricade_v03_01.ao",21
34,36,"Metadata/Terrain/Doodads/Encampment/palisade_v01_03.ao",21
35,37,"Metadata/Terrain/RuinedCity/Special/Town/Act3_town_01_01_noticeboard.ao",21
36,38,"Metadata/Terrain/Doodads/SarnTown/act3town_supplies.ao",41
37,39,"Metadata/NPC/Act3/Wounded2.ao",41
38,40,"Metadata/Terrain/Doodads/Act8/NonToxic/nontoxic_lilly_4.ao",41
39,41,"Metadata/NPC/Act3/Wounded3_1.ao",41
40,42,"Metadata/NPC/Act3/Wounded1.ao",41
41,43,"Metadata/Terrain/Doodads/Act8/NonToxic/nontoxic_lilly_2.ao",41
42,44,"Metadata/NPC/Act3/Wounded4_1.ao",41
43,45,"Metadata/NPC/Act3/Wounded_fishing.ao",41
44,46,"Metadata/Terrain/Doodads/Encampment/notice_board_pvp_v01_01.ao",41
45,47,"Metadata/Terrain/RuinedCity/Special/Town/Act3_town_01_01_animated_firepit05.ao",41
46,48,"Metadata/Terrain/RuinedCity/Special/Town/Act3_town_01_01_animated_raft.ao",41
47,49,"Metadata/Terrain/Doodads/Act8/NonToxic/nontoxic_lilly_3.ao",41
48,50,"Metadata/Terrain/Doodads/Act8/NonToxic/nontoxic_lilly_1.ao",41
49,51,"Metadata/Terrain/Doodads/Act8/NonToxic/nontoxic_lilly_6.ao",41
50,52,"Metadata/Terrain/Doodads/Encampment/chest_v01_01.ao",41
51,53,"Metadata/Terrain/Doodads/Encampment/guildstash_v01_01.ao",41
52,54,"Metadata/Terrain/Doodads/Encampment/chest_v01_01.ao",4
53,55,"Metadata/Terrain/Doodads/Encampment/guildstash_v01_01.ao",4
54,56,"Metadata/Terrain/Doodads/Encampment/chest_v01_01.ao",21
55,57,"Metadata/Terrain/Doodads/Encampment/guildstash_v01_01.ao",21
56,58,"Metadata/Terrain/Doodads/RuinedCity/DeadOriathSoldiers/dead_blackguard_v01_03.ao",60
57,59,"Metadata/Terrain/Doodads/Encampment/chest_v01_01.ao",60
58,60,"Metadata/Terrain/Doodads/Encampment/guildstash_v01_01.ao",60
59,61,"Metadata/Terrain/RuinedCity/Special/Town/Act3_town_01_01_noticeboard.ao",60
60,62,"Metadata/Terrain/Mountain/Special/Town/mountian_town_v01_01_candle1.ao",60
61,63,"Metadata/Terrain/Doodads/Act4/Town/Oyun_WhiteTigerPet_IdleRelaxed2.ao",60
62,64,"Metadata/Critters/Lemur/Lemur.ao",60
63,66,"Metadata/NPC/Act4/MarakethBird.ao",60
64,67,"Metadata/NPC/Act4/forkman.ao",60
65,68,"Metadata/NPC/Act4/MarakethWoman3.ao",60
66,69,"Metadata/Terrain/Mountain/Special/Town/mountian_town_v01_01_bamboo03.ao",60
67,70,"Metadata/Terrain/Mountain/Special/Town/mountian_town_v01_01_bamboo04.ao",60
68,71,"Metadata/Terrain/Doodads/Act4/Town/minecarts.ao",60
69,72,"Metadata/Terrain/Mountain/Special/Town/mountian_town_v01_01_stall03.ao",60
70,73,"Metadata/Terrain/Mountain/Special/Town/mountian_town_v01_01_stall02.ao",60
71,74,"Metadata/Terrain/Doodads/Encampment/notice_board_pvp_v01_01.ao",60
72,75,"Metadata/Terrain/Mountain/Special/Town/mountian_town_v01_01_stall04.ao",60
73,76,"Metadata/Terrain/Mountain/Special/Town/mountian_town_v01_01_stall01.ao",60
74,77,"Metadata/Terrain/Doodads/RuinedCity/Marble/marble_slabs_v02_02.ao",60
75,78,"Metadata/Terrain/Doodads/RuinedCity/Marble/marble_gibs_v01_012.ao",60
76,79,"Metadata/Terrain/Doodads/Act4/Town/largepillar_clipped.ao",60
77,80,"Metadata/Terrain/Doodads/RuinedCity/Marble/marble_slabs_v01_10.ao",60
78,81,"Metadata/Terrain/Doodads/RuinedCity/Marble/marble_slabs_v01_09.ao",60
79,82,"Metadata/Terrain/Doodads/RuinedCity/DeadOriathSoldiers/dead_blackguard_v01_08.ao",60
80,83,"Metadata/Terrain/Doodads/RuinedCity/DeadOriathSoldiers/dead_blackguard_v01_06.ao",60
81,84,"Metadata/Terrain/Doodads/Act4/Town/lanternhang.ao",60
82,86,"Metadata/Terrain/Doodads/Encampment/guildstash_v01_01.ao",75
83,87,"Metadata/Terrain/Doodads/Encampment/chest_v01_01.ao",75
84,88,"Metadata/Terrain/Doodads/Act5/Theopolis/SlaveDens/BlackSmith02.ao",75
85,89,"Metadata/Terrain/Doodads/Act5/Theopolis/SlaveDens/Blacksmith01.ao",75
86,90,"Metadata/Terrain/Doodads/Act5/Theopolis/SlaveDens/AnvilandHammer.ao",75
87,91,"Metadata/Terrain/Doodads/Church/church_dungeon_ruin_doodads_v01_03.ao",75
88,93,"Metadata/Terrain/Doodads/Act5/Theopolis/SlaveDens/TinPot.ao",75
89,94,"Metadata/Terrain/Doodads/Act5/Theopolis/SlaveDens/Table01.ao",75
90,95,"Metadata/Terrain/Doodads/Act5/Theopolis/SlaveDens/Basket02.ao",75
91,96,"Metadata/Terrain/Doodads/Act4/Town/weaponrack_4.ao",75
92,97,"Metadata/Terrain/Doodads/Act5/Theopolis/SlaveDens/WoundedSlave03_01.ao",75
93,98,"Metadata/Terrain/Doodads/Act5/Theopolis/SlaveDens/WoundedSlave02_02.ao",75
94,99,"Metadata/Terrain/Doodads/Act5/Theopolis/SlaveDens/baskets_v01.ao",75
95,100,"Metadata/Terrain/Doodads/Act5/Theopolis/SlaveDens/rugs_v02.ao",75
96,101,"Metadata/Terrain/Doodads/Act5/Theopolis/BurlapSack3.ao",75
97,102,"Metadata/Terrain/Doodads/Act5/Theopolis/Food/Bread_v02_01.ao",75
98,103,"Metadata/Terrain/Doodads/Act5/Theopolis/Food/Apple_v01_02.ao",75
99,104,"Metadata/Terrain/Doodads/Act4/Town/weaponrack_small_2.ao",75
100,105,"Metadata/Terrain/Doodads/Act5/Theopolis/SlaveDens/WoodenBucket.ao",75
101,106,"Metadata/Terrain/Doodads/Act5/Theopolis/BurlapSack1.ao",75
102,107,"Metadata/Terrain/Doodads/Act5/Theopolis/BurlapSack2.ao",75
103,108,"Metadata/Terrain/Doodads/Encampment/notice_board_pvp_v01_01.ao",75
104,109,"Metadata/Terrain/Doodads/Act5/Theopolis/Food/fruitBox_v01_07.ao",75
105,110,"Metadata/Terrain/Doodads/Act5/Theopolis/SlaveDens/Crate_v01_05.ao",75
106,111,"Metadata/Terrain/Doodads/Act5/Theopolis/SlaveDens/Basket01.ao",75
107,112,"Metadata/Terrain/Doodads/Act5/Theopolis/Food/fruitBox_v01_03.ao",75
108,113,"Metadata/Terrain/Doodads/Act4/Town/weaponrack_1.ao",75
109,114,"Metadata/Terrain/Doodads/Act5/Theopolis/SlaveDens/SlaveDead_ground_v01_04.ao",75
110,115,"Metadata/Terrain/Doodads/Act5/Theopolis/SlaveDens/rugs_v03.ao",75
111,116,"Metadata/Terrain/Doodads/Act5/Theopolis/Food/fruitBox_v01_05.ao",75
112,117,"Metadata/Terrain/Doodads/Act5/Theopolis/Food/Apple_v01_04.ao",75
113,118,"Metadata/Terrain/Doodads/Encampment/chest_v01_01.ao",85
114,119,"Metadata/Terrain/Doodads/Encampment/guildstash_v01_01.ao",85
