"rownum","string_0","i32_8","i32_12","i32_16","[rid]_20","[i32]_36","string_52","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","rid_60","i32_76","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_80","i32_84","u16_88"
0,"MultipleProjectilesLow",0,0,0,[173],[2],"Lesser Multiple Projectiles","Projectiles multiples mineurs","Kleinere Projektilaufteilung","投射物追加（小）","하위 다중 투사체","Projéteis Múltiplos Menor","Дополнительные снаряды","Proyectiles múltiples menores","Lesser Multiple Projectiles","低階多重投射物",0,8793878,9056022,8924950,6303510,6434582,8531734,8138518,9056022,8793878,6172438,0,65536,0
1,"MultipleProjectilesHigh",0,0,0,[173],[3],"Greater Multiple Projectiles","Projectiles multiples majeurs","Größere Projektilaufteilung","投射物追加（大）","상위 다중 투사체","Projéteis Múltiplos Maior","Много дополнительных снарядов","Proyectiles múltiples mayores","Greater Multiple Projectiles","高階多重投射物",0,24690955,25084171,24690955,19579147,19841291,24035595,24166667,25084171,24690955,19317003,0,196608,0
2,"CausticArrowSpecificChaosConvertHigh",0,0,0,[1102],[40],"Gilded Caustic Conversion","Conversion caustique dorée","Goldene Ätzende Umwandlung","金色のコースティック変換","도금된 부식성 전환","Conversão Cáustica Áurea","Позолоченный: Едкое превращение","Conversión cáustica dorada","Gilded Caustic Conversion","鍍金腐蝕轉換","",41982141,42506429,42113213,35166397,35166397,41195709,42244285,42506429,41982141,34117821,0,196608,0
3,"HolyMoltenStrikeSpecificLightningExposureHigh",0,0,0,[10712],[30],"Gilded Exposure on Hit","Exposition au Toucher dorée","Goldene Anfälligkeit bei Treffer","金色のヒット時曝露","도금된 명중 시 노출 유발","Exposição ao Atingir Áurea","Позолоченный: Восприимчивость при ударе","Exposición dorada al impactar","Gilded Exposure on Hit","鍍金擊中時曝曬","",41993781,42518069,42124853,35178037,35178037,41207349,42255925,42518069,41993781,34129461,0,196608,0
4,"MeleeSplashHigh",0,0,0,"[3838,1246,1248]","[35,1,-30]","Melee Splash","Dégâts de mêlée collatéraux","Nahkampf-Streuschaden","近接スプラッシュ","근접 범위 피해","Propagar Dano","Раскатистый удар","Golpe colateral","Melee Splash","近戰擴散","",67018452,70164180,69639892,57974484,58629844,66887380,70033108,68853460,67018452,56139476,0,196608,0
5,"LightningArrowSpecificAddedTargetsHigh",0,0,0,[788],[2],"Gilded Extra Targets","Cibles supplémentaires dorées","Goldene Extraziele","金色の追加対象","도금된 추가 대상","Alvos Adicionais Áureos","Позолоченный: Дополнительные цели","Objetivos dorados adicionales","Gilded Extra Targets","鍍金額外目標","",42001511,42525799,42132583,35185767,35185767,41215079,42263655,42525799,42001511,34137191,0,196608,0
6,"AdditionalChainsLow",0,0,0,[172],[1],"Lesser Chain","Ricochet mineur","Geringere Verkettung","連鎖（小）","하위 연쇄","Propagar Menor","Малая цепь","Encadenamiento menor","Lesser Chain","低階連鎖",1,86915053,91633645,90322925,75249645,76167149,87439341,91371501,90978285,86915053,73152493,0,65536,0
7,"AdditionalChainsMid",0,0,0,[172],[3],"Chain","Ricochet","Verkettung","連鎖","연쇄","Propagar","Цепь","Encadenamiento","Chain","連鎖",1,86931788,91650380,90339660,75266380,76183884,87456076,91388236,90995020,86931788,73169228,0,131072,0
8,"ShieldCrushSpecificAttackDamageFromShieldHigh",0,0,0,[11372],[3],"Gilded Shield Damage","Dégâts au Bouclier dorés","Goldener Schildschaden","金色の盾ダメージ","도금된 방패 피해","Dano de Escudo Áureo","Позолоченный: Урон щитом","Daño de escudo dorado","Gilded Shield Damage","鍍金盾牌傷害","",41973446,42497734,42104518,35157702,35157702,41187014,42235590,42497734,41973446,34109126,0,196608,0
9,"ConsecratedPathSpecificDamageGainHigh",0,0,0,[4723],[40],"Gilded Consecration","Consécration dorée","Goldene Weihung","金色の神聖","도금된 신성화","Consagração Áurea","Позолоченный: Освящение","Consagración dorada","Gilded Consecration","鍍金奉獻","",41953822,42478110,42084894,35138078,35138078,41167390,42215966,42478110,41953822,34089502,0,196608,0
10,"BladeFallSpecificAddedVolleysHigh",0,0,0,[7939],[2],"Gilded Volleys","Volées dorées","Goldene Salven","金色の斉射","도금된 사격 공세","Salva Áurea","Позолоченный: Залп","Salvas doradas","Gilded Volleys","鍍金齊射","",41944115,42468403,42075187,35128371,35128371,41157683,42206259,42468403,41944115,34079795,0,196608,0
11,"SpellCascadeLow",0,0,0,[6851],[1],"Lesser Spell Cascade","Cascade de sorts mineure","Geringere Zauberkaskade","スペルカスケード（小）","하위 연속 주문","Sequência Mágica Menor","Малый каскад чар","Cascada de hechizos menor","Lesser Spell Cascade","低階秘能爆發",2,129302112,135200352,133496416,111476320,112918112,129826400,134676064,135331424,129302112,108199520,0,65536,0
12,"SpellCascadeHigh",0,0,0,[6851],[2],"Spell Cascade","Cascade de sorts","Zauberkaskade","スペルカスケード","연속 주문","Sequência Mágica","Каскад чар","Cascada de hechizos","Spell Cascade","秘能爆發",2,129238743,135136983,133433047,111412951,112854743,129763031,134612695,135268055,129238743,108136151,0,196608,0
13,"FlickerStrikeSpecificConsumeAllImpalesHigh",0,0,0,[18311],[50],"Gilded Impale Extraction","Extraction d'empalement dorée","Goldene Aufspießungsextraktion","金色の串刺し抽出","도금된 꿰뚫기 추출","Extração de Empalamento Áurea","Позолоченный: Извлечение Проколов","Extracción de empalamientos dorados","Gilded Impale Extraction","鍍金穿刺提取","",41995423,42519711,42126495,35179679,35179679,41208991,42257567,42519711,41995423,34131103,0,196608,0
14,"ScourgeArrowAltSpecificPodCountHigh",0,0,0,[19474],[1],"Gilded Additional Pods","Bulbes supplémentaires dorés","Goldene zusätzliche Sporenkapseln","金色の追加胞子嚢","도금된 추가 주머니","Esporângios Adicionais Áureos","Позолоченный: Дополнительные стручки","Vainas adicionales doradas","Gilded Additional Pods","鍍金額外黴孢","",41963608,42487896,42094680,35147864,35147864,41177176,42225752,42487896,41963608,34099288,0,196608,0
15,"CycloneSpecificMoveSpeedHigh",0,0,0,[1230],[35],"Gilded Faster Cyclone","Cyclone accéléré doré","Goldener schnellerer Wirbelsturm","金色の高速サイクロン","도금된 회오리바람 속도 증가","Ciclone Acelerado Áureo","Позолоченный: Ускоренный вихрь","Ciclón más rápido dorado","Gilded Faster Cyclone","鍍金旋風斬加快","",41960218,42484506,42091290,35144474,35144474,41173786,42222362,42484506,41960218,34095898,0,196608,0
16,"HolyRelicSpecificRegenHigh",0,0,0,[10248],[1500],"Gilded Relic Recovery","Récupération des Reliques dorée","Goldene Relikt-Wiederherstellung","金色のレリック回復","도금된 유물 회복","Recuperação de Relíquia Áurea","Позолоченный: Восстановление от реликвии","Recuperación de reliquias doradas","Gilded Relic Recovery","鍍金聖物恢復","",41987278,42511566,42118350,35171534,35171534,41200846,42249422,42511566,41987278,34122958,0,196608,0
17,"BladestormSpecificAdditionalStormHigh",0,0,0,[9285],[1],"Gilded Maximum Storms","Tempêtes maximales dorées","Goldene maximale Stürme","金色の最大ストーム","도금된 최대 폭풍","Tempestades Máximas Áureas","Позолоченный: Максимум ураганов","Tormentas máximas doradas","Gilded Maximum Storms","鍍金風暴上限","",41953722,42478010,42084794,35137978,35137978,41167290,42215866,42478010,41953722,34089402,0,196608,0
18,"PerforateSpecificSpikesHigh",0,0,0,[9316],[2],"Gilded Maximum Spikes","Pieux maximaux dorés","Goldene maximale Stachel","金色の最大トゲ","도금된 가시 최대치","Espinhos Máximos Áureos","Позолоченный: Максимум шипов","Estacas máximas doradas","Gilded Maximum Spikes","鍍金尖刺上限","",41952500,42476788,42083572,35136756,35136756,41166068,42214644,42476788,41952500,34088180,0,196608,0
19,"SacredWispsHigh",0,0,0,[20115],[1],"Greater Sacred Wisps","Flammeroles sacrées majeures","Größere Heilige Irrlichter","聖なるウィスプ（大）","상위 신성한 도깨비불","Lúmens Sagrados Maiores","Много священных огоньков","Fuegos fatuos sagrados mayores","Greater Sacred Wisps","高階神聖妖精","",199275409,209761169,210023313,169128849,171881361,204387217,213693329,212120465,199275409,162968465,0,196608,0
20,"VigilantStrikeSpecificShareFortifyHigh",0,0,0,[5814],[8],"Gilded Fortification","Renforcement doré","Goldene Verstärkung","金色の堅牢化","도금된 방어 상승","Fortificação Áurea","Позолоченный: Укрепление","Fortificación dorada","Gilded Fortification","鍍金護體","",42003950,42528238,42135022,35188206,35188206,41217518,42266094,42528238,42003950,34139630,0,196608,0
21,"HeavyStrikeSpecificMoreMaxPhysHigh",0,0,0,[5676],[40],"Gilded Heft","Lourdeur dorée","Goldene Wucht","金色の重量","도금된 중량","Massa Áurea","Позолоченный: Тяжесть","Peso dorado","Gilded Heft","鍍金分量","",41946234,42470522,42077306,35130490,35130490,41159802,42208378,42470522,41946234,34081914,0,196608,0
22,"ForkHigh",0,0,0,[1113],[1],"Greater Fork","Scindement majeur","Größere Gabelung","分岐（大）","상위 갈래","Ramificar Maior","Большое разветвление","Bifurcación superior","Greater Fork","高階分岔","",226393396,237534516,237796660,192707892,195984692,231636276,243694900,240287028,226393396,186023220,0,196608,0
23,"BleedLow",0,0,0,"[3625,5344]","[20,20]","Lesser Chance to Bleed","Chances de Saignement mineures","Geringere Chance auf Bluten","出血付与（小）","하위 출혈 확률","Chance de Sangramento Menor","Малый шанс кровотечения","Probabilidad de sangrado menor","Lesser Chance to Bleed","低階流血機率",9,238069352,250259048,250127976,202417768,205825640,243967592,255501928,253011560,238069352,195602024,0,65536,0
24,"BleedMid",0,0,0,"[3625,5344]","[35,20]","Chance to Bleed","Chances de Saignement","Chance auf Bluten","出血付与","출혈 확률","Chance de Sangramento","Шанс кровотечения","Probabilidad de sangrado","Chance to Bleed","流血機率",9,238065700,250255396,250124324,202414116,205821988,243963940,255498276,253007908,238065700,195598372,0,131072,0
25,"BleedHigh",0,0,0,"[3625,5344]","[50,40]","Greater Chance to Bleed","Chances de Saignement majeures","Größere Chance auf Bluten","出血付与（大）","상위 출혈 확률","Chance de Sangramento Maior","Большой шанс кровотечения","Probabilidad de sangrado mayor","Greater Chance to Bleed","高階流血機率",9,238058191,250247887,250116815,202406607,205814479,243956431,255490767,253000399,238058191,195590863,0,196608,0
