"rownum","Id","AlternateTreeVersionsKey","SpawnWeight","StatsKeys","Stat1Min","Stat1Max","i32_52","i32_56","i32_60","i32_64","PassiveType","i32_84"
0,"vaal_small_fire_damage",1,100,[42],7,12,0,0,0,0,[3],0
1,"vaal_small_cold_damage",1,100,[49],7,12,0,0,0,0,[3],0
2,"vaal_small_lightning_damage",1,100,[56],7,12,0,0,0,0,[3],0
3,"vaal_small_physical_damage",1,100,[26],7,12,0,0,0,0,[3],0
4,"vaal_small_chaos_damage",1,100,[63],7,12,0,0,0,0,[3],0
5,"vaal_small_minion_damage",1,100,[490],8,13,0,0,0,0,[3],0
6,"vaal_small_attack_damage",1,100,[2654],7,12,0,0,0,0,[3],0
7,"vaal_small_spell_damage",1,100,[25],7,12,0,0,0,0,[3],0
8,"vaal_small_area_damage",1,100,[621],7,12,0,0,0,0,[3],0
9,"vaal_small_projectile_damage",1,100,[500],7,12,0,0,0,0,[3],0
10,"vaal_small_damage_over_time",1,100,[2020],7,12,0,0,0,0,[3],0
11,"vaal_small_area_of_effect",1,100,[436],4,7,0,0,0,0,[3],0
12,"vaal_small_projectile_speed",1,100,[177],7,12,0,0,0,0,[3],0
13,"vaal_small_critical_strike_chance",1,100,[556],7,14,0,0,0,0,[3],0
14,"vaal_small_critical_strike_multiplier",1,100,[95],6,10,0,0,0,0,[3],0
15,"vaal_small_attack_speed",1,100,[70],3,4,0,0,0,0,[3],0
16,"vaal_small_cast_speed",1,100,[218],2,3,0,0,0,0,[3],0
17,"vaal_small_movement_speed",1,100,[179],2,3,0,0,0,0,[3],0
18,"vaal_small_chance_to_ignite",1,100,[613],3,6,0,0,0,0,[3],0
19,"vaal_small_chance_to_freeze",1,100,[457],3,6,0,0,0,0,[3],0
20,"vaal_small_chance_to_shock",1,100,[661],3,6,0,0,0,0,[3],0
21,"vaal_small_duration",1,100,[217],4,7,0,0,0,0,[3],0
22,"vaal_small_life",1,100,[125],2,4,0,0,0,0,[3],0
23,"vaal_small_mana",1,100,[129],4,6,0,0,0,0,[3],0
24,"vaal_small_mana_regeneration",1,100,[131],12,17,0,0,0,0,[3],0
25,"vaal_small_armour",1,100,[117],7,12,0,0,0,0,[3],0
26,"vaal_small_evasion",1,100,[120],7,12,0,0,0,0,[3],0
27,"vaal_small_energy_shield",1,100,[135],3,5,0,0,0,0,[3],0
28,"vaal_small_attack_block",1,100,[1085],2,2,0,0,0,0,[3],0
29,"vaal_small_spell_block",1,100,[2136],2,2,0,0,0,0,[3],0
30,"vaal_small_attack_dodge",1,100,[622],3,3,0,0,0,0,[3],0
31,"vaal_small_spell_dodge",1,100,[14961],4,4,0,0,0,0,[3],0
32,"vaal_small_aura_effect",1,100,[3899],2,4,0,0,0,0,[3],0
33,"vaal_small_curse_effect",1,100,[1393],2,2,0,0,0,0,[3],0
34,"vaal_small_fire_resistance",1,100,[146],9,14,0,0,0,0,[3],0
35,"vaal_small_cold_resistance",1,100,[148],9,14,0,0,0,0,[3],0
36,"vaal_small_lightning_resistance",1,100,[150],9,14,0,0,0,0,[3],0
37,"vaal_small_chaos_resistance",1,100,[152],6,10,0,0,0,0,[3],0
38,"karui_attribute_strength",2,100,[575],2,2,0,0,0,0,[1],0
39,"karui_small_strength",2,100,[575],4,4,0,0,0,0,[2],0
40,"karui_notable_add_strength",2,100,[575],20,20,0,0,0,0,[3],0
41,"karui_notable_add_percent_strength",2,100,[2076],5,5,0,0,0,0,[3],0
42,"karui_notable_add_armour",2,100,[117],20,20,0,0,0,0,[3],0
43,"karui_notable_add_leech",2,100,[2745],40,40,0,0,0,0,[3],0
44,"karui_notable_add_double_damage",2,70,[5925],5,5,0,0,0,0,[3],0
45,"karui_notable_add_life",2,100,[125],4,4,0,0,0,0,[3],0
46,"karui_notable_add_fortify_effect",2,100,[15038],1,1,0,0,0,0,[3],0
47,"karui_notable_add_life_regen",2,100,[453],60,60,0,0,0,0,[3],0
