"rownum","QuestFlag","i32_16","StatsKeys","StatValues","QuestKey","i32_68","ClientStringsKey","i32_88","StatValuesHardmode","ClientStringHardmode","bool_124"
0,116,1,[],[],4,0,"",0,[],"",""
1,46,1,[],[],6,0,"",0,[],"",""
2,228,0,[],[],3,0,"",2,[],"",""
3,263,1,[],[],8,0,"",0,[],"",""
4,54,0,[179],[8],16,0,"",0,[8],"",""
5,56,0,[142],[15],17,0,"",0,[15],"",""
6,89,0,[124],[40],18,0,"",0,[40],"",""
7,103,1,[],[],10,0,"",2,[],"",""
8,122,1,[],[],15,0,"",0,[],"",""
9,459,1,[],[],23,0,"",2,[],"",""
10,217,1,[],[],30,0,"",0,[],"",""
11,793,1,[],[],39,0,"",2,[],"",""
12,1068,1,[],[],65,0,"",0,[],"",""
13,1093,1,[],[],69,0,"",2,[],"",""
14,1171,1,[],[],72,0,"",0,[],"",""
15,1189,1,[],[],75,0,"",0,[],"",""
16,1183,0,[],[],73,0,"",2,[],"",""
17,1196,1,[],[],76,0,"",0,[],"",""
18,1277,1,[],[],77,0,"",0,[],"",""
19,1383,1,[],[],85,0,"",0,[],"",""
20,1313,1,[],[],82,0,"",2,[],"",""
21,1448,1,[],[],91,0,"",2,[],"",""
22,1435,1,[],[],89,0,"",0,[],"",""
23,1457,1,[],[],92,0,"",0,[],"",""
24,1569,1,[],[],97,0,"",0,[],"",""
25,1561,1,[],[],94,0,"",0,[],"",""
26,1619,0,[],[],96,0,"",2,[],"",""
27,1668,0,[],[],101,0,"",2,[],"",""
28,1674,1,[],[],103,0,"",0,[],"",""
29,1660,2,[],[],100,0,"",0,[],"",""
30,654,2,[],[],"",0,"",0,[],"",1
31,655,2,[],[],"",0,"",0,[],"",1
32,656,2,[],[],"",0,"",0,[],"",1
33,657,2,[],[],"",0,"",0,[],"",1
34,899,0,[],[],"",2,"",0,[],"",""
35,992,0,[],[],"",2,"",0,[],"",""
36,993,0,[],[],"",2,"",0,[],"",""
37,900,0,[],[],"",2,"",0,[],"",""
38,1085,0,"[142,152]","[-30,-30]",68,0,2907,0,"[-30,-30]",2907,""
39,59,0,"[142,152]","[-30,-30]",100,0,2908,0,"[-30,-30]",2908,""
40,2347,3,[],[],"",0,"",0,[],"",1
41,2290,3,[],[],"",0,"",2,[],"",1
42,2291,3,[],[],"",0,"",3,[],"",1
43,2292,3,[],[],"",0,"",3,[],"",1
44,2293,3,"[142,152]","[-30,-30]","",0,2907,3,"[-30,-30]",2907,1
45,2294,3,[],[],"",0,"",3,[],"",1
46,2295,3,[],[],"",0,"",3,[],"",1
47,2296,3,"[142,152]","[-30,-30]","",0,2908,3,"[-30,-30]",2908,1
48,2603,3,[],[],"",0,"",0,[],"",1
49,2604,3,[],[],"",0,"",2,[],"",1
50,2605,3,[],[],"",0,"",3,[],"",1
51,2606,3,[],[],"",0,"",3,[],"",1
52,2607,3,"[142,152]","[-30,-30]","",0,2907,3,"[-30,-30]",2907,1
53,2608,3,[],[],"",0,"",3,[],"",1
54,2609,3,[],[],"",0,"",3,[],"",1
55,2610,3,"[142,152]","[-30,-30]","",0,2908,3,"[-30,-30]",2908,1
