"rownum","Mtx","i32_16","PowerChargeVisual","EnduranceChargeVisual","FrenzyChargeVisual"
0,3583,0,1787,1786,1788
1,3584,0,1815,1814,1816
2,3585,0,1818,1817,1819
3,6883,0,1985,1984,1986
4,6884,0,1995,1994,1996
5,4079,0,2006,2005,2007
6,6958,0,2210,2211,2212
7,6959,0,2226,2227,2228
8,6960,0,2229,2230,2231
9,4664,0,2206,2208,2207
10,7039,0,2232,2233,2234
11,7177,0,2289,2290,2291
12,7178,0,2292,2293,2294
13,7179,0,2295,2296,2297
14,7417,0,2341,2342,2343
15,7498,0,2372,2373,2374
16,7498,1,2366,2367,2368
17,7498,2,2369,2370,2371
18,7498,3,2372,2373,2374
19,7499,0,2375,2376,2377
20,7499,1,2378,2379,2380
21,7499,2,2375,2376,2377
22,7530,0,2389,2390,2391
23,7530,1,2392,2393,2394
24,7530,2,2389,2390,2391
25,7598,0,2405,2406,2407
26,7598,1,2408,2409,2410
27,7598,2,2405,2406,2407
