"rownum","Stat","Animation","Object","BuffVisual","EffectPack","i32_80","GroundEffect"
0,18335,[],[],[1960],[],3,[]
1,10081,[],[],[1145],[],3,[]
2,10080,[],[],[1144],[],3,[]
3,4194,[],[],[574],[],3,[]
4,4238,[],[],[576],[],3,[]
5,13495,[],[],[1469],[],3,[]
6,10929,[],[],[872],[],3,[]
7,17902,[2618],[],[],[],3,[]
8,18400,[],[],[],"[568,569]",3,[]
9,18468,[3651],[],[],[],3,[]
10,18680,[],[],[1983],[],3,[]
11,10454,[],[],[508],[],3,[]
12,18909,"[1759,1760,74]",[],[],[],3,[]
13,19195,[3651],[],[],[],3,[]
14,4204,[],[],[599],[],3,[]
15,19266,[7331],[],[],[],3,[]
16,19267,[7332],[],[],[],3,[]
17,19268,[7333],[],[],[],3,[]
18,18645,[],[],[],[589],1,[]
19,18970,[],[],[],[608],1,[]
20,19327,[],[],[2081],[],3,[]
21,19593,"[7459,7460,7461]","[1366,1367]",[],[648],3,[]
22,12352,[],[],[1368],[],3,[]
23,19400,[7393],[],[2071],[],3,[]
24,19315,[],[],[2064],[],3,[]
25,21715,[],[],[],[744],1,[]
26,22109,[],[],[1368],[],3,[]
27,22181,[],[],[306],[],3,[]
28,12227,[],[],[],[],3,[20]
