"rownum","Id","ClassNo","Character","CoordinateRect","RGBFlavourTextColour","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","OGGFile","PassiveTreeImage","i32_76","i32_80","BackgroundImage","LeagueName","LeagueName (French)","LeagueName (German)","LeagueName (Japanese)","LeagueName (Korean)","LeagueName (Portuguese)","LeagueName (Russian)","LeagueName (Spanish)","LeagueName (Thai)","LeagueName (Traditional Chinese)","LeagueFlavourText","LeagueFlavourText (French)","LeagueFlavourText (German)","LeagueFlavourText (Japanese)","LeagueFlavourText (Korean)","LeagueFlavourText (Portuguese)","LeagueFlavourText (Russian)","LeagueFlavourText (Spanish)","LeagueFlavourText (Thai)","LeagueFlavourText (Traditional Chinese)","LeagueBackgroundImage","LeaguePassiveTreeImage","i32_124","i32_128","LeagueIcon"
0,"Juggernaut",1,0,"215,165,1063,436","175,90,50","Juggernaut","Colosse","Koloss","ジャガーノート","저거넛","Destruidor","Покоритель","Coloso","Juggernaut","勇士","     What divides the conqueror \r\n from the conquered? Perseverance.","     Une seule chose sépare le conquérant \r\ndu conquis : la persévérance.","   Was unterscheidet den Sieger\r\nvom Besiegten? Seine Beharrlichkeit.","征服する者とされる者を分けるもの。\r\nそれは忍耐だ。","정복자와 정복당한 자를 구분 짓는 것은 \r\n 무엇인가? 근성의 차이다.","      O que separa o conquistador\r\ndo conquistado? Perseverança.","    Победителя от \r\nпобеждённого отличает \r\nтолько упорство.","     ¿Qué distingue al conquistador\r\ndel conquistado? Perseverancia","<size:53>{         อะไรที่แบ่งแยกผู้พิชิตจากผู้ถูกพิชิตงั้นหรือ? \r\nความมุ่งมั่นไงล่ะ}","<size:51>{    統治者與被統治者間有什麼區別？\r\n毅力。}","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_01_Marauder_01_Juggernaught.ogg","Art/2DArt/BaseClassIllustrations/JuggernaughtAscendency.dds",-1736,-1550,"Art/2DArt/UIImages/InGame/Classes/Str/Juggernaut/PassiveSkillScreenBackground","Ancestral Commander","Commandant ancestral","Ahnenhäuptling","アンセストラルコマンダー","앤세스트럴 커맨더","Comandante Ancestral  ","Вождь предков","Comandante ancestral","Ancestral Commander","先祖指揮官","     Thus spoke Kahutoroa.","     Telles furent les paroles de Kahutoroa.","     So sprach Kahutoroa.","カフトロアはそう言った。","그렇게, 카후투로아는 말했다.","Assim falou Kahutoroa.  ","     Так говорил Кахутуруа.","     Así habló Kahutoroa.","<size:53>{         คาฮูทูรัวตรัสไว้}","……卡胡圖羅亞如是說。","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/Str.dds",0,0,"Art/2DArt/UIImages/Common/IconStrAscendancy1"
1,"Berserker",2,0,"760,345,976,429","175,90,50","Berserker","Berserker","Berserker","バーサーカー","버서커","Berserker","Берсерк","Berserker","Berserker","暴徒","The savage path is \r\nalways swift and sure.","<size:50>{La voie brutale reste \r\nla plus directe \net la plus sûre.}","Der Pfad des Wilden \r\nist immer rasant und\r\nbestimmt.","獰猛の道は常に\r\n迅速かつ確実である。\r\n","<size:55>{야만의 길은 언제나\r\n신속하고 흔들림\n없는 법.}","<size:50>{O caminho selvagem é\r\nsempre rápido e seguro.}","Дикари всегда \r\nдействуют быстро \r\nи прямолинейно.","<size:45>{El camino salvaje siempre\r\nes rápido y seguro.}","<size:55>{ทางของความป่าเถื่อน\r\nย่อมว่องไวและแน่นอน}","<size:55>{通往殘暴的道路\r\n總是快速且\n無法回頭。}","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_01_Marauder_02_Berserker.ogg","Art/2DArt/BaseClassIllustrations/BeserkerAscendency.dds",-1736,-1550,"Art/2DArt/UIImages/InGame/Classes/Str/Berserker/PassiveSkillScreenBackground","Behemoth","Béhémoth","Behemoth","ベヒモス","베히모스","Colosso","Громила","Behemot","Behemoth","巨獸","Ramping does not\r\nmean to run\r\naway in fear.","Accroître sa puissance,\r\nce n'est pas\r\ns'enfuir en courant.","Stampfen bedeutet nicht,\r\ndass man\r\nvor Angst wegläuft.","向上とは恐れて逃げることではない。","광란이란\r\n겁에 질려\r\n도망치는 것이 아니다.","Escalar não significa  \r\nfugir com medo.  ","Отступать \r\nне значит \r\nбежать в страхе.","Aumentar la intensidad\r\nno significa \r\nhuir despavorido.","<size:55>{การอาละวาด\r\nหาใช่การวิ่งหัวซุกหัวซุน}","恫嚇指的\r\n不是心懷\r\n恐懼逃跑。","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/Str.dds",0,0,"Art/2DArt/UIImages/Common/IconStrAscendancy2"
2,"Chieftain",3,0,"185,245,1076,449","175,90,50","Chieftain","Chef tribal","Stammesführer","チーフテン","치프틴","Chefe Guerreiro","Вождь","Jefe de guerra","Chieftain","酋長","   The Ancestors speak \r\nthrough your clenched fists.","  Les Ancêtres parlent \r\nà travers vos poings.","     Die Ahnen sprechen \r\ndurch Eure geballten Fäuste.","先祖達は握った拳を通して\r\n語りかけてくる。","선조들께서 그대의 떨리는 \r\n주먹을 통해 말하고 \r\n있지 않은가.","Os Ancestrais falam\r\natravés dos seus punhos cerrados.","Предки говорят через \r\nтвои сжатые кулаки.","   Los ancestros hablan \r\na través de tus\npuños cerrados.","<size:60>{   บรรพบุรุษเอ่ย\r\nผ่านหมัดที่กำแน่นของเจ้า}","祖靈透過\r\n你緊握的雙拳發言。","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_01_Marauder_03_Chieftain.ogg","Art/2DArt/BaseClassIllustrations/ChieftainAscendency.dds",-1786,-1350,"Art/2DArt/UIImages/InGame/Classes/Str/Chieftain/PassiveSkillScreenBackground","Antiquarian","Antiquaire","Antiquar","アンティクエリアン","앤티쿼리언","Antiquário  ","Антиквар","Anticuario","Antiquarian","古文物家","   History must be preserved \r\nnot just of our ancestors.","   L'histoire doit être préservée,\r\nmais pas seulement celle de nos ancêtres.","   Die Geschichte muss bewahrt werden,\r\nnicht nur die unserer Vorfahren.","歴史に残すべきは先祖たちだけではない。","선조들의 역사 말고도\r\n역사는 보존되어야 한다."," A história deve ser preservada,  \r\nnão apenas a de nossos ancestrais.  ","  Необходимо сохранять \r\nисторию не только наших предков.","   Toda la historia debe preservarse, \r\nno solo la de nuestros ancestros.","<size:60>{   ประวัติศาสตร์ต้องรักษาไว้\r\nหาใช่เพียงประวัติศาสตร์บรรพชนเราเท่านั้น}","……歷史必須有人來守護，\r\n不只是我們祖先的歷史。","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/Str.dds",0,0,"Art/2DArt/UIImages/Common/IconStrAscendancy3"
3,"Raider",1,3,"365,965,900,1250","124,179,118","Warden","Sentinelle","Bewahrerin","ウォーデン","워든","Protetora","Хранитель","Guardabosques","Warden","守林人","A sacred duty. An ancestral promise.\r\nDeliver the fury of the wilds and\r\ntear evil asunder.","Un devoir sacré. Une promesse ancestrale.\r\nDéchaînez la fureur de la nature et\r\nmettez le mal en pièces.","Eine heilige Pflicht. Ein uraltes Versprechen.\r\nEntfesselt die Gewalt der Wildnis und\r\nreißt das Böse in Stücke.","神聖な義務。古の誓い。\r\n自然の怒りの代行者となり\r\n邪悪を引き裂け。","성스러운 의무. 선대의 약속.\r\n야생의 분노를 내뿜어\r\n악을 산산조각 내라.","Um dever sagrado. Uma promessa ancestral. Parta o mal ao meio com a fúria selvagem.","Священный долг. Обещание предков.\r\nНеси ярость диких лесов и\r\nрви зло на части.","Un deber sagrado. Una promesa ancestral.\r\nDesata la furia de la naturaleza y\r\naniquila el mal.","<size:60>{หน้าที่ศักดิ์สิทธิ์ สัญญาแห่งบรรพชน \r\nนำโทสะแห่งสายลมไปฉีกทึ้ง\r\nความชั่วช้าให้สิ้นซาก}","神聖的職責。先祖的承諾。\r\n釋放野性的憤怒\r\n並將邪惡撕裂。","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_03_Ranger_01_Raider.ogg","Art/2DArt/BaseClassIllustrations/RaiderAscendency.dds",-1650,-2155,"Art/2DArt/UIImages/InGame/Classes/Dex/Raider/PassiveSkillScreenBackground","Wildspeaker","Sauvageonne","Wildsprecherin","ワイルドスピーカー","와일드스피커","Oradora Selvagem  ","Говорящая с духами","Portavoz salvaje","Wildspeaker","荒野語者","The First Ones exist,\r\nI have seen them in the\r\nforest of the night.","Les Premiers existent,\r\nJe les ai vus dans la\r\nforêt de la nuit.","Die Ersten existieren,\r\nich habe sie in den\r\nWäldern der Nacht gesehen.","最初のものたちは存在する。私は夜の森で彼らを見たことがある。","최초의 존재들은 존재하노니,\r\n내가 밤의 숲에서\r\n그들을 보았노라.","Os Primeiros Seres existem,  \r\neu os vi na floresta da noite.  ","Первые существуют, \r\nя видела их \r\nв ночном лесу.","Los Primeros existen,\r\nlos he visto en\r\nel bosque de la noche.","<size:60>{ทวยเทพผู้บุกเบิกมีจริง\r\nข้ามองเห็นพวกท่าน\r\nในป่าเขายามค่ำคืน}","初始之靈猶存，\r\n我曾在夜晚的森林中\r\n親眼見過祂們。","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/Dex.dds",0,0,"Art/2DArt/UIImages/Common/IconDexAscendancy1"
4,"Deadeye",2,3,"335,1045,870,1330","124,179,118","Deadeye","Archère d'élite","Scharfschützin","デッドアイ","데드아이","Atiradora","Снайпер","Tiradora","Deadeye","銳眼","A woman can change the world \r\nwith a single well-placed arrow.","Une femme peut changer le monde\r\n     d'une seule flèche bien placée.","Eine Frau kann die Welt mit\r\neinem gezielten Schuss verändern.","一本の狙い澄ました矢で\r\n彼女は世界を変えることができる。","잘 조준한 화살 한 발이면 \r\n여성도 세상을 바꿀 수 있다.","Uma mulher pode mudar o mundo\r\ncom uma única flecha bem atirada.","Женщина может изменить мир \r\nодним метким выстрелом.","Una mujer puede cambiar el mundo\r\ncon una simple flecha certera.","ผู้หญิงคนหนึ่งสามารถเปลี่ยนโลก\r\nได้ด้วยศรแม่นยำเพียงดอกเดียว","一支精準的箭矢，\r\n即可改變世界的女人。","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_03_Ranger_02_Deadeye.ogg","Art/2DArt/BaseClassIllustrations/DeadeyeAscendency.dds",-1250,-1955,"Art/2DArt/UIImages/InGame/Classes/Dex/Deadeye/PassiveSkillScreenBackground","Whisperer","Murmureuse","Flüsterin","ウィスパラー","위스퍼러","Sussurradora  ","Шепчущая","Susurradora","Whisperer","細語者","it all feels wrong\r\nno I don't belong here","Tout cela semble faux\r\nnon, je n'ai pas ma place ici.","Es fühlt sich alles falsch an.\r\nNein, ich gehöre nicht hierher.","おかしい\r\nわたしはここにいるべきではない","다 잘못됐어\r\n여기는 내가 있을 곳이 아냐","Está tudo errado,  \r\nnão, eu não pertenço a este lugar.  ","все это неправильно\r\nнет, мне здесь не место","siento que está todo mal\r\nno pertenezco aquí","ช่างผิดแผกแปลกประหลาดนัก\r\nข้าไม่ควรอยู่ที่นี่","這感覺完全不對\r\n不，我不屬於這裡","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/Dex.dds",0,0,"Art/2DArt/UIImages/Common/IconDexAscendancy2"
5,"Pathfinder",3,3,"265,975,900,1250","124,179,118","Pathfinder","Exploratrice","Pfadfinderin","パスファインダー","패스파인더","Desbravadora","Следопыт","Rastreadora","Pathfinder","追獵者","There are venoms and virtues aplenty in \r\n the wilds, if you know where to look.","La nature regorge de poisons et de baumes\r\n              pour qui sait où les trouver.","  Mit geübtem Blick entdeckt Ihr \r\n  eine Vielzahl an Giften und Kräutern\r\n  in der Wildnis.","どこを探せばいいかわかっていれば、\r\n自然は毒と薬で溢れている。","<size:55>{위치만 확실히 파악한다면,\r\n극약이나 이익이 되는\r\n   야생의 재료들은 즐비하다.}","Venenos e virtudes existem em abundância\r\n na natureza, se você souber onde procurar.","В глуши много опасных и желанных мест. \r\nНадо уметь обходить одни и \r\nнаходить другие.","Existen venenos y virtudes en abundancia\r\nen la naturaleza, si sabes dónde buscar.","<size:55>{ในป่ามีทั้งพิษร้ายและประโยชน์มากมาย\r\nหากเจ้ารู้ว่ามันอยู่หนใด}","荒野中充滿了惡毒與美善，\r\n只要你知道在何處尋找。","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_03_Ranger_03_Pathfinder.ogg","Art/2DArt/BaseClassIllustrations/PathfinderAscendency.dds",-1250,-1855,"Art/2DArt/UIImages/InGame/Classes/Dex/Pathfinder/PassiveSkillScreenBackground","Daughter of Oshabi","Fille d'Oshabi","Tochter von Oshabi","オシャービの娘","도터 오브 오샤비","Filha de Oshabi  ","Дочь Ошаби","Hija de Oshabi","Daughter of Oshabi","奧莎比之女","Once the Wildwood is purified\r\nnature will bloom again.","Une fois la Sylve purifiée,\r\nla nature fleurira à nouveau.","Sobald der Finsterwald gereinigt ist,\r\nwird die Natur wieder erblühen.","ワイルドウッドが浄化されれば再び自然は芽吹く。","야생림이 정화되면\r\n자연이 다시 피어나리라.","Uma vez que a Selva for purificada,  \r\na natureza florescerá novamente.  ","Как только Диколесье очистится, \r\nприрода снова расцветет.","Cuando purifiquemos el Bosque viridino\r\nla naturaleza volverá a florecer.","<size:55>{เมื่อป่าวิเศษกลับมาบริสุทธิ์ไซร้\r\nธรรมชาติจักเบ่งบาน}","待到荒林完成淨化之時，\r\n自然必將再度繁衍盛放。","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/Dex.dds",0,0,"Art/2DArt/UIImages/Common/IconDexAscendancy3"
6,"Occultist",1,1,"665,385,906,389","154,195,201","Occultist","Occultiste","Okkultistin","オカルティスト","오컬티스트","Ocultista","Оккультист","Ocultista","Occultist","秘術家"," Throw off the chains\r\nof fear and embrace that\r\n which was forbidden.","   Libérez-vous des \r\nchaînes de la peur pour \r\n  étreindre l'interdit.","<size:45>{Löst Euch von den Ketten \r\nEurer Angst und gebt Euch \r\ndem Verbotenen hin.}","恐怖の鎖を解き放ち、\r\n禁じられしものを受け入れよ。","두려움의 사슬을\r\n벗어던지고 금기시되는\r\n것들을 끌어안으라.","Jogue fora as correntes\r\ndo medo e abrace aquilo\r\nque era proibido.","Если сбросить оковы \r\nстраха, можно вкусить \r\nзапретный плод.","<size:43>{  Deshazte de las cadenas \r\ndel miedo y abraza aquello que\r\nestaba prohibido.}","<size:58>{ทิ้งโซ่ตรวนแห่งความกลัวแล้ว\r\nน้อมรับสิ่งต้องห้าม}","拋開恐懼的枷鎖，\r\n擁抱禁忌的秘術。","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_05_Witch_01_Occultist.ogg","Art/2DArt/BaseClassIllustrations/OccultistAscendency.dds",-2090,-701,"Art/2DArt/UIImages/InGame/Classes/Int/Occultist/PassiveSkillScreenBackground","Harbinger","Précurseur","Vorbotin","ハービンジャー","하빈저","Emissária","Предвестник","Heraldo","Harbinger","神諭","<<HBGAh>><<HBG01>><<HBGAe>><<HBG00>><<HBGAi>>\r\n<<HBGAa>><<HBG02>><<HBGAj>><<HBGAk>>","<<HBGAh>><<HBG01>><<HBGAe>><<HBG00>><<HBGAi>>\r\n<<HBGAa>><<HBG02>><<HBGAj>><<HBGAk>>","<<HBGAh>><<HBG01>><<HBGAe>><<HBG00>><<HBGAi>>\r\n<<HBGAa>><<HBG02>><<HBGAj>><<HBGAk>>","<<HBGAh>><<HBG01>><<HBGAe>><<HBG00>><<HBGAi>>\r\n<<HBGAa>><<HBG02>><<HBGAj>><<HBGAk>>","<<HBGAh>><<HBG01>><<HBGAe>><<HBG00>><<HBGAi>>\r\n<<HBGAa>><<HBG02>><<HBGAj>><<HBGAk>>","<<HBGAh>><<HBG01>><<HBGAe>><<HBG00>><<HBGAi>>\r\n<<HBGAa>><<HBG02>><<HBGAj>><<HBGAk>>","<<HBGAh>><<HBG01>><<HBGAe>><<HBG00>><<HBGAi>>\r\n<<HBGAa>><<HBG02>><<HBGAj>><<HBGAk>>","<<HBGAh>><<HBG01>><<HBGAe>><<HBG00>><<HBGAi>>\r\n<<HBGAa>><<HBG02>><<HBGAj>><<HBGAk>>","<<HBGAh>><<HBG01>><<HBGAe>><<HBG00>><<HBGAi>>\r\n<<HBGAa>><<HBG02>><<HBGAj>><<HBGAk>>","<<HBGAh>><<HBG01>><<HBGAe>><<HBG00>><<HBGAi>>\r\n<<HBGAa>><<HBG02>><<HBGAj>><<HBGAk>>","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/Int.dds",0,0,"Art/2DArt/UIImages/Common/IconIntAscendancy1"
7,"Elementalist",2,1,"125,475,510,768","154,195,201","Elementalist","Élémentaliste","Elementaristin","エレメンタリスト","엘리멘탈리스트","Elementalista","Маг стихий","Elementalista","Elementalist","元素使","Feed a storm with savage intent \r\nand not even the strongest walls\r\nwill hold it back.","Nourrissez une tempête de vos plus \r\nfarouches desseins, et nul rempart \r\nne saura y résister.","Nährt den Sturm mit wilder Entschlossenheit \r\nund selbst die stärksten Gemäuer werden\r\nunter ihm nachgeben.","嵐に凶暴な意思を与えれば、\r\n最強の壁すら抑えることは出来ない。","포악한 의지로 폭풍을 일으켜라\r\n그 어떤 강력한 벽일지라도\r\n무너지리니.","Alimente a tempestade com intenções selvagens\r\ne nem mesmo as paredes mais fortes \r\nirão segurá-la.","Если сильный волей посеет ветер, \r\nбурю не сдержат и крепчайшие \r\nстены.","Alimenta una tormenta con propósito feroz\r\ny ni siquiera las paredes más fuertes\r\npodrán detenerla.","<size:55>{หล่อเลี้ยงพายุด้วยเจตนาอันโหดร้าย\r\nกระทั่งกำแพงอันแสนแกร่ง\r\nก็ไม่อาจต้านทาน}","將野蠻意向奉獻於風暴中，\r\n最堅固的高牆也將無法抵擋。","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_05_Witch_02_Elementalist.ogg","Art/2DArt/BaseClassIllustrations/ElementalistAscendency.dds",-2232,-669,"Art/2DArt/UIImages/InGame/Classes/Int/Elementalist/PassiveSkillScreenBackground","Herald","Héraut","Heroldin","ヘラルド","헤럴드","Arauto","Глашатай","Emisaria","Herald","命運之主","The end of all things is inevitable.\r\nIt is sooner than you think.","La fin de tout est inévitable.\r\nEt celle-ci approche.","Das Ende aller Dinge ist unausweichlich.\r\nEs ist schneller da, als man denkt.","万物の終焉は避け得ぬことだ。そして其方が考えているよりも近い。","만물의 종말은 불가피하며\r\n네 생각보다 이르다.","O fim de todas as coisas é inevitável.  \r\nEle está mais próximo do que você pensa.","Конец всего неизбежен. \r\nОн наступит раньше, чем ты думаешь.","El final de todas las cosas es inevitable.\r\nOcurrirá antes de lo que piensas.","<size:55>{จุดจบของสรรพสิ่งใกล้เข้ามา\r\nใกล้กว่าที่เจ้าคิด}","萬物的終結無法避免。\r\n那一刻比你想的還要近。","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/Int.dds",0,0,"Art/2DArt/UIImages/Common/IconIntAscendancy2"
8,"Necromancer",3,1,"720,303,1000,1000","154,195,201","Necromancer","Nécromancienne","Nekromantin","ネクロマンサー","네크로맨서","Necromante","Некромант","Nigromante","Necromancer","死靈師","Embrace the serene\r\npower that is undeath.","Embrassez la douce \r\npuissance de la non-vie.","Macht Euch die\r\ngrenzenlose Macht der\r\nUntoten zu Nutze.","不死という安らかな力を\r\n受け入れよ。","불사의 고요한 힘을\r\n포용하라.","Adote o sereno\r\npoder dos mortos.","Познай смиренную \r\nсилу посмертия.","<size:55>{Abraza el poder\nsereno de la no-muerte.}","<size:55>{น้อมรับพลังอันสงบนิ่ง\r\nที่ไม่มีวันตาย}","<size:48>{擁抱沉寂的不死之力。}","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_05_Witch_03_Necromancer.ogg","Art/2DArt/BaseClassIllustrations/NecromancerAscendency.dds",-2032,-469,"Art/2DArt/UIImages/InGame/Classes/Int/Necromancer/PassiveSkillScreenBackground","Bog Shaman","Chaman des marais","Sumpfschamanin","ボグシャーマン","보그 샤먼","Xamã do Pântano  ","Шаманка из трясин","Chamana de la ciénaga","Bog Shaman","泥沼薩滿","Ingesting poisons\r\nbuilds character.","Ingérer des poisons\r\nforge le caractère.","Die Einnahme von Gift\r\nstärkt den Charakter.","毒を飲むのは人格形成に良い。","독을 마시는 건\r\n인성 도야에 좋다.","Ingerir venenos  \r\nfortalece o caráter.","Употребление ядов \r\nзакаляет характер.","Ingerir venenos\r\nfortalece el carácter.","<size:55>{ยิ่งดื่มพิษ\r\nยิ่งฤทธิ์แกร่งกล้า}","吞食劇毒，\r\n造就非凡。","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/Int.dds",0,0,"Art/2DArt/UIImages/Common/IconIntAscendancy3"
9,"Slayer",1,4,"470,310,976,429","150,175,200","Slayer","Sanguinaire","Schlächter","スレイヤー","슬레이어","Executor","Рубака","Verdugo","Slayer","處刑者"," No judge. No jury.\r\nJust the executioner."," Ni juge, ni juré ;\r\nseulement le bourreau.","  Kein Gerichtsherr. \r\nKein Geschworener. \r\n      Lediglich der \r\n      Scharfrichter.","判事も陪審員もいない。\r\nいるのは処刑人だけだ。","법관도, 배심원도 없다.\r\n오직 처형자만 있을 뿐."," Sem juiz. Sem júri.\r\nApenas o executor.","Ни судьи, ни присяжных.\r\nТолько палач.","Ni juez. Ni jurado.\r\nSolamente el verdugo.","<size:55>{ไม่มีผู้พิพากษา\r\nไม่มีคณะลูกขุน \r\nมีเพียงแต่เพชฌฆาต}","<size:55>{沒有法官，沒有陪審團，\r\n只有劊子手。}","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_02_Duelist_01_Slayer.ogg","Art/2DArt/BaseClassIllustrations/SlayerAscendency.dds",-1959,-1432,"Art/2DArt/UIImages/InGame/Classes/StrDex/Slayer/PassiveSkillScreenBackground","Aristocrat","Aristocrate","Aristokrat","アリストクラット","아리스토크랫","Aristocrata  ","Аристократ","Aristócrata","Aristocrat","名士","Stop thinking that\r\nlife is fair.\r\nIt is not.","Arrêtez de penser que\r\nla vie est juste.\r\nElle ne l'est pas.","Hört auf zu glauben,\r\ndass das Leben fair sei.\r\nDas ist es nicht.","人生が公平だと考えるのをやめよ。公平ではない。","삶이 공평하다는\r\n생각은 그만두어라.\r\n삶은 공평하지 않다.","Pare de pensar que  \r\na vida é justa.  \r\nEla não é.","Перестань думать, \r\nчто жизнь справедлива. \r\nЭто не так","Deja de pensar que\r\nla vida es justa.\r\nNo lo es.","<size:55>{เลิกคิดเถิด\r\nว่าชีวิตมันยุติธรรม\r\nมันหาได้เป็นเช่นนั้นไม่}","別再認為\r\n眾生平等了。\r\n沒有這種事。","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/StrDex.dds",0,0,"Art/2DArt/UIImages/Common/IconStrDexAscendancy1"
