"rownum","BaseItemTypesKey","SpawnWeight","ModsKey","Tier","bool_40","bool_41","rid_42","rid_58","i32_74"
0,805,1818,10536,1,"","","","",3
1,806,1818,10537,1,"","","","",0
2,807,1818,10538,1,"","","","",0
3,808,1818,10540,1,"","","","",0
4,809,1818,10539,1,"","","","",0
5,810,1818,10541,1,"","","","",0
6,811,1818,10542,1,"","","","",0
7,812,1818,10543,1,"","","","",0
8,813,1,10561,1,"","","","",0
9,814,1818,10562,1,"","","","",0
10,815,1818,10563,1,"","","","",0
11,816,1818,10564,1,"","","","",0
12,829,2100,10565,2,"","","","",0
13,817,2100,12309,2,"","","","",0
14,818,2100,12305,2,"","","","",0
15,819,2100,12308,2,"","","","",0
16,820,2100,12310,2,"","","","",0
17,821,2100,12306,2,"","","","",0
18,822,350,12317,2,"","","","",0
19,823,350,12317,2,"","","","",0
20,824,350,12316,2,"","","","",0
21,825,350,12316,2,"","","","",0
22,826,350,12318,2,"","","","",0
23,827,350,12318,2,"","","","",0
24,828,2100,12314,2,"","","","",0
25,830,2400,12307,3,"","","","",0
26,831,2400,12315,3,"","","","",0
27,832,2400,12313,3,"","","","",0
28,833,2400,12319,3,"","","","",0
29,834,2400,12311,3,"","","","",0
30,835,800,12312,3,"","","","",0
31,836,800,12312,3,"","","","",0
32,837,800,12312,3,"","","","",0
33,838,2400,12304,3,"","","","",0
34,839,100,"",4,"","","","",0
