"rownum","Id","Slots","[i32]_12","Receptacle_DDSFile","[f32]_36","[f32]_52","MapKey","i32_84","string_88","bool_96","i32_97","i32_101","[i32]_105","i32_121"
0,"Map",4,"[6,7]","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapDeviceBacking","[0,-178,-89,0,89,178]","[238,84,84,84,84,84]","",1,"apBackingSpecial1x1","",196,0,"[5,235,517,160,186,77,163,155,172,378,184,58]",-53
1,"ShaperGuardian",4,"[6,7]","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapDeviceBacking","[0,-178,-89,0,89,178]","[238,84,84,84,84,84]",18,769,"apBackingSpecial1x1","",196,0,"[5,235,517,160,186,77,163,155,172,378,184,58]",-53
2,"VaalTemple",4,"[6,7]","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapDeviceBacking","[0,-178,-89,0,89,178]","[238,84,84,84,84,84]",17,769,"apBackingSpecial1x1","",196,0,"[5,235,517,160,186,77,163,155,172,378,184,58]",-53
3,"NightmareBoss",4,"[6,7]","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapDeviceBacking","[0,-178,-89,0,89,178]","[238,84,84,84,84,84]",19,769,"apBackingSpecial1x1","",196,0,"[5,235,517,160,186,77,163,155,172,378,184,58]",-53
4,"BlightedMap",4,"[6,7]","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapDeviceBacking","[0,-178,-89,0,89,178]","[238,84,84,84,84,84]","",513,"apBackingSpecial1x1","",196,0,"[5,235,517,160,186,77,163,155,172,378,184,58]",-53
5,"ReliquaryMap",1,[],"Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapBackingSpecial1x1",[1],[109],16,768,"apBackingSpecial1x1","",562,0,"[130,123,216,241]",0
6,"UniqueMap",1,[],"Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapBackingSpecial1x1",[1],[109],"",256,"apBackingSpecial1x1","",562,0,"[130,123,216,241]",0
7,"SingleItemRecipe",1,[],"Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapBackingSpecial1x1",[1],[109],"",1024,"apBackingSpecial1x1","",562,0,"[130,123,216,241]",0
8,"FourSlotRecipe",4,[],"Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapBackingSpecial4x1","[-49,-49,46,46]","[193,99,193,99]","",1024,"apBackingSpecial1x1","",838,0,"[124,131,224,322]",0
9,"FiveSlotRecipe",5,[],"Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapBackingSpecial5x1","[-96,101,101,-96,3]","[258,258,74,74,167]","",1024,"apBackingSpecial1x1","",1064,0,"[71,121,334,323]",0
10,"NoSlotRecipe",0,[],"Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapBackingSpecialNoSlot",[],[],"",1024,"apBackingSpecial1x1","",196,0,"[130,123,216,241]",-106
