"rownum","Monster","Spectre","[rid]_32"
0,1775,1776,[]
1,1777,1778,[]
2,1779,1780,[]
3,1781,1782,[]
4,1786,1787,[]
5,1788,1789,[]
6,1790,1791,[]
7,1850,1851,[]
8,1852,1853,[]
9,1854,1855,[]
10,1856,1857,[]
11,1858,1859,[]
12,1860,1861,[]
13,1862,1863,[]
14,1864,1865,[]
15,1866,1867,[]
16,4108,4110,[]
17,4111,4112,[]
18,4113,4114,[]
19,4115,4117,[]
20,1822,1823,[]
21,1824,1825,[]
22,1826,1827,[]
23,1910,1912,[]
24,1913,1915,[]
25,1916,1918,[]
26,313,314,[]
27,316,317,[]
28,318,319,[]
29,342,343,[]
30,344,345,[]
31,350,352,[]
32,353,354,[]
33,355,356,[]
34,363,364,[]
35,365,364,[]
36,366,364,[]
37,367,364,[]
38,983,985,[]
39,1724,1725,[]
40,1726,1728,[]
41,1729,1730,[]
42,1731,1732,[]
43,1733,1734,[]
44,1735,1736,[]
45,1737,1738,[]
46,1739,1740,[]
47,3286,3288,[]
48,3291,3293,[]
49,3304,3306,[]
50,3294,3299,[]
51,3298,3299,[]
52,3311,3312,[]
53,3307,3312,[]
54,6298,6300,[]
55,6305,6310,[]
56,6306,6310,[]
57,6311,6315,[]
58,6312,6315,[]
59,6316,6318,[]
60,6320,6321,[]
61,6322,6324,[]
62,6325,6327,[]
63,6329,6331,[]
64,6336,6338,[]
65,6340,6342,[]
66,7006,6310,[]
67,7008,6310,[]
68,7010,6310,[]
69,7012,6310,[]
70,7014,6310,[]
71,7007,6315,[]
72,7009,6315,[]
73,7011,6315,[]
74,7013,6315,[]
75,7015,6315,[]
76,7016,6318,[]
77,7017,6324,[]
78,7018,6342,[]
79,7020,6321,[]
80,7021,7022,[]
81,7024,7022,[]
82,7026,7027,[]
83,7028,7027,[]
84,7029,7030,[]
85,7031,7030,[]
86,7049,7050,[]
87,7054,7055,[]
88,7058,7055,[]
89,7056,7057,[]
90,7059,7057,[]
91,7060,7061,[]
92,7062,7061,[]
93,7066,7067,[]
94,7068,7067,[]
95,7071,7072,[]
96,7075,7072,[]
97,7073,7074,[]
98,7076,7074,[]
99,7081,7082,[]
100,7085,7082,[]
101,7083,7084,[]
102,7086,7084,[]
103,7090,7091,[]
104,7094,7091,[]
105,7092,7093,[]
106,7095,7093,[]
107,7097,7098,[]
108,7101,7098,[]
109,7103,7098,[]
110,7099,7100,[]
111,7102,7100,[]
112,7108,7100,[]
113,7104,7105,[]
114,7106,7107,[]
115,7109,692,[]
116,7110,4141,[]
117,7111,4154,[]
118,7112,4164,[]
119,7115,6084,[]
120,7116,6085,[]
121,7117,469,[]
122,7118,469,[]
123,7119,469,[]
124,7120,469,[]
125,7121,469,[]
126,7122,7126,[]
127,7123,7126,[]
128,7124,7126,[]
129,7125,7126,[]
130,7127,7129,[]
131,7131,129,[]
132,7136,4228,[]
133,7138,6327,[]
134,7141,6331,[]
135,7142,125,[]
136,7143,993,[]
137,7144,1616,[]
138,7147,3231,[]
139,7168,6789,[]
140,7170,6791,[]
141,7172,6793,[]
142,7174,6795,[]
143,7176,6797,[]
144,7177,6801,[]
145,7178,6803,[]
146,7179,6807,[]
147,7180,6809,[]
148,7181,6813,[]
149,7182,6815,[]
150,7183,6819,[]
151,7184,6821,[]
152,7186,6823,[]
