"rownum","rid_0","Tier","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","i32_28","[rid]_32","[i32]_48","i32_64","RuneItem","[i32]_84","Stats","StatsValues","UpgradeTextAudio"
0,0,1,"Establish Recruitment","Instaurer le Recrutement","Rekrutierung etablieren","人材募集を開始","모집 개시","Iniciar Recrutamento","Открывает найм рабочих","Establecer Reclutamiento","จัดตั้ง การเกณฑ์แรงงาน","建立召募",131,[],[],5,[],[],"[20433,20434,20476]","[15,3,1]",19238
1,0,2,"Can establish Farming, Smelting and Runesmithing\nRecruits can have job specialty up to rank 2\n(this improvement increases the reroll cost for new recruits)\nFaustus offers Black Market deals","Possibilité d'instaurer l'Agriculture, la Fonte et l'Artisanat forgerunique\nPossbilité d'améliorer les spécialités respectives des Recrues jusqu'au rang 2\n(cette amélioration augmente le coût de tirage de nouvelles recrues)\nFaustus propose des offres au Marché noir","Kann Landwirtschaft, Verhüttung und Runenschmieden etablieren\nRekruten können eine Berufsspezialisierung bis zu Rang 2 haben\n(diese Verbesserung erhöht die Kosten für das Neuwürfeln neuer Rekruten)\nFaustus bietet Angebote im Schwarzmarkt an","農業、製錬およびルーンスミスを開始可能\n新しい人材はランク2までのジョブ専門性を持つ\n（この改善は新しい人材のリロールコストを増加させる）\nファースタスが闇市場との取引を提供する","경작, 제련, 룬 제작 개시 가능\n신입이 최고 2단계의 작업 특기 보유\n(향상 시 신입 무작위 변경 비용 증가)\n파우스투스가 암시장 거래 제시","Pode estabelecer Agricultura, Fundição e Runologia\nRecrutas podem ter até rank 2 de especialização da profissão\n(esta melhoria aumenta o custo de rolamento por novos recrutas)\nFaustus oferece negociações no Mercado Negro","Можно открыть фермерство, переплавку и руноделие\nРаботники могут иметь специальность 2 ранга\n(это улучшение повышает стоимость повторного поиска рабочих)\nФауст предлагает товары с Чёрного рынка","Puedes establecer Agricultura, Fundición y Forja de runas\nLa especialización de trabajo de los reclutas puede ser hasta de rango 2\n(esta mejora aumenta el costo de aleatorización de nuevos reclutas)\nFaustus te ofrece tratos del mercado negro","จัดตั้ง การเพาะปลูก, การถลุงแร่, การสลักอักขระ ได้\nแรงงานเกณฑ์ มีความชำนาญงาน สูงสุดระดับ 2\n(การพัฒนานี้จะเพิ่ม ค่าสุ่ม สำหรับแรงงานเกณฑ์ใหม่ๆ)\nฟาวทัส เสนอ สินค้าตลาดมืด","可以建立耕種、冶煉和魔符鍛造\n新人的工作專精最高階級為 2\n（這項改進會提高重骰新人的消耗）\n弗斯特提供黑市交易",1344,[6],[5],8,[],[],[20476],[1],19239
2,0,3,"+20 to Maximum Town Population\nRecruits can have job specialty up to rank 3\n(this improvement increases the reroll cost for new recruits)","+20 à la Population maximale de la Ville\nPossbilité d'améliorer les spécialités respectives des Recrues jusqu'au rang 3\n(cette amélioration augmente le coût de tirage de nouvelles recrues)","+20 zur maximalen Stadtbevölkerung\nRekruten können eine Berufsspezialisierung bis zu Rang 3 haben\n(diese Verbesserung erhöht die Kosten für das Neuwürfeln neuer Rekruten)","街の人口の最大値 +20\n新しい人材はランク3までのジョブ専門性を持つ\n（この改善は新しい人材のリロールコストを増加させる）","마을 인구 최대치 +20\n신입이 최고 3단계의 작업 특기 보유\n(향상 시 신입 무작위 변경 비용 증가)","+20 ao Máximo de População da Cidade\nRecrutas podem ter até rank 3 de especialização da profissão\n(esta melhoria aumenta o custo de rolamento por novos recrutas)","+20 к максимальному населению города\nРаботники могут иметь специальность 3 ранга\n(это улучшение повышает стоимость повторного поиска рабочих)","+20 a la población máxima de la ciudad\nLa especialización de trabajo de los reclutas puede ser hasta de rango 3\n(esta mejora aumenta el costo de aleatorización de nuevos reclutas)","จำนวน ประชากรเมือง สูงสุด +20 คน\nแรงงานเกณฑ์ มีความชำนาญงาน สูงสุดระดับ 3\n(การพัฒนานี้จะเพิ่ม ค่าสุ่ม สำหรับแรงงานเกณฑ์ใหม่ๆ)","城鎮人口上限 +20\n新人的工作專精最高階級為 3\n（這項改進會提高重骰新人的消耗）",1345,"[16,10]","[5,10]",31,[],[],"[20433,20476]","[20,1]",19240
3,0,4,"+2 to number of new Recruits when Rerolling\nRecruits can have job specialty up to rank 4\n(this improvement increases the reroll cost for new recruits)","+2 au nombre maximal de nouvelles Recrues lors du Tirage\nPossbilité d'améliorer les spécialités respectives des Recrues jusqu'au rang 4\n(cette amélioration augmente le coût de tirage de nouvelles recrues)","+2 zur Anzahl neuer Rekruten beim Neuwürfeln\nRekruten können eine Berufsspezialisierung bis zu Rang 4 haben\n(diese Verbesserung erhöht die Kosten für das Neuwürfeln neuer Rekruten)","リロールした際の新しい人材の人数 +2\n新しい人材はランク4までのジョブ専門性を持つ\n（この改善は新しい人材のリロールコストを増加させる）","무작위 변경 시 신입 수 +2\n신입이 최고 4단계의 작업 특기 보유\n(향상 시 신입 무작위 변경 비용 증가)","+2 ao número de novos Recrutas ao Rolar\nRecrutas podem ter até rank 4 de especialização da profissão\n(esta melhoria aumenta o custo de rolamento por novos recrutas)","+2 к количеству новых рабочих при повторном поиске рабочих\nРаботники могут иметь специальность 4 ранга\n(это улучшение повышает стоимость повторного поиска рабочих)","+2 a la cantidad de nuevos reclutas al aleatorizar\nLa especialización de trabajo de los reclutas puede ser hasta de rango 4\n(esta mejora aumenta el costo de aleatorización de nuevos reclutas)","จำนวน แรงงานเกณฑ์ใหม่ +2 คน เมื่อทำการสุ่ม\nแรงงานเกณฑ์ มีความชำนาญงาน สูงสุดระดับ 4\n(การพัฒนานี้จะเพิ่ม ค่าสุ่ม สำหรับแรงงานเกณฑ์ใหม่ๆ)","重骰時的新人數量 +2\n新人的工作專精最高階級為 4\n（這項改進會提高重骰新人的消耗）",1346,"[17,10,11]","[10,20,10]",252,[],[],"[20434,20476]","[2,1]",19241
4,0,5,"Can establish Disenchanting and Recombination\nRecruits can have job specialty up to rank 5\n(this improvement increases the reroll cost for new recruits)","Possibilité d'instaurer le Désenchantement et la Recombinaison\nPossbilité d'améliorer les spécialités respectives des Recrues jusqu'au rang 5\n(cette amélioration augmente le coût de tirage de nouvelles recrues)","Kann Entzauberung und Rekombination etablieren\nRekruten können eine Berufsspezialisierung bis zu Rang 5 haben\n(diese Verbesserung erhöht die Kosten für das Neuwürfeln neuer Rekruten)","解呪およびリコンビネーションを開始可能\n新しい人材はランク5までのジョブ専門性を持つ\n（この改善は新しい人材のリロールコストを増加させる）","인챈트 해제 및 재조합 개시 가능\n신입이 최고 5단계의 작업 특기 보유\n(향상 시 신입 무작위 변경 비용 증가)","Pode estabelecer Desencantamento e Recombinação\nRecrutas podem ter até rank 5 de especialização da profissão\n(esta melhoria aumenta o custo de rolamento por novos recrutas)","Можно открыть распыление и рекомбинацию\nРаботники могут иметь специальность 5 ранга\n(это улучшение повышает стоимость повторного поиска рабочих)","Puedes establecer Desencantamiento y Recombinación\nLa especialización de trabajo de los reclutas puede ser hasta de rango 5\n(esta mejora aumenta el costo de aleatorización de nuevos reclutas)","จัดตั้ง การสลายไอเทมและการผสมไอเทม ได้\nแรงงานเกณฑ์ มีความชำนาญงาน สูงสุดระดับ 5\n(การพัฒนานี้จะเพิ่ม ค่าสุ่ม สำหรับแรงงานเกณฑ์ใหม่ๆ)","可以建立破幻和重組\n新人的工作專精最高階級為 5\n（這項改進會提高重骰新人的消耗）",1347,"[18,11,12]","[10,25,10]",666,[],[],[20476],[1],19242
5,0,6,"+25 to Maximum Town Population\nRecruits can have job specialty up to rank 6\n(this improvement increases the reroll cost for new recruits)","+25 à la Population maximale de la Ville\nPossbilité d'améliorer les spécialités respectives des Recrues jusqu'au rang 6\n(cette amélioration augmente le coût de tirage de nouvelles recrues)","+25 zur maximalen Stadtbevölkerung\nRekruten können eine Berufsspezialisierung bis zu Rang 6 haben\n(diese Verbesserung erhöht die Kosten für das Neuwürfeln neuer Rekruten)","街の人口の最大値 +25\n新しい人材はランク6までのジョブ専門性を持つ\n（この改善は新しい人材のリロールコストを増加させる）","마을 인구 최대치 +25\n신입이 최고 6단계의 작업 특기 보유\n(향상 시 신입 무작위 변경 비용 증가)","+25 ao Máximo de População da Cidade\nRecrutas podem ter até rank 6 de especialização da profissão\n(esta melhoria aumenta o custo de rolamento por novos recrutas)","+25 к максимальному населению города\nРаботники могут иметь специальность 6 ранга\n(это улучшение повышает стоимость повторного поиска рабочих)","+25 a la población máxima de la ciudad\nLa especialización de trabajo de los reclutas puede ser hasta de rango 6\n(esta mejora aumenta el costo de aleatorización de nuevos reclutas)","จำนวน ประชากรเมือง สูงสุด +25 คน\n\nแรงงานเกณฑ์ มีความชำนาญงาน สูงสุดระดับ 6\n(การพัฒนานี้จะเพิ่ม ค่าสุ่ม สำหรับแรงงานเกณฑ์ใหม่ๆ)","城鎮人口上限 +25\n新人的工作專精最高階級為 6\n（這項改進會提高重骰新人的消耗）",1348,"[18,10,12]","[50,20,75]",2536,[],[],"[20433,20476]","[25,1]",19243
6,0,7,"Can establish Mapping\nRecruits can have job specialty up to rank 7\n(this improvement increases the reroll cost for new recruits)","Possibilité d'instaurer l'Exploration de Carte\nPossbilité d'améliorer les spécialités respectives des Recrues jusqu'au rang 7\n(cette amélioration augmente le coût de tirage de nouvelles recrues)","Kann Kartenlauf etablieren\nRekruten können eine Berufsspezialisierung bis zu Rang 7 haben\n(diese Verbesserung erhöht die Kosten für das Neuwürfeln neuer Rekruten)","マッピングを開始可能\n新しい人材はランク7までのジョブ専門性を持つ\n（この改善は新しい人材のリロールコストを増加させる）","지도 탐험 개시 가능\n신입이 최고 7단계의 작업 특기 보유\n(향상 시 신입 무작위 변경 비용 증가)","Pode estabelecer Mapeamento\nRecrutas podem ter até rank 7 de especialização da profissão\n(esta melhoria aumenta o custo de rolamento por novos recrutas)","Можно открыть картоходство\nРаботники могут иметь специальность 7 ранга\n(это улучшение повышает стоимость повторного поиска рабочих)","Puedes establecer Exploración de mapas\nLa especialización de trabajo de los reclutas puede ser hasta de rango 7\n(esta mejora aumenta el costo de aleatorización de nuevos reclutas)","จัดตั้ง การบุกแผนที่\nแรงงานเกณฑ์ มีความชำนาญงาน สูงสุดระดับ 7\n(การพัฒนานี้จะเพิ่ม ค่าสุ่ม สำหรับแรงงานเกณฑ์ใหม่ๆ)","可以建立刷圖\n新人的工作專精最高階級為 7\n（這項改進會提高重骰新人的消耗）",1349,"[19,12,13]","[30,75,150]",4954,[],[],[20476],[1],19244
7,0,8,"+2 to number of new Recruits when Rerolling\nRecruits can have job specialty up to rank 8\n(this improvement increases the reroll cost for new recruits)","+20 au nombre maximal de nouvelles Recrues lors du Tirage\nPossbilité d'améliorer les spécialités respectives des Recrues jusqu'au rang 8\n(cette amélioration augmente le coût de tirage de nouvelles recrues)","+2 zur Anzahl neuer Rekruten beim Neuwürfeln\nRekruten können eine Berufsspezialisierung bis zu Rang 8 haben\n(diese Verbesserung erhöht die Kosten für das Neuwürfeln neuer Rekruten)","リロールした際の新しい人材の人数 +2\n新しい人材はランク8までのジョブ専門性を持つ\n（この改善は新しい人材のリロールコストを増加させる）","무작위 변경 시 신입 수 +2\n신입이 최고 8단계의 작업 특기 보유\n(향상 시 신입 무작위 변경 비용 증가)","+2 ao número de Recrutas ao Rolar\nRecrutas podem ter até rank 8 de especialização da profissão\n(esta melhoria aumenta o custo de rolamento por novos recrutas)","+2 к количеству новых рабочих при повторном поиске рабочих\nРаботники могут иметь специальность 8 ранга\n(это улучшение повышает стоимость повторного поиска рабочих)","+2 a la cantidad de nuevos reclutas al aleatorizar\nLa especialización de trabajo de los reclutas puede ser hasta de rango 8\n(esta mejora aumenta el costo de aleatorización de nuevos reclutas)","จำนวน แรงงานเกณฑ์ใหม่ +2 คน เมื่อทำการสุ่ม\nแรงงานเกณฑ์ มีความชำนาญงาน สูงสุดระดับ 8\n(การพัฒนานี้จะเพิ่ม ค่าสุ่ม สำหรับแรงงานเกณฑ์ใหม่ๆ)","重骰時的新人數量 +2\n新人的工作專精最高階級為 8\n（這項改進會提高重骰新人的消耗）",1350,"[19,11,13]","[60,250,250]",11666,[],[],"[20434,20476]","[2,1]",19245
8,0,9,"+30 to Maximum Town Population\nRecruits can have job specialty up to rank 9\n(this improvement increases the reroll cost for new recruits)","+25 à la Population maximale de la Ville\nPossbilité d'améliorer les spécialités respectives des Recrues jusqu'au rang 9\n(cette amélioration augmente le coût de tirage de nouvelles recrues)","+30 zur maximalen Stadtbevölkerung\nRekruten können eine Berufsspezialisierung bis zu Rang 6 haben\n(diese Verbesserung erhöht die Kosten für das Neuwürfeln neuer Rekruten)","街の人口の最大値 +30\n新しい人材はランク9までのジョブ専門性を持つ\n（この改善は新しい人材のリロールコストを増加させる）","마을 인구 최대치 +30\n신입이 최고 9단계의 작업 특기 보유\n(향상 시 신입 무작위 변경 비용 증가)","+30 ao Máximo de População da Cidade\nRecrutas podem ter até rank 9 de especialização da profissão\n(esta melhoria aumenta o custo de rolamento por novos recrutas)","+30 к максимальному населению города\nРаботники могут иметь специальность 9 ранга\n(это улучшение повышает стоимость повторного поиска рабочих)","+30 a la población máxima de la ciudad\nLa especialización de trabajo de los reclutas puede ser hasta de rango 9\n(esta mejora aumenta el costo de aleatorización de nuevos reclutas)","จำนวน ประชากรเมือง สูงสุด +30 คน\nแรงงานเกณฑ์ มีความชำนาญงาน สูงสุดระดับ 9\n(การพัฒนานี้จะเพิ่ม ค่าสุ่ม สำหรับแรงงานเกณฑ์ใหม่ๆ)","城鎮人口上限 +30\n新人的工作專精最高階級為 9\n（這項改進會提高重骰新人的消耗）",1351,"[19,13,14]","[120,400,700]",17062,[],[],"[20433,20476]","[30,1]",19246
9,0,10,"Recruits can have job specialty up to rank 10\n(this improvement increases the reroll cost for new recruits)","Possbilité d'améliorer les spécialités respectives des Recrues jusqu'au rang 10\n(cette amélioration augmente le coût de tirage de nouvelles recrues)","Rekruten können eine Berufsspezialisierung bis zu Rang 10 haben\n(diese Verbesserung erhöht die Kosten für das Neuwürfeln neuer Rekruten)","新しい人材はランク10までのジョブ専門性を持つ\n（この改善は新しい人材のリロールコストを増加させる）","신입이 최고 10단계의 작업 특기 보유\n(향상 시 신입 무작위 변경 비용 증가)","Recrutas podem ter até rank 10 de especialização da profissão\n(esta melhoria aumenta o custo de rolamento por novos recrutas)","Работники могут иметь специальность 10 ранга\n(это улучшение повышает стоимость повторного поиска рабочих)","La especialización de trabajo de los reclutas puede ser hasta de rango 10\n(esta mejora aumenta el costo de aleatorización de nuevos reclutas)","แรงงานเกณฑ์ มีความชำนาญงาน สูงสุดระดับ 10\n(การพัฒนานี้จะเพิ่ม ค่าสุ่ม สำหรับลูกจ้างใหม่ๆ)","新人的工作專精最高階級為 10\n（這項改進會提高重骰新人的消耗）",1352,"[19,13,14]","[160,1200,700]",20225,[],[],[20476],[1],19247
