"rownum","Id","BonusMods","BuffDefinition","BuffStatValues","StatsKeys","StatValues","i32_88","bool_92"
0,"InnerTreasure",[7439],"",[],[],[],0,""
1,"DropVaalItem",[7446],"",[],[],[],0,""
2,"AlwaysIgnite",[],"",[],"[5069,613]","[1,100]",0,""
3,"RandomCurseOnMeleeHit",[],"",[],[1233],[100],0,""
4,"Maimed",[],509,"[-30,1]",[],[],0,""
5,"AlwaysShock",[],"",[],"[5068,661]","[1,100]",0,""
6,"TormentedExperimenterPossess","[9352,9443,9529,9531]","",[],[],[],0,""
7,"TormentedBlasphemerPossess","[9355,9441,9529,9531]","",[],[],[],0,""
8,"TormentedNecromancerPossess","[9358,9443,9529,9531]","",[],[],[],0,""
9,"TormentedArsonistPossess","[9361,9443,9529,9531]","",[],[],[],0,""
10,"TormentedThiefPossess","[9390,9444,9529,9531]","",[],[],[],0,""
11,"TormentedMutilatorPossess","[9403,9443,9529,9531]","",[],[],[],0,""
12,"TormentedCharlatanPossess","[9371,9443,9529,9531]","",[],[],[],0,""
13,"TormentedCannibalPossess","[9396,9443,9529,9531]","",[],[],[],0,""
14,"TormentedPoisonerPossess","[9364,9443,9529,9531]","",[],[],[],0,""
15,"TormentedCorrupterPossess","[9367,9444,9529,9531]","",[],[],[],0,""
16,"TormentedThugPossess","[9374,9441,9529,9531]","",[],[],[],0,""
17,"TormentedRoguePossess","[9377,9441,9378,9529,9531]","",[],[],[],0,""
18,"TormentedFishermanPossess","[9380,9444,9529,9531]","",[],[],[],0,""
19,"TormentedLibrarianPossess","[9383,9444,9529,9531]","",[],[],[],0,""
20,"TormentedCutthroatPossess","[9387,9441,9529,9531]","",[],[],[],0,""
21,"TormentedSpyPossess","[9393,9441,9529,9531]","",[],[],[],0,""
22,"TormentedMartyrPossess","[9400,9443,9529,9531]","",[],[],[],0,""
23,"TormentedEmbezzlerPossess","[9406,9444,9529,9531]","",[],[],[],0,""
24,"TormentedCounterfeiterPossess","[9412,9443,9529,9531]","",[],[],[],0,""
25,"TormentedWarlordPossess","[9415,9441,9529,9531]","",[],[],[],0,""
26,"TormentedFreezerPossess","[9419,9443,9529,9531]","",[],[],[],0,""
27,"TormentedSmugglerPossess","[9423,9421,9444,9529,9531]","",[],[],[],0,""
28,"MapSupporterEssenceDaemon","[36377,36378,36379,36380,36381,36382,36383,36384,36385]","",[],[],[],1,""
29,"MonsterSupporterEnrageDaemon",[36386],"",[],[],[],0,""
30,"MonsterUberMapShaperTouched",[6055],"",[],[],[],0,""
31,"MonsterScarabUberScarab5",[19137],"",[],[],[],0,""
32,"MonsterScarabUniqueMonsterModScarab","[32864,32865,32866,32867,32868,32869,32870,32871,32872,32873,32874,32875,32876,32877,32878,32879,32880,32881,32882,32883,32884,32885,32886,32887,32888,32890,32891,32892,32893,32894,32895,32896,32897,32898,32899,32900,32901,32902,32903,32904,32905,32906,32907,32908,32909,32910,32911,32912,32913,32914,32915,32916,32921,32922,32923,32928,32929,32931,32933,32934,32936,32937,32939,32940,32941,32942,32943,32944,32945,32946,32947,32948,32949,32950,32952,32953,32954,32955,32957,32959,32960,32961,32962,32963,32964,32967,32968,32969,32971,32972,32973,32975,32976,32977,32978,32979,32980]","",[],[],[],4,1
33,"MonsterFinalGasp",[32989],"",[],[],[],0,""
34,"MonsterFaridunAstralDaemon",[39261],2687,[],[],[],0,""
35,"MonsterFaridunBossSpawnDaemon",[39262],"",[],[],[],0,""
36,"MonsterFaridunBossSpawnWildboss",[39263],"",[],[],[],0,""
37,"MapBossSpawnRandomGuardian",[39264],"",[],[],[],0,""
