"rownum","Index","SupportGem","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
0,1,34,"Greater Multiple Projectiles","Projectiles multiples majeurs","Größere Projektilaufteilung","グレーター投射物追加","상위 다중 투사체","Projéteis Múltiplos Maior","Много дополнительных снарядов","Proyectiles múltiples superior","Greater Multiple Projectiles","高階多重投射"
1,2,309,"Void Manipulation","Manipulation du Néant","Manipulation der Leere","ヴォイド操作","공허 조작","Manipulação do Vazio","Манипуляция пустотой","Manipulación del vacío","Void Manipulation","虛空操縱"
2,3,335,"Vile Toxins","Toxines corrosives","Niederträchtiges Gift","凶悪な毒","끔찍한 독소","Toxinas Letais","Едкие токсины","Toxinas viles","Vile Toxins","罪惡毒素"
3,4,394,"Unleash","Déchaînement","Entfesseln","アンリーシュ","촉발","Desencadeamento","Высвобождение","Descarga","Unleash","釋放"
4,5,338,"Unbound Ailments","Altérations déchaînées","Entfesselte Beeinträchtigungen","状態異常解放","벌어지는 상처","Afecções Desvinculadas","Безграничные состояния","Estados alterados desatados","Unbound Ailments","無邊異能"
5,6,321,"Advanced Traps","Pièges perfectionnés","Fortschrittliche Fallen","トラップ改良","향상된 덫","Armadilhas Avançadas","Улучшенные ловушки","Trampas avanzadas","Advanced Traps","進階陷阱"
6,7,287,"Trap and Mine Damage","Dégâts des Mines et des Pièges","Fallen- und Minenschaden","トラップ・マインダメージ","덫과 지뢰 피해","Dano de Armadilha e Mina","Урон ловушек и мин","Daño de trampas y minas","Trap and Mine Damage","陷阱及地雷傷害"
7,8,70,"Trap","Pièges","Falle","トラップ化","덫","Armadilha","Ловушка","Trampa","Trap","陷阱"
8,9,432,"Swift Assembly","Assemblage rapide","Schneller Aufbau","高速組立","재빠른 조립","Montagem Rápida","Быстрая сборка","Armado rápido","Swift Assembly","迅速組裝"
9,10,352,"Summon Phantasm","Invocation d'Apparition","Phantasma beschwören","ファンタズム召喚","환영 소환","Invocar Fantasma","Призыв фантома","Invocar fantasma","Summon Phantasm","召喚幻影"
10,11,195,"Elemental Army","Armée élémentaire","Elementararmee","元素の軍勢","원소의 군단","Exército Elemental","Стихийное войско","Ejército elemental","Elemental Army","元素軍隊"
11,12,67,"Stun","Étourdissement","Betäuben","スタン","기절","Atordoar","Оглушение","Aturdir","Stun","擊暈"
12,13,348,"Infused Channelling","Canalisation infusée","Konzentriertes Kanalisieren","チャネリング注入","깊어지는 집중 유지","Canalização Infundida","Усиленное поддержание","Canalización imbuida","Infused Channelling","注入引導"
13,14,351,"Ancestral Call","Appel ancestral","Ruf der Ahnen","アンセストラルコール","선대의 부름","Convocação Ancestral","Зов предков","Llamado ancestral","Ancestral Call","先祖怒嚎"
14,15,150,"Spell Totem","Totem incantateur","Zaubertotem","スペルトーテム化","주문 토템","Totem Mágico","Колдующий тотем","Tótem de hechizos","Spell Totem","法術圖騰"
15,16,393,"Intensify","Intensification","Intensivieren","インテンシファイ","격화","Intensificação","Интенсивность","Intensificación","Intensify","強化"
16,17,350,"Spell Cascade","Cascade de sorts","Zauberkaskade","スペルカスケード","연속 주문","Sequência Mágica","Каскад чар","Cascada de hechizos","Spell Cascade","秘能爆發"
17,18,211,"Slower Projectiles","Ralentissement des Projectiles","Langsamere Projektile","投射物低速化","투사체 감속","Projéteis Lentos","Замедленные снаряды","Proyectiles lentos","Slower Projectiles","投射物減速"
18,19,485,"Second Wind","Second souffle","Zweite Luft","セカンドウィンド","새로운 활력","Fôlego Renovado","Второе дыхание","Segundo aliento","Second Wind","恢復"
19,20,340,"Ruthless","Impitoyabilité","Unbarmherzigkeit","ルースレス","무자비","Implacável","Беспощадность","Implacabilidad","Ruthless","殘暴"
20,21,428,"High-Impact Mine","Mine à charge creuse","Verheerende Minen","衝撃強化マイン","고충격 지뢰","Mina de Alto Impacto","Усиленная мина","Mina de alto impacto","High-Impact Mine","高能地雷"
21,22,151,"Blastchain Mine","Mine à réaction en chaîne","Minenkettenexplosion","連続爆破マイン","연쇄 폭발 지뢰","Mina de Propagação Explosiva","Цепной подрыв","Explosión de minas en cadena","Blastchain Mine","連鎖爆破地雷"
22,23,54,"Inspiration","Inspiration","Inspiration","インスピレーション","영감","Inspiração","Вдохновение","Inspiración","Inspiration","啟發"
23,24,212,"Less Duration","Perte de Durée","Verkürzte Dauer","持続時間低下","지속시간 감폭","Menos Duração","Сокращение","Menos duración","Less Duration","持續時間縮短"
24,25,311,"Swift Affliction","Affliction fulgurante","Schneller Verfall","スウィフトアフリクション","고통 격화","Aflição Rápida","Стремительный недуг","Aflicción veloz","Swift Affliction","極速苦痛"
25,26,173,"Ballista Totem","Totem Baliste","Ballistentotem","バリスタトーテム","쇠뇌 토템","Totem Balista","Тотем-баллиста","Tótem balista","Ballista Totem","砲塔圖騰"
26,27,415,"Rage","Rage","Rausch","憤怒","격노","Fúria","Свирепость","Furia","Rage","盛怒"
27,28,414,"Pulverise","Pulvérisation","Pulverisieren","強打","분쇄","Pulverização","Распыление","Pulverizar","Pulverise","磨鍊"
