"rownum","Item","Category","SubCategory","bool_48","EnabledInChallengeLeague","GoldPurchaseFee","bool_54","bool_55"
0,3921,0,0,1,1,1000,1,1
1,1,0,0,1,1,1,"",1
2,17,0,0,1,1,1,"",1
3,11,0,0,1,1,3,"",1
4,16,0,0,1,1,5,"",1
5,8,0,0,1,1,10,"",1
6,12,0,0,1,1,10,"",1
7,20,0,0,1,1,20,"",1
8,22,0,0,1,1,10,"",1
9,21,0,0,1,1,15,"",1
10,7,0,0,1,1,15,"",1
11,2,0,0,1,1,15,"",1
12,13,0,0,1,1,15,"",1
13,9,0,0,1,1,20,"",1
14,41,0,0,1,1,20,"",1
15,231,0,0,"",1,20,"",1
16,4217,0,0,"",1,20,"",1
17,10,0,0,1,1,20,"",1
18,24,0,0,1,1,35,"",1
19,4216,0,0,"",1,35,"",1
20,15,0,0,1,1,20,"",1
21,3029,0,0,"",1,150,"",1
22,14,0,0,1,1,20,"",1
23,236,0,0,1,1,250,"",1
24,3239,0,0,"",1,35,"",1
25,343,0,0,1,1,300,"",1
26,23,0,0,1,1,250,"",1
27,230,0,0,1,1,250,"",1
28,4670,0,1,1,1,525,"",1
29,4671,0,1,1,1,525,"",1
30,4672,0,1,1,1,525,"",1
31,3083,0,0,1,1,975,"",1
32,5247,0,0,1,1,500,"",1
33,64,0,0,"",1,250,"",1
34,65,0,0,"",1,250,"",1
35,237,0,0,1,1,500,"",1
36,4,0,0,1,1,250,"",1
37,3,0,0,1,1,500,"",1
38,39,0,0,1,"",6250,"",1
39,25,0,0,1,1,250,"",1
40,4824,0,0,1,1,6250,"",1
41,6,0,0,1,1,25000,"",1
42,33,0,7,1,1,4,1,1
43,34,0,7,"",1,1,"",1
44,35,0,7,1,1,1,"",1
45,244,0,7,"",1,1,"",1
46,247,0,7,"",1,2,"",1
47,246,0,7,"",1,2,"",1
48,238,0,7,"",1,6,"",1
49,248,0,7,1,1,25,"",1
50,245,0,7,1,1,1250,"",1
51,5,0,4,1,1,25,"",1
52,0,0,4,1,1,30,"",1
53,18,0,4,1,1,50,"",1
54,19,0,4,1,1,50,"",1
55,27,0,4,"",1,200,"",1
56,28,0,4,"",1,200,"",1
57,31,0,4,"",1,200,"",1
58,29,0,4,"",1,200,"",1
59,30,0,4,"",1,200,"",1
60,333,0,1,1,1,35,"",1
61,337,0,1,1,1,35,"",1
62,334,0,1,1,1,50,"",1
63,338,0,1,1,1,50,"",1
64,335,0,1,1,1,75,"",1
65,339,0,1,1,1,75,"",1
66,336,0,1,1,1,200,"",1
67,340,0,1,1,1,200,"",1
68,341,0,1,1,1,1050,"",1
69,55,0,3,"",1,500,"",1
70,56,0,3,"",1,500,"",1
71,3915,0,3,"",1,500,"",1
72,3916,0,3,"",1,500,"",1
73,3917,0,3,"",1,500,"",1
74,3918,0,3,"",1,500,"",1
75,3919,0,3,"",1,1000,"",1
76,4115,0,3,"",1,1000,"",1
77,57,0,3,1,1,1000,"",1
78,58,0,3,1,1,1000,"",1
79,59,0,3,1,1,1000,"",1
80,4238,0,2,1,1,75,"",1
81,4240,0,2,1,1,75,"",1
82,4244,0,2,1,1,75,"",1
83,4245,0,2,1,1,100,"",1
84,4239,0,2,1,1,150,"",1
85,4243,0,2,1,1,200,"",1
86,4241,0,2,1,1,375,"",1
87,4242,0,2,1,1,575,"",1
88,4246,0,2,1,1,900,"",1
89,4247,0,2,1,1,900,"",1
90,5382,0,5,1,1,1000,"",1
91,5383,0,5,1,1,1000,"",1
92,5384,0,5,1,1,1000,"",1
93,5385,0,5,1,1,1000,"",1
94,5386,0,5,1,1,1000,"",1
95,5387,0,5,1,1,1000,"",1
96,5388,0,5,1,1,1000,"",1
97,5389,0,5,1,1,1000,"",1
98,5390,0,5,1,1,1000,"",1
99,5391,0,5,1,1,1000,"",1
100,4687,0,6,1,1,1000,"",1
101,4688,0,6,1,1,1000,"",1
102,4689,0,6,1,1,1000,"",1
103,95,0,46,1,1,500,"",1
104,96,0,46,1,1,750,"",1
105,97,0,46,1,1,1000,"",1
106,223,0,46,1,1,1000,"",1
107,4823,0,114,"","",50,"",""
108,98,24,25,1,1,25,"",1
109,99,24,25,1,1,35,"",1
110,100,24,25,1,1,45,"",1
111,101,24,25,1,1,55,"",1
112,102,24,25,1,1,65,"",1
113,103,24,25,1,1,75,"",1
114,104,24,25,1,1,75,"",1
115,105,24,26,1,1,25,"",1
116,106,24,26,1,1,35,"",1
117,107,24,26,1,1,45,"",1
118,108,24,26,1,1,55,"",1
119,109,24,26,1,1,65,"",1
120,110,24,26,1,1,75,"",1
121,111,24,26,1,1,75,"",1
122,112,24,27,1,1,25,"",1
