"rownum","Id","Normal_WorldAreasKeys","Cruel_WorldAreasKeys","Merciless_WorldAreasKeys","Endgame_WorldAreasKeys","i32_72"
0,"OutdoorEnd","[488,522]","[561,594]","[633,666]","[705,738]",1
1,"OutdoorEndBottleneck","[489,523,512]","[562,595,584]","[634,667,656]","[706,739,728]",1
2,"OutdoorStraight","[490,513,524]","[563,585,596]","[635,657,668]","[707,729,740]",2
3,"OutdoorStraightBottleneck","[525,514,491]","[597,586,564]","[669,658,636]","[741,730,708]",2
4,"OutdoorBranch","[492,515,526]","[565,587,598]","[637,659,670]","[709,731,742]",3
5,"OutdoorBranchBottleneck1","[516,527]","[588,599]","[660,671]","[732,743]",3
6,"OutdoorBranchBottleneck2","[528,517,494]","[600,589,567]","[672,661,639]","[744,733,711]",3
7,"OutdoorQuad","[496,519,530]","[569,591,602]","[641,663,674]","[713,735,746]",4
8,"IndoorShortcut",[468],[541],[613],[685],2
9,"IndoorEndBottleneck","[467,478,501]","[540,551,573]","[612,623,645]","[684,695,717]",1
10,"IndoorStraight","[502,479,468]","[574,552,541]","[646,624,613]","[718,696,685]",2
11,"IndoorStraightBottleneck","[469,503,480]","[542,575,553]","[614,647,625]","[686,719,697]",2
12,"IndoorBranch","[504,481,470]","[576,554,543]","[648,626,615]","[720,698,687]",3
13,"IndoorBranchBottleneck1","[471,505,482]","[544,577,555]","[616,649,627]","[688,721,699]",3
14,"IndoorBranchBottleneck2","[472,506,483]","[545,578,556]","[617,650,628]","[689,722,700]",3
15,"IndoorQuad","[474,485,508]","[547,558,580]","[619,630,652]","[691,702,724]",4
16,"OutdoorQuadDoor","[532,498,521]","[604,571,593]","[676,643,665]","[748,715,737]",4
17,"OutdoorBranchDoor","[529,495,518]","[601,568,590]","[673,640,662]","[745,712,734]",3
18,"IndoorQuadDoor","[476,487,510]","[549,560,582]","[621,632,654]","[693,704,726]",4
19,"IndoorBranchDoor","[473,484,507]","[546,557,579]","[618,629,651]","[690,701,723]",3
20,"EntranceStraight",[524],[596],[668],[740],2
21,"EntranceQuadDoor",[532],[604],[676],[748],4
22,"EntranceQuad",[530],[602],[674],[746],4
23,"EntranceBranch",[526],[598],[670],[742],3
24,"EntranceBranchDoor",[529],[601],[673],[745],3
25,"EntranceStraightBottleneck",[525],[597],[669],[741],2
26,"ElegantBlockBranch",[499],[],[],[],3
27,"Boss1",[533],[605],[677],[749],2
28,"Boss2",[534],[606],[678],[750],3
29,"Boss3",[535],[607],[679],[751],4
30,"FinalBoss1",[536],[608],[680],[752],2
31,"FinalBoss2",[537],[609],[681],[753],3
32,"FinalBoss3",[538],[610],[682],[754],4
