"rownum","BaseItemTypesKey","MaxCharges","PerCharge","MaxCharges2","PerCharge2"
0,"Metadata/Items/Flasks/FlaskLife1",21,7,21,7
1,"Metadata/Items/Flasks/FlaskLife2",28,8,28,8
2,"Metadata/Items/Flasks/FlaskLife3",30,9,30,9
3,"Metadata/Items/Flasks/FlaskLife4",32,10,32,10
4,"Metadata/Items/Flasks/FlaskLife5",25,10,25,10
5,"Metadata/Items/Flasks/FlaskLife6",30,10,30,10
6,"Metadata/Items/Flasks/FlaskLife7",32,10,32,10
7,"Metadata/Items/Flasks/FlaskLife8",25,10,25,10
8,"Metadata/Items/Flasks/FlaskLife9",30,10,30,10
9,"Metadata/Items/Flasks/FlaskLife10",30,15,30,15
10,"Metadata/Items/Flasks/FlaskLife11",45,15,45,15
11,"Metadata/Items/Flasks/FlaskLife12",45,15,45,15
12,"Metadata/Items/Flasks/FlaskLife1Royale",21,7,21,7
13,"Metadata/Items/Flasks/FlaskLife2Royale",28,8,28,8
14,"Metadata/Items/Flasks/FlaskLife3Royale",30,9,30,9
15,"Metadata/Items/Flasks/FlaskMana1",24,6,24,6
16,"Metadata/Items/Flasks/FlaskMana2",30,7,30,7
17,"Metadata/Items/Flasks/FlaskMana3",35,8,35,8
18,"Metadata/Items/Flasks/FlaskMana4",36,9,36,9
19,"Metadata/Items/Flasks/FlaskMana5",30,7,30,7
20,"Metadata/Items/Flasks/FlaskMana6",36,8,36,8
21,"Metadata/Items/Flasks/FlaskMana7",38,8,38,8
22,"Metadata/Items/Flasks/FlaskMana8",35,7,35,7
23,"Metadata/Items/Flasks/FlaskMana9",30,6,30,6
24,"Metadata/Items/Flasks/FlaskMana10",35,7,35,7
25,"Metadata/Items/Flasks/FlaskMana11",42,8,42,8
26,"Metadata/Items/Flasks/FlaskMana12",42,8,42,8
27,"Metadata/Items/Flasks/FlaskHybrid1",40,20,40,20
28,"Metadata/Items/Flasks/FlaskHybrid2",40,20,40,20
29,"Metadata/Items/Flasks/FlaskHybrid3",40,20,40,20
30,"Metadata/Items/Flasks/FlaskHybrid4",40,20,40,20
31,"Metadata/Items/Flasks/FlaskHybrid5",40,20,40,20
32,"Metadata/Items/Flasks/FlaskHybrid6",40,20,40,20
33,"Metadata/Items/Flasks/FlaskUtility1",40,20,40,20
34,"Metadata/Items/Flasks/FlaskUtility2",50,20,50,20
35,"Metadata/Items/Flasks/FlaskUtility3",50,20,50,20
36,"Metadata/Items/Flasks/FlaskUtility4",50,20,50,20
37,"Metadata/Items/Flasks/FlaskUtility5",60,30,60,30
38,"Metadata/Items/Flasks/FlaskUtility6",60,30,60,30
39,"Metadata/Items/Flasks/FlaskUtility7",65,35,65,35
40,"Metadata/Items/Flasks/FlaskUtility8",60,30,60,30
41,"Metadata/Items/Flasks/FlaskUtility9",60,30,60,30
42,"Metadata/Items/Flasks/FlaskUtility10",60,40,60,40
43,"Metadata/Items/Flasks/FlaskUtility11",50,20,50,20
44,"Metadata/Items/Flasks/FlaskUtility12",60,40,60,40
45,"Metadata/Items/Flasks/FlaskUtility13",60,40,60,40
46,"Metadata/Items/Flasks/FlaskUtility14",60,40,60,40
47,"Metadata/Items/Flasks/FlaskUtility15",40,15,40,15
48,"Metadata/Items/Flasks/FlaskUtility16",80,60,80,60
49,"Metadata/Items/Flasks/FlaskUtility17",50,20,50,20
50,"Metadata/Items/Flasks/FlaskUtility18",60,40,60,40
