"rownum","string_0","string_8"
0,"None",""
1,"Weapon","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Weapon"
2,"Abyss","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Abyss"
3,"Armour","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Armour"
4,"Bestiary","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Bestiary"
5,"Blight","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Blight"
6,"Breach","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Breach"
7,"Currency","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Currency"
8,"Delirium","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Delirium"
9,"Divination","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Divination"
10,"Essence","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Essences"
11,"Fossil","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Fossils"
12,"Fragment","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Fragments"
13,"Gem","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Gems"
14,"Generic","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Generic"
15,"Generic2","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Generic2"
16,"Harbinger","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Harbinger"
17,"Incubator","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Incubators"
18,"Labyrinth","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Labyrinth"
19,"Legion","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Legion"
20,"Map","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Maps"
21,"Metamorph","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Metamorph"
22,"Perandus","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Perandus"
23,"Prophecy","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Prophecies"
24,"Scarab","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Scarabs"
25,"Talisman","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Talismans"
26,"Trinket","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Trinkets"
27,"Ultimatum","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Ultimatum"
28,"UniqueItem","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Uniques"
29,"Beyond","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Beyond"
30,"Expedition","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Expedition"
31,"Harvest","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Harvest"
32,"Heist","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Heist"
33,"Ritual","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Ritual"
34,"RogueExile","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/RogueExiles"
35,"Shrine","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Shrine"
36,"Strongbox","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Strongbox"
37,"Torment","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Torment"
38,"VaalSideArea","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/VaalSideAreas"
39,"Warband","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Warband"
40,"Incursion","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Incursion"
41,"CorruptedMonsters","Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/CorruptedMonsters"
