"rownum","Id","ItemClasses","string_24","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","[rid]_40"
0,"OneHandMelee","[7,56,11,12,9,6,32,10]","1HandedMelee","One Hand Melee","Mêlée à 1 main","Nahkampf: Einhand","片手近接","한손 근접","Corpo a Corpo de Uma Mão","Одноручное ближний бой","Cuerpo a cuerpo a una mano","ประชิดมือเดียว","單手近戰",[0]
1,"TwoHandMelee","[16,17,15,14,57]","2HandedMelee","Two Hand Melee","Mêlée à 2 mains","Nahkampf: Zweihand","両手近接","양손 근접","Corpo a Corpo de Duas Mãos","Двуручное ближний бой","Cuerpo a cuerpo a dos manos","ประชิดสองมือ","雙手近戰",[0]
2,"OneHandRanged",[8],"1HandedRange","One Hand Ranged","Distance à 1 main","Fernkampf: Einhand","片手遠距離","한손 원거리","Longo Alcance de Uma Mão","Одноручное дальний бой","Alcance a una mano","ระยะไกลมือเดียว","單手遠距",[0]
3,"TwoHandRanged",[13],"2HandedRange","Two Hand Ranged","Distance à 2 mains","Fernkampf: Zweihand","両手遠距離","양손 원거리","Longo Alcance de Duas Mãos","Двуручное дальний бой","Alcance a dos manos","ระยะไกลสองมือ","雙手遠距",[0]
4,"Shield",[26],"Shield","Shield","Bouclier","Schild","盾","방패","Escudo","Щит","Escudo","โล่","盾牌",[0]
5,"Helmet",[25],"Helmet","Helmet","Casque","Helm","兜","투구","Elmo","Шлем","Casco","หมวก","頭盔",[0]
6,"BodyArmour",[24],"Armour","Body Armour","Armure","Körperrüstung","鎧","갑옷","Peitoral","Нательный доспех","Armadura","เสื้อเกราะ","胸甲",[0]
7,"Gloves",[22],"Gloves","Gloves","Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手套",[0]
8,"Boots",[23],"Boots","Boots","Bottes","Stiefel","靴","장화","Botas","Сапоги","Botas","รองเท้า","鞋子",[0]
9,"Ring",[5],"Ring","Ring","Bague & Anneau","Ring","指輪","반지","Anel","Кольцо","Anillo","แหวน","戒指",[0]
10,"Amulet",[4],"Amulet","Amulet","Amulette","Amulett","アミュレット","목걸이","Amuleto","Амулет","Amuleto","สร้อย","項鍊",[0]
11,"Belt",[21],"Belt","Belt","Ceinture","Gürtel","ベルト","허리띠","Cinto","Пояс","Cinturón","เข็มขัด","腰帶",[0]
12,"Flask","[0,1,2,33,34]","Flask","Flask","Flacon","Fläschchen","フラスコ","플라스크","Frasco","Флакон","Frasco","ขวดยา","藥劑",[0]
13,"Quiver",[20],"Quiver","Quiver","Carquois","Köcher","矢筒","화살통","Aljava","Колчан","Carcaj","ซองธนู","箭袋",[0]
14,"Map",[35],"","Map","Carte","Karte","マップ","지도","Mapa","Карта","Mapa","แผนที่","地圖",[0]
15,"MapKey",[97],"","Map","Carte","Karte","マップ","지도","Mapa","Карта","Mapa","Map","地圖",[0]
16,"MapFragment",[38],"","Map Fragment","Fragment de Carte","Kartenfragment","マップフラグメント","지도 조각","Fragmento de Mapa","Фрагмент карты","Fragmento de mapa","ชิ้นส่วนแผนที่","地圖碎片",[0]
17,"Jewel","[41,50]","","Jewel","Joyau","Juwel","ジュエル","주얼","Joia","Самоцвет","Joya","จิวเวล","珠寶",[0]
18,"Breachstone",[85],"","Breachstone","Pierre de Brèche","Riss-Stein","ブリーチストーン","균열석","Pedra de Fenda","Камень Разлома","Piedra de fisura","ศิลาบรีช","裂痕石",[0]
19,"Tincture",[89],"","Tincture","Teinture","Tinktur","チンキ","팅크","Tintura","Микстура","Tintura","ยาเคลือบอาวุธ","萃取物",[0]
20,"FishingRod",[37],"","Fishing Rod","Canne à pêche","Angelrute","釣り竿","낚싯대","Vara de Pescar","Удочка","Caña de pescar","เบ็ดตกปลา","釣竿",[0]
21,"MapLikeItems","[46,65,70,73,99]","","Map Like Items","Objets de Carte","Kartenähnliche Gegenstände","マップ系アイテム","지도와 비슷한 아이템","Mapear Itens Semelhantes","Картоподобные предметы","Objetos similares a mapas","Map Like Items","類地圖物品",[0]
