"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","BestiaryRecipeComponentKeys","Notes","Notes (French)","Notes (German)","Notes (Japanese)","Notes (Korean)","Notes (Portuguese)","Notes (Russian)","Notes (Spanish)","Notes (Thai)","Notes (Traditional Chinese)","Category","bool_56","Achievements","bool_73","i32_74","i32_78","GameMode","FlaskMod"
0,"EinharMasterCraft1","A Stack of 8 Chromatic Orbs","8 Orbes chromatiques","Einen Stapel mit 8 Färbungssphären","色彩のオーブ8個","색채의 오브 8개 중첩","Uma Pilha de 8 Orbes Cromáticos","Стопка из 8 цветных сфер","Una pila de 8 orbes cromáticos","Chromatic Orb 8 ชิ้น","1 組堆疊 8 個的幻色石",[16],"","","","","","","","","","",0,"",[8667],1,0,1,1,""
1,"EinharMasterCraft2","A Stack of 4 Jeweller's Orbs","4 Orbes de joaillier","Einen Stapel mit 4 Sphären des Goldschmieds","宝飾職人のオーブ4個","쥬얼러 오브 4개 중첩","Uma Pilha de 4 Orbes do Joalheiro","Стопка из 4 сфер златокузнеца","Una pila de 4 orbes de joyero","Jeweller's Orb 4 ชิ้น","1 組堆疊 4 個的工匠石",[32],"","","","","","","","","","",0,"",[8667],1,0,1,1,""
2,"EinharMasterCraft3","Orb of Fusing","1 Orbe de fusion","Verbindungssphäre","結合のオーブ","연결의 오브","Orbe da Fusão","Сфера соединения","Orbe de fusión","Orb of Fusing","鏈結石",[31],"","","","","","","","","","",0,"",[8667],1,0,1,1,""
3,"EinharMasterCraft4","Item","au hasard","Gegenstand","アイテム","아이템","Item","Предмет","Objeto","ไอเทม","道具",[33],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
4,"EinharMasterCraft5","Ring","une Bague ou un Anneau","Ring","指輪","반지","Anel","Кольцо","Anillo","แหวน","戒指",[1],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
5,"EinharMasterCraft6","Amulet","une Amulette","Amulett","アミュレット","목걸이","Amuleto","Амулет","Amuleto","สร้อย","項鍊",[4],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
6,"EinharMasterCraft7","Belt","une Ceinture","Gürtel","ベルト","허리띠","Cinto","Пояс","Cinturón","เข็มขัด","腰帶",[5],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
7,"EinharMasterCraft8","Flask","un Flacon","Fläschchen","フラスコ","플라스크","Frasco","Флакон","Frasco","ขวดยา","藥劑",[6],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
8,"EinharMasterCraft9","Helmet","un Casque","Helm","兜","투구","Elmo","Шлем","Casco","หมวก","頭盔",[10],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
9,"EinharMasterCraft10","Body Armour","une Armure","Körperrüstung","鎧","갑옷","Peitoral","Нательный доспех","Armadura","เสื้อเกราะ","胸甲",[11],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
10,"EinharMasterCraft11","Boots","des Bottes","Stiefel","靴","장화","Botas","Сапоги","Botas","รองเท้า","鞋子",[14],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
11,"EinharMasterCraft12","Gloves","des Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手套",[26],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
12,"EinharMasterCraft13","Talisman","un Talisman","Talisman","タリスマン","부적","Talismã","Талисман","Talismán","เครื่องราง","魔符",[29],"","","","","","","","","","",2,"",[8667],1,0,1,1,""
13,"EinharMasterCraft14","Claw or Dagger","une Griffe ou une Dague","Klaue oder Dolch","鉤爪または短剣","클로 / 단검","Garra ou Adaga","Коготь или кинжал","Garra o daga","กรงเล็บหรือมีด","爪或匕首",[30],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
