"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool_96","[i32]_97","i32_113","bool_117"
0,"Life","Life","Vie","Leben","ライフ","생명력","Vida","Здоровье","Vida","พลังชีวิต","生命",[246],0,[],[],4,"",[],0,1
1,"Mana","Mana","Mana","Mana","マナ","마나","Mana","Мана","Maná","มานา","魔力",[247],0,[],[],4,"",[],0,1
2,"EnergyShield","Maximum Energy Shield","Bouclier d'énergie maximal","Energieschild","最大エナジーシールド","에너지 보호막 최대치","Escudo de Energia Máximo","Максимум энергетического щита","Escudo de energía máximo","โล่พลังงานสูงสุด","最大能量護盾",[248],0,[],[],4,"",[],4,1
3,"GamepadEnergyShield","Energy Shield","Bouclier d'énergie","Energieschild","エナジーシールド","에너지 보호막","Escudo de Energia","Энергетический щит","Escudo de energía","โล่พลังงาน","能量護盾",[248],0,[],[],4,"",[],2,""
4,"GamepadArmour","Armour","Armure","Rüstung","アーマー","방어도","Armadura","Броня","Armadura","ค่าเกราะ","護甲值",[242],0,[],[],4,1,[],2,""
5,"GamepadEvasion","Evasion","Évasion","Ausweichen","回避力","회피","Evasão","Уклонение","Evasión","การหลบหลีก","閃避值",[283],0,[],[],4,1,[],2,""
6,"GamepadFireResist","Fire","Feu","Feuer","火耐性","화염","Fogo","Огонь","Fuego","ไฟ","火焰","[308,2091]",5,[],[],5,"",[],2,""
7,"GamepadColdResist","Cold","Froid","Kälte","冷気耐性","냉기","Gelo","Холод","Hielo","น้ำแข็ง","冰冷","[307,2092]",5,[],[],5,"",[],2,""
8,"GamepadLightningResist","Lightning","Foudre","Blitz","雷耐性","번개","Raio","Молнии","Rayo","สายฟ้า","閃電","[309,2093]",5,[],[],5,"",[],2,""
9,"GamepadChaosResist","Chaos","Chaos","Chaos","混沌耐性","카오스","Caos","Хаос","Caos","เคออส","混沌","[310,2094]",5,[],[],5,"",[],2,""
