"rownum","BlightTowersKey","i32_16","MonsterVarietiesKey","Cost","i32_40"
0,0,1,7843,0,0
1,1,1,7844,100,0
2,2,1,7845,150,0
3,3,1,7846,300,0
4,4,1,7847,500,0
5,5,1,7848,500,0
6,6,11,7849,100,0
7,7,11,7850,150,0
8,8,11,7851,300,0
9,9,11,7852,500,0
10,10,11,7853,500,0
11,11,15,7854,100,0
12,12,15,7855,150,0
13,13,15,7856,300,0
14,14,15,7857,500,0
15,15,15,7858,500,0
16,16,15,7859,100,0
17,17,15,7860,150,0
18,18,15,7861,300,0
19,19,15,7862,500,0
20,20,15,7863,500,0
21,21,6,7864,100,0
22,22,6,7865,150,0
23,23,6,7866,300,0
24,24,6,7867,500,0
25,25,6,7868,500,0
26,26,1,7869,100,0
27,27,1,7870,150,0
28,28,1,7871,300,0
29,29,1,7872,500,0
30,30,1,7873,500,0
