"rownum","string_0","string_8"
0,"Metadata/Terrain/Act1/Area1/Rooms/town_entrance_exclude.arm","Metadata/Terrain/Act1/Area1/Rooms/Gauntlet/town_entrance_exclude.arm"
1,"Metadata/Terrain/Cave/Rooms/Unique/river_boss_1a.arm","Metadata/Terrain/Cave/Rooms/Unique/Gauntlet/river_boss_1a.arm"
2,"Metadata/Terrain/Act1/Area9/Rooms/intact_ship.arm","Metadata/Terrain/Act1/Area9/Rooms/Gauntlet/intact_ship_gauntlet.arm"
3,"Metadata/Terrain/Act7/Area9/Rooms/despair_boss.arm","Metadata/Terrain/Act7/Area9/Rooms/Gauntlet/despair_boss.arm"
4,"Metadata/Terrain/Act6/Area8/Rooms/bossphase1.arm","Metadata/Terrain/Act6/Area8/Rooms/Gauntlet/bossphase1_gauntlet.arm"
5,"Metadata/Terrain/Act6/Area8/Rooms/boss_connector.arm","Metadata/Terrain/Act6/Area8/Rooms/Gauntlet/boss_connector_gauntlet.arm"
6,"Metadata/Terrain/Act6/Area8/Rooms/bossphase2.arm","Metadata/Terrain/Act6/Area8/Rooms/Gauntlet/bossphase2_gauntlet.arm"
7,"Metadata/Terrain/Prison/Rooms/Unique/boss_cells_1a.arm","Metadata/Terrain/Prison/Rooms/Unique/Gauntlet/boss_cells_1a.arm"
8,"Metadata/Terrain/Prison/Rooms/Unique/boss_cells_1b.arm","Metadata/Terrain/Prison/Rooms/Unique/Gauntlet/boss_cells_1b.arm"
9,"Metadata/Terrain/Prison/Rooms/Unique/boss_cells_1c.arm","Metadata/Terrain/Prison/Rooms/Unique/Gauntlet/boss_cells_1c.arm"
10,"Metadata/Terrain/Prison/Rooms/Unique/boss_cells_2a.arm","Metadata/Terrain/Prison/Rooms/Unique/Gauntlet/boss_cells_2a.arm"
11,"Metadata/Terrain/Prison/Rooms/Unique/boss_cells_2b.arm","Metadata/Terrain/Prison/Rooms/Unique/Gauntlet/boss_cells_2b.arm"
12,"Metadata/Terrain/Prison/Rooms/Unique/boss_cells_2c.arm","Metadata/Terrain/Prison/Rooms/Unique/Gauntlet/boss_cells_2c.arm"
13,"Metadata/Terrain/Prison/Rooms/Unique/boss_exit.arm","Metadata/Terrain/Prison/Rooms/Unique/Gauntlet/boss_exit.arm"
14,"Metadata/Terrain/Act2/Area4/Rooms/broken_bridge.arm","Metadata/Terrain/Act2/Area4/Rooms/Gauntlet/broken_bridge.arm"
15,"Metadata/Terrain/Act2/Area4/Rooms/broken_bridge_left.arm","Metadata/Terrain/Act2/Area4/Rooms/Gauntlet/broken_bridge_left.arm"
