"rownum","GraftStat","PlayerStat"
0,21789,342
1,21790,436
2,21791,21217
3,21792,3396
4,21793,70
5,21798,14655
6,21799,896
7,21800,8319
8,21795,636
9,21797,5869
10,21796,1967
11,21849,24
12,21850,217
13,21851,661
14,21852,1511
15,21729,21729
16,21730,21730
17,21853,15348
18,21731,21731
19,21854,556
20,21855,16693
21,21880,175
22,21735,21735
23,21881,7999
24,21882,21882
25,21883,595
26,21736,9664
27,21884,613
28,21885,1506
29,21886,21886
30,21887,177
31,21888,12007
32,21889,6914
33,21890,15349
34,21891,457
35,21892,1508
36,21893,19464
37,21895,636
38,21894,21894
39,21896,14980
40,21752,21752
41,21897,2414
42,21754,21754
43,21898,21898
44,21768,21768
45,21767,21767
46,21899,21899
47,21900,21900
48,21901,21901
49,21938,6188
50,21939,6426
51,21750,21750
52,21940,10457
53,21770,21770
54,21772,21772
55,21948,21948
56,21949,21949
57,22057,20964
58,21737,21737
59,22058,22140
60,22059,596
61,22062,8590
62,22063,10765
63,21756,21756
64,22064,16032
65,21773,21773
66,22103,10904
67,22119,95
68,21801,18593
69,21764,21764
70,21763,21763
71,22136,22136
72,22137,22137
73,22138,22138
74,22145,10903
75,22146,597
76,22152,490
77,22153,161
78,22154,2137
79,22155,4646
80,22156,6916
81,22157,4720
82,22165,22165
83,22238,22238
84,22239,22239
85,22240,22240
86,22135,22135
87,21758,21758
88,22264,22264
89,22265,22265
