"rownum","BaseItemTypesKey","ArmourMin","ArmourMax","EvasionMin","EvasionMax","EnergyShieldMin","EnergyShieldMax","IncreasedMovementSpeed","WardMin","WardMax","i32_52","i32_56"
0,910,9,12,0,0,0,0,-3,0,0,0,0
1,911,36,47,0,0,0,0,-3,0,0,0,0
2,912,53,66,0,0,0,0,-3,0,0,0,0
3,913,94,113,0,0,0,0,-3,0,0,0,0
4,914,151,173,0,0,0,0,-3,0,0,0,0
5,915,237,260,0,0,0,0,-3,0,0,0,0
6,916,188,216,0,0,0,0,-3,0,0,0,0
7,917,177,209,0,0,0,0,-3,0,0,0,0
8,918,230,265,0,0,0,0,-3,0,0,0,0
9,919,290,324,0,0,0,0,-3,0,0,0,0
10,920,397,437,0,0,0,0,-3,0,0,0,0
11,921,293,337,0,0,0,0,-3,0,0,0,0
12,922,261,308,0,0,0,0,-3,0,0,0,0
13,923,357,411,0,0,0,0,-3,0,0,0,0
14,924,412,474,0,0,0,0,-3,0,0,0,0
15,925,522,601,0,0,0,0,-3,0,0,0,0
16,926,467,537,0,0,0,0,-3,0,0,0,0
17,927,87,100,0,0,0,0,-3,0,0,0,0
18,928,144,165,0,0,0,0,-3,0,0,0,0
19,929,220,253,0,0,0,0,-3,0,0,0,0
20,930,0,0,14,20,0,0,-3,0,0,0,0
21,931,0,0,51,66,0,0,-3,0,0,0,0
22,932,0,0,123,154,0,0,-3,0,0,0,0
23,933,0,0,116,139,0,0,-3,0,0,0,0
24,934,0,0,169,194,0,0,-3,0,0,0,0
25,935,0,0,225,259,0,0,-3,0,0,0,0
26,936,0,0,220,259,0,0,-3,0,0,0,0
27,937,0,0,311,349,0,0,-3,0,0,0,0
28,938,0,0,227,272,0,0,-3,0,0,0,0
29,939,0,0,287,330,0,0,-3,0,0,0,0
30,940,0,0,354,407,0,0,-3,0,0,0,0
31,941,0,0,327,385,0,0,-3,0,0,0,0
32,942,0,0,477,549,0,0,-3,0,0,0,0
33,943,0,0,330,379,0,0,-3,0,0,0,0
34,944,0,0,385,442,0,0,-3,0,0,0,0
